コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
3/091AA,糸:091AA:TAC.W<84T> DL 75/ 20 Z(ｿｳｼ) LOWSPD,PD,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
3/103LA,糸:103LA:ﾃｨﾌｨｺTW<110T>SD100/24(20) / Z(70ﾟC30),ﾟC30),K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,1111.9,927,794.2,695,617.7,555.97,555.97,555.97,,,,,,,,,表示する,
3/111RA,糸:111RA:ﾃｨﾌｨｺTW<167T>SD150/48Z(20) / (70ﾟC30),ﾟC30),K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,878.1,732,627.2,548.8,487.8,439.06,439.06,439.06,,,,,,,,,表示する,
3/124WA,糸:124WA:ﾄｰﾚTW(915)<167T> BR 150/ 48 Zｾｯﾄ70ﾟC30,70ﾟC30,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
3/182LA,糸:182LA:ﾅﾝﾔT.POYW<128T>SD115/36M8391 / Z,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
3/187TA,糸:187TA:ｻﾗｸｰﾙPOYW<280T>(X20) FD 250/ 48 Z (178D),Z (178D),K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
3/187US,糸:187US:ｻﾗｸｰﾙPOYW<280T>(X20) FD 250/ 48 S (178D),S (178D),K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
3/189DA,糸:189DA:ﾅﾝﾔT.POYW<255T> SD 230/ 48 Z(176D),D),K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,688.8,574,492,430.5,382.7,344.4,344.4,344.4,,,,,,,,,表示する,
3/202DA,糸:202DA:ﾅﾝﾔCD(SDY)W<84T> SD 75/ 36 Z (ｿｳｼ) LOT: 8C369,ｼ) LOT: 8C369,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
3/202EA,糸:202EA:ﾅﾝﾔCD(SDY)W<84T> SD 75/ 36 Z (ｿｳｼ) LOT:8C375,ｼ) LOT:8C375,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,3,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
