製品,製品単位,部品,必要量,部品単位,行番,不要
3/A0634,K,N/A0634,1,K,1,1
3/A0634,K,1/024BA,1.02,K,2,2
3/A0901,K,N/A0901,1,K,1,1
3/A0901,K,1/717BB,1.02,K,2,2
3/A0911,K,N/A0911,1,K,1,1
3/A0911,K,1/717GG,1.02,K,2,2
3/A0921,K,N/A0921,1,K,1,1
3/A0921,K,1/717SS,1.02,K,2,2
3/A0931,K,N/A0931,1,K,1,1
3/A0931,K,1/717DD,1.02,K,2,2
3/A0968,K,N/A0968,1,K,1,1
3/A0968,K,3/M0953,1.03,K,2,2
3/A0988,K,N/A0988,1,K,1,1
3/A0988,K,3/M0973,1.03,K,2,2
3/A1008,K,N/A1008,1,K,1,1
3/A1008,K,3/M0993,1.03,K,2,2
3/A1028,K,N/A1028,1,K,1,1
3/A1028,K,3/M1013,1.03,K,2,2
3/A1161,K,N/A1161,1,K,1,1
3/A1161,K,1/046CC,1.03,K,2,2
3/A1206,K,N/A1206,1,K,1,1
3/A1206,K,1/844RR,1.03,K,2,2
3/A1605,K,N/A1605,1,K,1,1
3/A1605,K,1/844QQ,1.02,K,2,2
3/A1701,K,N/A1701,1,K,1,1
3/A1701,K,1/844TT,1.03,K,2,2
3/A2791,K,N/A2791,1,K,1,1
3/A2791,K,3/205CA,1.03,K,2,2
3/A2814,K,N/A2814,1,K,1,1
3/A2814,K,3/205CA,1.03,K,2,2
3/A2831,K,N/A2831,1,K,1,1
3/A2831,K,3/205CA,1.03,K,2,2
3/A3071,K,N/A3071,1,K,1,1
3/A3071,K,1/035DA,1.01,K,2,2
3/A3181,K,N/A3181,1,K,1,1
3/A3181,K,1/134AA,1.02,K,2,2
3/A5996,K,N/A5996,1,K,1,1
3/A5996,K,3/187US,1.02,K,2,2
3/A6304,K,N/A6304,1,K,1,1
3/A6304,K,3/187TA,0.8,K,2,2
3/A6304,K,1/039AA,0.23,K,3,3
3/A6468,K,N/A6468,1,K,1,1
3/A6468,K,3/A7644,1.03,K,2,2
3/A7596,K,N/A7596,1,K,1,1
3/A7596,K,3/342BA,1.02,K,2,2
3/A7644,K,N/A7644,1,K,1,1
3/A7644,K,3/091AA,1.03,K,2,2
3/A8861,K,N/A8861,1,K,1,1
3/A8861,K,1/011AA,1.03,K,2,2
3/A9114,K,N/A9114,1,K,1,1
3/A9114,K,1/011AA,1.03,K,2,2
3/A9664,K,N/A9664,1,K,1,1
3/A9664,K,3/189DA,1.02,K,2,2
3/A9804,K,N/A9804,1,K,1,1
3/A9804,K,3/182LA,1.02,K,2,2
3/B0032,K,N/B0032,1,K,1,1
3/B0032,K,1/29141,1.02,K,2,2
3/B0152,K,N/B0152,1,K,1,1
3/B0152,K,1/29101,1.02,K,2,2
3/B0596,K,N/B0596,1,K,1,1
3/B0596,K,1/87201,1.02,K,2,2
3/B0717,K,N/B0717,1,K,1,1
3/B0717,K,1/842BB,1.02,K,2,2
3/B1375,K,N/B1375,1,K,1,1
3/B1375,K,1/82081,1.02,K,2,2
3/B1705,K,N/B1705,1,K,1,1
3/B1705,K,1/85181,1.02,K,2,2
3/B1808,K,N/B1808,1,K,1,1
3/B1808,K,3/N1823,1.02,K,2,2
3/B1818,K,N/B1818,1,K,1,1
3/B1818,K,3/N1833,1.02,K,2,2
3/B1907,K,N/B1907,1,K,1,1
3/B1907,K,1/23251,1.02,K,2,2
3/B1917,K,N/B1917,1,K,1,1
3/B1917,K,1/23251,1.02,K,2,2
3/B1928,K,N/B1928,1,K,1,1
3/B1928,K,3/N1863,1.03,K,2,2
3/B1938,K,N/B1938,1,K,1,1
3/B1938,K,3/N1873,1.03,K,2,2
3/B2048,K,N/B2048,1,K,1,1
3/B2048,K,3/N1943,1.03,K,2,2
3/B2058,K,N/B2058,1,K,1,1
3/B2058,K,3/N1953,1.03,K,2,2
3/B2068,K,N/B2068,1,K,1,1
3/B2068,K,3/N1963,1.03,K,2,2
3/B2078,K,N/B2078,1,K,1,1
3/B2078,K,3/N1973,1.03,K,2,2
3/B2083,K,N/B2083,1,K,1,1
3/B2083,K,1/13241,1.02,K,2,2
3/B2093,K,N/B2093,1,K,1,1
3/B2093,K,1/13241,1.02,K,2,2
3/B2163,K,N/B2163,1,K,1,1
3/B2163,K,1/11691,1.02,K,2,2
3/B2534,K,N/B2534,1,K,1,1
3/B2534,K,1/25511,0.81,K,2,2
3/B2534,K,1/29121,0.21,K,3,3
3/B2996,K,N/B2996,1,K,1,1
3/B2996,K,1/24061,1.02,K,2,2
3/B3007,K,N/B3007,1,K,1,1
3/B3007,K,1/24001,1.02,K,2,2
3/B3017,K,N/B3017,1,K,1,1
3/B3017,K,1/24001,1.02,K,2,2
3/B3534,K,N/B3534,1,K,1,1
3/B3534,K,1/25241,1.02,K,2,2
3/B3627,K,N/B3627,1,K,1,1
3/B3627,K,1/11191,0.45,K,2,2
3/B3627,K,1/85141,0.59,K,3,3
3/B4257,K,N/B4257,1,K,1,1
3/B4257,K,1/11151,0.42,K,2,2
3/B4257,K,1/85141,0.62,K,3,3
3/B4584,K,N/B4584,1,K,1,1
3/B4584,K,1/24041,1.02,K,2,2
3/B4966,K,N/B4966,1,K,1,1
3/B4966,K,1/11501,1.02,K,2,2
3/B5307,K,N/B5307,1,K,1,1
3/B5307,K,1/11151,1.02,K,2,2
3/B5317,K,N/B5317,1,K,1,1
3/B5317,K,1/11151,1.02,K,2,2
3/B5367,K,N/B5367,1,K,1,1
3/B5367,K,1/11151,1.02,K,2,2
3/B5377,K,N/B5377,1,K,1,1
3/B5377,K,1/11151,1.02,K,2,2
3/B6207,K,N/B6207,1,K,1,1
3/B6207,K,1/11671,0.34,K,2,2
3/B6207,K,1/25431,0.69,K,3,3
3/B6626,K,N/B6626,1,K,1,1
3/B6626,K,1/13811,1.02,K,2,2
3/B6636,K,N/B6636,1,K,1,1
3/B6636,K,1/13811,1.02,K,2,2
3/B7085,K,N/B7085,1,K,1,1
3/B7085,K,1/13031,0.21,K,2,2
3/B7085,K,1/85301,0.81,K,3,3
3/B7527,K,N/B7527,1,K,1,1
3/B7527,K,1/11161,0.34,K,2,2
3/B7527,K,1/25431,0.68,K,3,3
3/B7787,K,N/B7787,1,K,1,1
3/B7787,K,1/10301,0.37,K,2,2
3/B7787,K,1/25201,0.66,K,3,3
3/B7797,K,N/B7797,1,K,1,1
3/B7797,K,1/10301,0.37,K,2,2
3/B7797,K,1/25201,0.66,K,3,3
3/B7927,K,N/B7927,1,K,1,1
3/B7927,K,1/10291,0.29,K,2,2
3/B7927,K,1/85141,0.74,K,3,3
3/B7937,K,N/B7937,1,K,1,1
3/B7937,K,1/10291,0.29,K,2,2
3/B7937,K,1/85141,0.74,K,3,3
3/B7967,K,N/B7967,1,K,1,1
3/B7967,K,1/10301,0.29,K,2,2
3/B7967,K,1/24001,0.73,K,3,3
3/B7977,K,N/B7977,1,K,1,1
3/B7977,K,1/10301,0.29,K,2,2
3/B7977,K,1/24001,0.73,K,3,3
3/B8097,K,N/B8097,1,K,1,1
3/B8097,K,1/10291,0.24,K,2,2
3/B8097,K,1/25312,0.79,K,3,3
3/B8127,K,1/10291,0.39,K,2,2
3/B8127,K,1/23251,0.63,K,3,3
3/B8137,K,1/10291,0.39,K,2,2
3/B8137,K,1/23251,0.63,K,3,3
3/B8147,K,1/10291,0.39,K,2,2
3/B8147,K,1/23251,0.63,K,3,3
3/B8157,K,1/10291,0.39,K,2,2
3/B8157,K,1/23251,0.63,K,3,3
3/B8347,K,1/10731,0.34,K,2,2
3/B8347,K,1/25431,0.68,K,3,3
3/B8357,K,1/10731,0.34,K,2,2
3/B8357,K,1/25431,0.68,K,3,3
3/B8887,K,1/10291,0.29,K,2,2
3/B8887,K,1/25871,0.74,K,3,3
3/B8897,K,1/10291,0.29,K,2,2
3/B8897,K,1/25871,0.74,K,3,3
3/B9707,K,1/11151,0.34,K,2,2
3/B9707,K,1/85181,0.69,K,3,3
3/B9717,K,1/11151,0.34,K,2,2
3/B9717,K,1/85181,0.69,K,3,3
3/B9727,K,1/11151,0.34,K,2,2
3/B9727,K,1/25312,0.68,K,3,3
3/B9737,K,1/11151,0.34,K,2,2
3/B9737,K,1/25312,0.68,K,3,3
3/B9847,K,1/11151,0.35,K,2,2
3/B9847,K,1/25312,0.69,K,3,3
3/B9857,K,1/11151,0.35,K,2,2
3/B9857,K,1/25312,0.69,K,3,3
3/B9867,K,1/11151,0.34,K,2,2
3/B9867,K,1/85181,0.69,K,3,3
3/B9877,K,1/11151,0.34,K,2,2
3/B9877,K,1/85181,0.69,K,3,3
3/C0947,K,1/52621,1.03,K,2,2
3/C1597,K,1/50211,1.02,K,2,2
3/C1676,K,1/53461,1.03,K,2,2
3/C3244,K,1/50041,1.03,K,2,2
3/D0056,K,1/13811,0.53,K,2,2
3/D0056,K,1/25312,0.49,K,3,3
3/D0455,K,1/25871,1.02,K,2,2
3/D0484,K,1/25871,1.02,K,2,2
3/D0513,K,1/25871,1.02,K,2,2
3/D0655,K,1/85141,1.02,K,2,2
3/D0897,K,1/12531,1.02,K,2,2
3/D1568,K,3/N1206,1.02,K,2,2
3/D1578,K,3/N1216,1.02,K,2,2
3/D1608,K,3/N1307,1.02,K,2,2
3/D1618,K,3/N1317,1.02,K,2,2
3/D1627,K,1/81671,0.22,K,2,2
3/D1627,K,1/24100,0.82,K,3,3
3/D1637,K,1/81671,0.22,K,2,2
3/D1637,K,1/24100,0.82,K,3,3
3/D1708,K,3/N0803,1.03,K,2,2
3/D1718,K,3/N0813,1.03,K,2,2
3/D1844,K,1/24031,1.03,K,2,2
3/D1867,K,1/81671,0.22,K,2,2
3/D1867,K,1/24031,0.82,K,3,3
