コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
1/10061,10061:原糸:A210 <33T> SD 20/ 12 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/10081,10081:原糸:ｴｽﾃﾙ Z10 <22T> SD 20/ 12 B03 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2900,2417,2071.4,1812.5,1611.1,1450,1450,1450,,,,,,,,,表示する,
1/10291,10291:原糸:ｴｽﾃﾙ Z10 <33T> SD 30/ 12 B07 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2193.8,1828,1567,1371.1,1218.8,1096.9,1096.9,1096.9,,,,,,,,,表示する,
1/10561,10561:原糸:V210ﾗｼｰﾅ <33T> SD 30/ 12 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/10731,10731:原糸:028F ｽﾋﾞｰﾙ <56T> SD 50/ 12 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1865,1554,1332.1,1165.6,1036.1,932.5,932.5,932.5,,,,,,,,,表示する,
1/11151,11151:原糸:ｴｽﾃﾙ Z10 <56T> 50/ 12 LOT B13 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1900,1583,1357.1,1187.5,1055.6,950,950,950,,,,,,,,,表示する,
1/11161,11161:原糸:ｴｽﾃﾙ ｽｰﾊﾟｰZ010 <56T> SD 50/ 12 B07 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1700,1417,1214.3,1062.5,944.4,850,850,850,,,,,,,,,表示する,
1/11691,11691:原糸:TT300SB IF <56T> SD 50/ 24 20F ﾃｨﾌｨｺ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,845,704,603.6,528.1,469.4,422.5,422.5,422.5,,,,,,,,,表示する,
1/11751,11751:原糸:N820SB ｳｴｰﾌﾞﾛﾝ <84T> BB 75/ 30 ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/11811,11811:原糸:T620SBｳｪｰﾌﾞﾛﾝ FD 75/ 30 ｵﾘｾﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/12271,12271:原糸:TT300H ﾃｨﾌｨｺ <84T> SD 75/ 24 03F ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,285.6,238,204,178.5,158.7,142.8,142.8,142.8,,,,,,,,,表示する,
1/12391,12391:原糸:ﾃﾄﾛﾝ 215 <84T> SD 75/ 36 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,670,558,478.6,418.8,372.2,335,335,335,,,,,,,,,表示する,
1/12831,12831:原糸:T600EB SDR <89345>ｴｺ <83T> SD 75/ 35 89379 ﾃｲｼﾞﾝ/ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1220,1017,871.4,762.5,677.8,610,610,610,,,,,,,,,表示する,
1/13031,13031:原糸:ｴｽﾃﾙ Z10 <110T> SD 100/ 24 B27 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1500,1250,1071.4,937.5,833.3,750,750,750,,,,,,,,,表示する,
1/13241,13241:原糸:ﾃﾄﾛﾝ TT300H <110T> SD 100/ 24 ﾃｨﾌｨｺ(20) ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,737.2,614,526.6,460.8,409.6,368.6,368.6,368.6,,,,,,,,,表示する,
1/13811,13811:原糸:E376SB ﾄﾘｸｼｵﾝ(SDU) <120T> SD 108/ 24 * ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1645,1371,1175,1028.1,913.9,822.5,822.5,822.5,,,,,,,,,表示する,
1/15051,15051:原糸:PPT.F<T400> <165T> SD 147/ 68 1T107 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1820,1517,1300,1137.5,1011.1,910,910,910,,,,,,,,,表示する,
1/15061,15061:原糸:PPT.F<T400> <165T> SD 147/ 68 1T108 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/15791,15791:原糸:ﾃﾄﾛﾝ TT300H <167T> SD 150/ 48 20F ﾃｨﾌｨｺ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,615.8,513,439.9,384.9,342.1,307.9,307.9,307.9,,,,,,,,,表示する,
1/15931,15931:原糸:LOC2 SD 150/ 72 ﾄ-ﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/15971,15971:原糸:DELTA BRIGHT(150/72X2ﾎﾝ) BR 300/ 144 TYPE769 ｵﾘｾﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/16461,16461:原糸:ﾀﾞｲﾔﾌﾛｰﾗ(ﾅﾁｭﾗﾙ) <1200T> 1080/ 1 ﾄｳﾖｳﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,6100,5083,4357.1,3812.5,3388.9,3050,3050,3050,,,,,,,,,表示する,
1/16471,16471:原糸:ﾀﾞｲﾔﾌﾛｰﾗ(ﾌﾞﾗｯｸ) <1200T> 1080/ 1 ﾄｳﾖｳﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,6100,5083,4357.1,3812.5,3388.9,3050,3050,3050,,,,,,,,,表示する,
1/16481,16481:原糸:ﾀﾞｲﾔﾌﾛｰﾗ(ﾅﾁｭﾗﾙ) <500T> 450/ 1 ﾄｳﾖｳﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,6510,5425,4650,4068.8,3616.7,3255,3255,3255,,,,,,,,,表示する,
1/16491,16491:原糸:ﾀﾞｲﾔﾌﾛｰﾗ(ﾌﾞﾗｯｸ) <500T> 450/ 1 ﾄｳﾖｳﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,6510,5425,4650,4068.8,3616.7,3255,3255,3255,,,,,,,,,表示する,
1/16791,16791:原糸:CDPOY <140T> SD 125/ 36 MC361 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,770,642,550,481.3,427.8,385,385,385,,,,,,,,,表示する,
1/17731,17731:原糸:T.POY <255T> SD 230/ 48 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,440,367,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
1/17891,17891:原糸:ｴｺPOY(ｹﾐｶﾙ) <278T> SD 250/ 48 M96D7 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,740,617,528.6,462.5,411.1,370,370,370,,,,,,,,,表示する,
1/17901,17901:原糸:CDPOY <280T> SD 250/ 48 MC6C5 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,620,517,442.9,387.5,344.4,310,310,310,,,,,,,,,表示する,
1/17911,17911:原糸:CDPOY <208T> SD 250/ 48 MC6C9 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,620,517,442.9,387.5,344.4,310,310,310,,,,,,,,,表示する,
1/18511,18511:原糸:ｴｺPOY(ｹﾐｶﾙ) <278T> SD 250/ 48 M96D9 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,740,617,528.6,462.5,411.1,370,370,370,,,,,,,,,表示する,
1/20341,20341:原糸:ﾅｲﾛﾝ 66 <78T> SD 70/ 24 ﾀｲﾌﾟ1205 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1700,1417,1214.3,1062.5,944.4,850,850,850,,,,,,,,,表示する,
1/23231,23231:原糸:ﾍﾞﾝﾍﾞﾙｸﾞ <84T> BR 75/ 45 ｱｻﾋｶｾｲ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2600,2167,1857.1,1625,1444.4,1300,1300,1300,,,,,,,,,表示する,
1/23251,23251:原糸:ﾍﾞﾝﾍﾞﾙｸﾞ <56T> BR 50/ 30 ｱｻﾋｶｾｲ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2785.4,2321,1989.6,1740.9,1547.4,1392.7,1392.7,1392.7,,,,,,,,,表示する,
1/24001,24001:原糸:ﾚｰﾖﾝ100(ｲｰｸﾞﾚｯﾄ) <84T> BR 75/ 30 ｲｰｸﾞﾚｯﾄ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2153.4,1795,1538.1,1345.9,1196.3,1076.7,1076.7,1076.7,,,,,,,,,表示する,
1/24031,24031:原糸:ﾚｰﾖﾝ100 ﾎﾜｲﾄﾏｳﾝﾃﾝ <133T> BR 120/ 30 W ｷﾂﾘﾝｶｾﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1827.2,1523,1305.1,1142,1015.1,913.6,913.6,913.6,,,,,,,,,表示する,
1/24041,24041:原糸:ﾚｰﾖﾝ100 ﾎﾜｲﾄﾏｳﾝﾃﾝ <330T> BR 300/ 60 W ｷﾂﾘﾝｶｾﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/24100,24100:原糸:ﾚｲﾖﾝ(ﾚﾝﾎﾞｳ) <133T> BR 120/ 44 ｲｰｸﾞﾚｯﾄ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1700,1417,1214.3,1062.5,944.4,850,850,850,,,,,,,,,表示する,
1/25201,25201:原糸:ｿｱﾛﾝ(SJ) <61T> BR 55/ 15 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2911.8,2427,2079.9,1819.9,1617.7,1455.9,1455.9,1455.9,,,,,,,,,表示する,
1/25241,25241:原糸:ｿｱﾛﾝ(SJ) <66T> DL 60/ 80 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
