コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
4/039428PX,整経玉: 39428PX,整経玉: 39428PX,反,0.02,P100,50M,160,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,30,,X,,,,,M,,19440,16200,13886,12150,10800,9720.08,9720.08,9720.08,,,,,,,,,表示する,
4/076410CB,整経玉: 76410CB,ｾｲｹｲﾀﾏ 76410CB,反,0.02,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,22762,18968,16259,14226,12646,11381,11381,11381,,,,,,,,,表示する,
4/076410CC,整経玉: 76410CC,ｾｲｹｲﾀﾏ 76410CC,反,0.02,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,22762,18968,16259,14226,12646,11381,11381,11381,,,,,,,,,表示する,
4/076410CX,整経玉: 76410CX,ｾｲｹｲﾀﾏ 76410CX,反,0.02,TA64/P13/R12/RA11,50,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,26432,22027,18880,16520,14684,13216,13216,13216,,,,,,,,,表示する,
4/078019BA,整経玉: 78019BA,ｾｲｹｲﾀﾏ 78019BA,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,31537,26281,22527,19711,17521,15768.71,15768.71,15768.71,,,,,,,,,表示する,
4/078019VA,整経玉: 78019VA,ｾｲｹｲﾀﾏ 78019VA,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,30580,25483,21843,19112,16989,15289.82,15289.82,15289.82,,,,,,,,,表示する,
4/078019VB,整経玉: 78019VB,ｾｲｹｲﾀﾏ 78019VB,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,30580,25483,21843,19112,16989,15289.82,15289.82,15289.82,,,,,,,,,表示する,
4/078019VX,整経玉: 78019VX,ｾｲｹｲﾀﾏ 78019VX,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,30580,25483,21843,19112,16989,15289.82,15289.82,15289.82,,,,,,,,,表示する,
4/079664CB,整経玉: 79664CB,ｾｲｹｲﾀﾏ 79664CB,反,0.02,TA55/P45,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,19187,15989,13705,11992,10660,9593.59,9593.59,9593.59,,,,,,,,,表示する,
4/079664FX,整経玉: 79664FX,ｾｲｹｲﾀﾏ 79664FX,反,0.02,TA55/P45,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,17904,14920,12788,11190,9947,8951.93,8951.93,8951.93,,,,,,,,,表示する,
4/097064CX,整経玉: 97064CX,ｾｲｹｲﾀﾏ 97064CX,反,0.02,TA72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,29402,24502,21002,18376,16335,14701.08,14701.08,14701.08,,,,,,,,,表示する,
4/097064JD,整経玉: 97064JD,ｾｲｹｲﾀﾏ 97064JD,反,0.02,TA72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,28784,23986,20560,17990,15991,14391.86,14391.86,14391.86,,,,,,,,,表示する,
4/097402XX,整経玉: 97402XX,ｾｲｹｲﾀﾏ 97402XX,反,0.02,TA85/P15,50,128,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,31200,26000,22285,19500,17333,15599.84,15599.84,15599.84,,,,,,,,,表示する,
4/097763JE,整経玉: 97763JE,ｾｲｹｲﾀﾏ 97763JE,反,0.02,P64/TA36,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,14792,12327,10566,9245,8218,7396.07,7396.07,7396.07,,,,,,,,,表示する,
4/098262JC,整経玉: 98262JC,ｾｲｹｲﾀﾏ 98262JC,反,0.02,P64/TA36,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,11832,9860,8451,7395,6573,5915.77,5915.77,5915.77,,,,,,,,,表示する,
4/098284HC,整経玉: 98284HC,ｾｲｹｲﾀﾏ 98284HC,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,42132,35110,30094,26333,23407,21066.13,21066.13,21066.13,,,,,,,,,表示する,
4/098477YX,整経玉: 98477YX,ｾｲｹｲﾀﾏ 98477YX,反,0.02,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,37097,30914,26498,23186,20609,18548.48,18548.48,18548.48,,,,,,,,,表示する,
4/098706ZX,整経玉: 98706ZX,ｾｲｹｲﾀﾏ 98706ZX,反,0.02,TA60/P40,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,25768,21473,18405,16105,14315,12883.76,12883.76,12883.76,,,,,,,,,表示する,
4/098761PX,整経玉: 98761PX,ｾｲｹｲﾀﾏ 98761PX,反,0.02,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,39032,32526,27880,24395,21684,19515.82,19515.82,19515.82,,,,,,,,,表示する,
4/098761XX,整経玉: 98761XX,ｾｲｹｲﾀﾏ 98761XX,反,0.02,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,39609,33008,28292,24756,22005,19804.64,19804.64,19804.64,,,,,,,,,表示する,
4/098774JA,整経玉: 98774JA,ｾｲｹｲﾀﾏ 98774JA,反,0.02,TA41/R34/C13/P12,50M,136,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,80,,81,,,,,M,,23448,19540,16749,14655,13027,11724.21,11724.21,11724.21,,,,,,,,,表示する,
4/098810VX,整経玉: 98810VX,ｾｲｹｲﾀﾏ 98810VX,反,0.02,TA64/P36,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,80,,81,,,,,M,,28479,23733,20342,17800,15822,14239.73,14239.73,14239.73,,,,,,,,,表示する,
4/098810ZX,整経玉: 98810ZX,ｾｲｹｲﾀﾏ 98810ZX,反,0.02,TA64/P36,50,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,28474,23728,20338,17796,15819,14236.76,14236.76,14236.76,,,,,,,,,表示する,
4/099201JA,整経玉: 99201JA,ｾｲｹｲﾀﾏ 99201JA,反,0.02,P91/TA9,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,13178,10982,9413,8237,7321,6589.23,6589.23,6589.23,,,,,,,,,表示する,
4/099268YX,整経玉: 99268YX,ｾｲｹｲﾀﾏ 99268YX,反,0.02,R49/TA45/P6,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,51437,42864,36741,32148,28576,25718.58,25718.58,25718.58,,,,,,,,,表示する,
4/099401JA,整経玉: 99401JA,ｾｲｹｲﾀﾏ 99401JA,反,0.02,TA49/C35/P16,50M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,29230,24358,20879,18269,16239,14614.95,14614.95,14614.95,,,,,,,,,表示する,
4/099401JX,整経玉: 99401JX,ｾｲｹｲﾀﾏ 99401JX,反,0.02,TA48/C35/P17,50M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,29444,24536,21031,18402,16358,14721.88,14721.88,14721.88,,,,,,,,,表示する,
4/099442VX,整経玉: 99442VX,ｾｲｹｲﾀﾏ 99442VX,反,0.02,TA83/P17,50,142,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,38633,32194,27595,24146,21463,19316.42,19316.42,19316.42,,,,,,,,,表示する,
4/099453ZX,整経玉: 99453ZX,ｾｲｹｲﾀﾏ 99453ZX,反,0.022222222,TA69/P31,45M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,23147,19289,16533,14467,12859,11573.25,11573.25,11573.25,,,,,,,,,表示する,
4/099510ZX,整経玉: 99510ZX,ｾｲｹｲﾀﾏ 99510ZX,反,0.02,TA66/C34,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,21545,17954,15389,13466,11970,10772.62,10772.62,10772.62,,,,,,,,,表示する,
4/099533YA,整経玉: 99533YA,ｾｲｹｲﾀﾏ 99533YA,反,0.02,TA65/P35,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,26947,22456,19248,16842,14971,13473.61,13473.61,13473.61,,,,,,,,,表示する,
4/099536YX,整経玉: 99536YX,ｾｲｹｲﾀﾏ 99536YX,反,0.02,P85/C15,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,37440,31200,26743,23400,20800,18719.83,18719.83,18719.83,,,,,,,,,表示する,
4/099538LX,整経玉: 99538LX,ｾｲｹｲﾀﾏ 99538LX,反,0.02,R62/OJ38,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,36790,30658,26278,22994,20439,18394.91,18394.91,18394.91,,,,,,,,,表示する,
4/099542LA,整経玉: 99542LA,ｾｲｹｲﾀﾏ 99542LA,反,0.02,TA76/P24,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,32416,27013,23154,20260,18009,16207.89,16207.89,16207.89,,,,,,,,,表示する,
4/099556ZX,整経玉: 99556ZX,ｾｲｹｲﾀﾏ 99556ZX,反,0.02,TA66/P34,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,34896,29080,24926,21810,19387,17448,17448,17448,,,,,,,,,表示する,
4/099574LX,整経玉: 99574LX,ｾｲｹｲﾀﾏ 99574LX,反,0.02,TA100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,52757,43964,37684,32973,29310,26378.64,26378.64,26378.64,,,,,,,,,表示する,
4/099614YX,整経玉: 99614YX,ｾｲｹｲﾀﾏ 99614YX,反,0.02,AC64/CU36,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,80,,81,,,,,M,,48898,40748,34927,30561,27165,24448.83,24448.83,24448.83,,,,,,,,,表示する,
4/099683YX,整経玉: 99683YX,ｾｲｹｲﾀﾏ 99683YX,反,0.02,TA82/P18,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,35448,29540,25320,22155,19693,17724.07,17724.07,17724.07,,,,,,,,,表示する,
4/099706YA,整経玉: 99706YA,ｾｲｹｲﾀﾏ 99706YA,反,0.02,AC58/P42,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,,,,,,,,,,,,,,,,,表示する,
