コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,仕入先名,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
5/102144BB,生機102144BB,ｷﾊﾞﾀ102144BB,反,0.02,P76/R24,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,10,,L,,,,,M,,56468,47057,40334.3,35292.5,31371.1,28234,28234,28234,,,,,,,,,表示する,
5/102633ZX,生機102633ZX,ｷﾊﾞﾀ102633ZX,反,0.02,P52/TA48,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,51836,43197,37025.7,32397.5,28797.8,25918,25918,25918,,,,,,,,,表示する,
5/115157ZA,生機115157ZA,ｷﾊﾞﾀ115157ZA,反,0.02,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,30,,X,,,,,M,,40536,33780,28954.3,25335,22520,20268,20268,20268,,,,,,,,,表示する,
5/115157ZB,生機115157ZB,ｷﾊﾞﾀ115157ZB,反,0.02,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,30,,X,,,,,M,,40536,33780,28954.3,25335,22520,20268,20268,20268,,,,,,,,,表示する,
5/115769PL,生機115769PL,ｷﾊﾞﾀ115769PL,反,0.02,P100,50M,125,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,10,,L,,,,,M,,46102,38418,32930,28813.8,25612.2,23051,23051,23051,,,,,,,,,表示する,
5/115859PA,生機115859PA,ｷﾊﾞﾀ115859PA,反,0.02,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,30,,X,,,,,M,,36986,30822,26418.6,23116.3,20547.8,18493,18493,18493,,,,,,,,,表示する,
5/115859XC,生機115859XC,ｷﾊﾞﾀ115859XC,反,0.02,P100,50M,97,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,30,,X,,,,,M,,31308,26090,22362.9,19567.5,17393.3,15654,15654,15654,,,,,,,,,表示する,
5/123127ZF,生機123127ZF,ｷﾊﾞﾀ123127ZF,反,0.02,TA67/P33,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,70756,58963,50540,44222.5,39308.9,35378,35378,35378,,,,,,,,,表示する,
5/127250JD,生機127250JD,ｷﾊﾞﾀ127250JD,反,0.02,TA67/P33,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,37516,31263,26797.1,23447.5,20842.2,18758,18758,18758,,,,,,,,,表示する,
5/127413CX,生機127413CX,ｷﾊﾞﾀ127413CX,反,0.02,TA72/P28,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,58298,48582,41641.4,36436.3,32387.8,29149,29149,29149,,,,,,,,,表示する,
