製品,製品単位,部品,必要量,部品単位
5/185112ZA,反,1/001AA,2.52,K
5/290012YA,反,1/20191,2.24,K
5/290012YA,反,1/869AA,8.28,K
5/290012YX,反,1/20191,2.3,K
5/290012YX,反,1/869AA,8.45,K
5/290013YA,反,1/20191,2.24,K
5/290013YA,反,1/867AA,1.21,K
5/290013YA,反,1/869AA,6.97,K
5/290034ZX,反,1/45381,2.25,K
5/290034ZX,反,1/617AA,1.99,K
5/290034ZX,反,1/618AA,0.11,K
5/290034ZX,反,1/635OO,8.64,K
5/290041YX,反,1/11751,1.39,K
5/290041YX,反,1/15091,2.55,K
5/290041YX,反,1/15111,0.87,K
5/290041YX,反,1/629AA,3.3,K
5/290045VX,反,1/82081,10.77,K
5/290045VX,反,1/964AA,1.8,K
5/290045VX,反,1/964BS,1.8,K
5/290054YB,反,1/15051,2.41,K
5/290054YB,反,1/24100,6.34,K
5/290054YB,反,1/56031,3.8,K
5/290072ZA,反,1/15371,5.08,K
5/290072ZA,反,1/635KK,7.96,K
5/290072ZX,反,1/15371,5.08,K
5/290072ZX,反,1/635KK,7.96,K
5/290106YX,反,1/734AA,13.28,K
5/290106YX,反,1/735AA,8.84,K
5/290107YX,反,1/688AA,8.67,K
5/290107YX,反,1/732AA,3.53,K
5/290107YX,反,1/733AA,0.05,K
5/290168VX,反,1/10291,3.75,K
5/290168VX,反,1/13901,7,K
5/290168VX,反,1/23251,6.06,K
5/290168ZX,反,1/10291,3.92,K
5/290168ZX,反,1/13901,7,K
5/290168ZX,反,1/23251,6.34,K
5/290169GA,反,1/848GG,9.98,K
5/290169GA,反,1/848HH,8.56,K
5/290169GA,反,1/848II,1.86,K
5/290169GA,反,1/848JJ,1.92,K
5/290169GA,反,1/848KK,0.07,K
5/290169GA,反,1/848LL,4.57,K
5/290169GX,反,1/848GG,8.84,K
5/290169GX,反,1/848HH,7.59,K
5/290169GX,反,1/848II,1.65,K
5/290169GX,反,1/848JJ,1.7,K
5/290169GX,反,1/848KK,0.06,K
5/290169GX,反,1/848LL,4.05,K
5/290170GA,反,1/848GG,9.98,K
5/290170GA,反,1/848HH,5.21,K
5/290170GA,反,1/848II,5.21,K
5/290170GA,反,1/848JJ,1.92,K
5/290170GA,反,1/848KK,0.07,K
5/290170GA,反,1/848LL,4.57,K
5/290170GX,反,1/848GG,8.84,K
5/290170GX,反,1/848HH,4.62,K
5/290170GX,反,1/848II,4.62,K
5/290170GX,反,1/848JJ,1.7,K
5/290170GX,反,1/848KK,0.06,K
5/290170GX,反,1/848LL,4.05,K
5/290173YX,反,1/20191,2.09,K
5/290173YX,反,1/847BB,0.73,K
5/290173YX,反,1/847CC,0.59,K
5/290173YX,反,1/847TT,3.81,K
5/290174YX,反,1/20191,2.09,K
5/290174YX,反,1/847CC,0.59,K
5/290174YX,反,1/847DD,3.81,K
5/290174YX,反,1/847EE,0.73,K
5/290175YX,反,1/20191,2.09,K
5/290175YX,反,1/847FF,2.56,K
5/290175YX,反,1/847GG,2.56,K
5/290176YX,反,1/20191,2.09,K
5/290176YX,反,1/847HH,2.56,K
5/290176YX,反,1/847II,2.56,K
5/290177YX,反,1/20191,2.15,K
5/290177YX,反,1/847CC,2.68,K
5/290177YX,反,1/847PP,1.34,K
5/290177YX,反,1/847QQ,0.82,K
5/290178YX,反,1/20191,2.15,K
5/290178YX,反,1/847JJ,2.68,K
5/290178YX,反,1/847NN,1.34,K
5/290178YX,反,1/847OO,0.82,K
5/290179YX,反,1/20191,2.15,K
5/290179YX,反,1/847CC,2.47,K
5/290179YX,反,1/847MM,3.9,K
5/290180YX,反,1/20191,2.15,K
5/290180YX,反,1/847KK,2.47,K
5/290180YX,反,1/847LL,3.9,K
5/290181YX,反,1/20191,2.15,K
5/290181YX,反,1/847RR,3.9,K
5/290181YX,反,1/847SS,3.9,K
5/290182YX,反,1/20191,2.12,K
5/290182YX,反,1/50491,5.3,K
5/290183YX,反,1/20191,2.12,K
5/290183YX,反,1/50341,7.44,K
5/290184YX,反,1/848MM,16.1,K
5/290184ZX,反,1/848VV,16.42,K
5/290185YX,反,1/53481,6.6,K
5/290185YX,反,1/849VV,7.46,K
5/290186YX,反,1/53421,5.27,K
5/290186YX,反,1/849VV,7.46,K
5/290187YX,反,1/54081,6.21,K
5/290187YX,反,1/849VV,7.46,K
5/290188YX,反,1/848WW,5.65,K
5/290188YX,反,1/848XX,1.66,K
5/290188YX,反,1/848YY,15.86,K
5/290188YX,反,1/848ZZ,0.68,K
5/290189YX,反,1/82081,11.3,K
5/290189YX,反,1/964AA,1.41,K
5/290189YX,反,1/964BS,1.41,K
5/291036YX,反,1/29411,0.06,K
5/291036YX,反,1/36901,0.05,K
5/291036YX,反,1/37511,1.48,K
5/291036YX,反,1/629AA,2.85,K
5/291036YX,反,1/635XX,1.97,K
5/291036YX,反,1/635YY,0.8,K
5/291036YX,反,1/636WW,0.31,K
5/291042YX,反,1/747AA,1.12,K
5/291042YX,反,1/758AA,0.6,K
5/291042YX,反,1/759AA,3.74,K
5/291046YX,反,1/635HH,0.63,K
5/291046YX,反,1/747AA,1.67,K
5/291046YX,反,1/823AA,0.08,K
5/291046YX,反,1/845BB,0.67,K
5/291047YX,反,1/635HH,0.63,K
5/291047YX,反,1/747AA,0.92,K
5/291047YX,反,1/823AA,0.08,K
5/291047YX,反,1/845BB,0.67,K
5/291047YX,反,1/845CC,1.5,K
5/291050YX,反,1/747AA,1.47,K
5/291050YX,反,1/823AA,0.08,K
5/291050YX,反,1/845BB,0.67,K
5/291050YX,反,1/845MM,2.65,K
5/291051YX,反,1/747AA,1.2,K
5/291051YX,反,1/823AA,0.11,K
5/291051YX,反,1/845BB,0.86,K
5/291051YX,反,1/845MM,4.54,K
5/291052YX,反,1/11811,1.59,K
5/291052YX,反,1/15971,0.32,K
5/291052YX,反,1/37502,3.61,K
5/291052YX,反,1/629AA,2.85,K
5/291052YX,反,1/845RR,0.08,K
5/291053YX,反,1/747AA,1.39,K
5/291053YX,反,1/823AA,0.07,K
5/291053YX,反,1/845BB,0.63,K
5/291053YX,反,1/845MM,3.31,K
5/292017YX,反,1/636BB,20.07,K
5/292023YX,反,1/737AA,17.14,K
5/292023YX,反,1/738AA,3.41,K
5/292028YX,反,1/848NN,12.25,K
5/292028YX,反,1/849KK,9.33,K
5/292029LX,反,1/48161,1.74,K
5/292029LX,反,1/848RR,13.94,K
5/292029LX,反,1/848SS,1.52,K
5/292029LX,反,1/848TT,0.16,K
5/292030LX,反,1/48131,4.15,K
5/292030LX,反,1/848QQ,1.23,K
5/292030LX,反,1/854AA,4.32,K
5/292031YX,反,1/48151,3.82,K
5/292031YX,反,1/720AA,3.8,K
5/292031YX,反,1/848OO,3.81,K
5/292031YX,反,1/848PP,0.1,K
5/292032LX,反,1/45461,2.39,K
5/292032LX,反,1/706AA,5.98,K
5/292032LX,反,1/845EE,1.58,K
5/292033YX,反,1/845JJ,8.46,K
5/292033YX,反,1/845KK,8.12,K
5/292033YX,反,1/845NN,1.27,K
5/292034YX,反,1/845GG,9.17,K
5/292034YX,反,1/845HH,0.39,K
5/292034YX,反,1/845II,7.24,K
5/292035YX,反,1/845JJ,8.46,K
5/292035YX,反,1/845KK,8.12,K
5/292035YX,反,1/845LL,1.27,K
5/292036YX,反,1/845SS,16.5,K
5/292037YX,反,1/845OO,8.81,K
5/292037YX,反,1/845PP,2.05,K
5/292037YX,反,1/845QQ,7.16,K
5/292038LX,反,1/845TT,5.49,K
5/292038LX,反,1/845UU,2.95,K
5/292038LX,反,1/845VV,2.7,K
5/292039YX,反,1/845WW,12.15,K
5/292039YX,反,1/845XX,10.17,K
5/292040YX,反,1/45471,9.68,K
5/292040YX,反,1/661AA,0.06,K
5/292040YX,反,1/845ZZ,9.03,K
5/292041YX,反,1/45361,10.01,K
5/292041YX,反,1/661AA,0.06,K
5/292041YX,反,1/845YY,8.47,K
5/292042LX,反,1/45461,2.39,K
5/292042LX,反,1/844FF,5.98,K
5/292042LX,反,1/845EE,1.58,K
5/292043YX,反,1/635UU,7.22,K
5/292043YX,反,1/635VV,5.83,K
5/292043YX,反,1/849SS,0.66,K
5/292044YX,反,1/844BB,16.96,K
5/292044YX,反,1/844CC,0.46,K
5/292045YX,反,1/656AA,3.96,K
5/292045YX,反,1/844DD,14.76,K
5/292045YX,反,1/844EE,0.29,K
5/295000YA,反,1/10561,6.95,K
5/295000YA,反,1/87131,12.93,K
5/295025YX,反,1/10551,1.8,K
5/295025YX,反,1/24100,6.69,K
