製品,製品単位,部品,必要量,部品単位
5/292031YX,反,NO292031YX,1,反
5/292032LX,反,NO292032LX,1,反
5/292033YX,反,NO292033YX,1,反
5/292034YX,反,NO292034YX,1,反
5/292035YX,反,NO292035YX,1,反
5/292036YX,反,NO292036YX,1,反
5/292037YX,反,NO292037YX,1,反
5/292038LX,反,NO292038LX,1,反
5/292039YX,反,NO292039YX,1,反
5/292040YX,反,NO292040YX,1,反
5/292041YX,反,NO292041YX,1,反
5/292042LX,反,NO292042LX,1,反
5/292043YX,反,NO292043YX,1,反
5/292044YX,反,NO292044YX,1,反
5/292045YX,反,NO292045YX,1,反
5/295000YA,反,NO295000YA,1,反
5/295025YX,反,NO295025YX,1,反
5/295026YX,反,NO295026YX,1,反
5/295027YX,反,NO295027YX,1,反
5/390022JX,反,NO390022JX,1,反
5/390023JX,反,NO390023JX,1,反
5/390024JX,反,NO390024JX,1,反
5/390025JX,反,NO390025JX,1,反
5/390026JX,反,NO390026JX,1,反
5/290045VX,,,,
5/290045VX,,,,
5/290054YB,,,,
5/290054YB,,,,
5/290054YB,,,,
5/290072ZA,,,,
5/290072ZA,,,,
5/290072ZX,,,,
5/290072ZX,,,,
5/290106YX,,,,
5/290106YX,,,,
5/290107YX,,,,
5/290107YX,,,,
5/290107YX,,,,
5/290168VX,,,,
5/290168VX,,,,
5/290168VX,,,,
5/290168ZX,,,,
5/290168ZX,,,,
5/290168ZX,,,,
5/290169GA,,,,
5/290169GA,,,,
5/290169GA,,,,
5/290169GA,,,,
5/290169GA,,,,
5/290169GA,,,,
5/290169GX,,,,
5/290169GX,,,,
5/290169GX,,,,
5/290169GX,,,,
5/290169GX,,,,
5/290169GX,,,,
5/290170GA,,,,
5/290170GA,,,,
5/290170GA,,,,
5/290170GA,,,,
5/290170GA,,,,
5/290170GA,,,,
5/290170GX,,,,
5/290170GX,,,,
5/290170GX,,,,
5/290170GX,,,,
5/290170GX,,,,
5/290170GX,,,,
5/290173YX,,,,
5/290173YX,,,,
5/290173YX,,,,
5/290173YX,,,,
5/290174YX,,,,
5/290174YX,,,,
5/290174YX,,,,
5/290174YX,,,,
5/290175YX,,,,
5/290175YX,,,,
5/290175YX,,,,
5/290176YX,,,,
5/290176YX,,,,
5/290176YX,,,,
5/290177YX,,,,
5/290177YX,,,,
5/290177YX,,,,
5/290177YX,,,,
5/290178YX,,,,
5/290178YX,,,,
5/290178YX,,,,
5/290178YX,,,,
5/290179YX,,,,
5/290179YX,,,,
5/290179YX,,,,
5/290180YX,,,,
5/290180YX,,,,
5/290180YX,,,,
5/290181YX,,,,
5/290181YX,,,,
5/290181YX,,,,
5/290182YX,,,,
5/290182YX,,,,
5/290183YX,,,,
5/290183YX,,,,
5/290184YX,,,,
5/290184ZX,,,,
5/290185YX,,,,
5/290185YX,,,,
5/290186YX,,,,
5/290186YX,,,,
5/290187YX,,,,
5/290187YX,,,,
5/290188YX,,,,
5/290188YX,,,,
5/290188YX,,,,
5/290188YX,,,,
5/290189YX,,,,
5/290189YX,,,,
5/290189YX,,,,
5/291036YX,,,,
5/291036YX,,,,
5/291036YX,,,,
5/291036YX,,,,
5/291036YX,,,,
5/291036YX,,,,
5/291036YX,,,,
5/291042YX,,,,
5/291042YX,,,,
5/291042YX,,,,
5/291046YX,,,,
5/291046YX,,,,
5/291046YX,,,,
5/291046YX,,,,
5/291047YX,,,,
5/291047YX,,,,
5/291047YX,,,,
5/291047YX,,,,
5/291047YX,,,,
5/291050YX,,,,
5/291050YX,,,,
5/291050YX,,,,
5/291050YX,,,,
5/291051YX,,,,
5/291051YX,,,,
5/291051YX,,,,
5/291051YX,,,,
5/291052YX,,,,
5/291052YX,,,,
5/291052YX,,,,
5/291052YX,,,,
5/291052YX,,,,
5/291053YX,,,,
5/291053YX,,,,
5/291053YX,,,,
5/291053YX,,,,
5/292017YX,,,,
5/292023YX,,,,
5/292023YX,,,,
5/292028YX,,,,
5/292028YX,,,,
5/292029LX,,,,
5/292029LX,,,,
5/292029LX,,,,
5/292029LX,,,,
5/292030LX,,,,
5/292030LX,,,,
5/292030LX,,,,
5/292031YX,,,,
5/292031YX,,,,
5/292031YX,,,,
5/292031YX,,,,
5/292032LX,,,,
5/292032LX,,,,
5/292032LX,,,,
5/292033YX,,,,
5/292033YX,,,,
5/292033YX,,,,
5/292034YX,,,,
5/292034YX,,,,
5/292034YX,,,,
5/292035YX,,,,
5/292035YX,,,,
5/292035YX,,,,
5/292036YX,,,,
5/292037YX,,,,
5/292037YX,,,,
5/292037YX,,,,
5/292038LX,,,,
5/292038LX,,,,
5/292038LX,,,,
5/292039YX,,,,
5/292039YX,,,,
5/292040YX,,,,
5/292040YX,,,,
5/292040YX,,,,
5/292041YX,,,,
5/292041YX,,,,
5/292041YX,,,,
5/292042LX,,,,
5/292042LX,,,,
5/292042LX,,,,
5/292043YX,,,,
5/292043YX,,,,
5/292043YX,,,,
5/292044YX,,,,
5/292044YX,,,,
5/292045YX,,,,
5/292045YX,,,,
5/292045YX,,,,
5/295000YA,,,,
5/295000YA,,,,
5/295025YX,,,,
5/295025YX,,,,
5/295025YX,,,,
5/295026YX,,,,
5/295026YX,,,,
5/295026YX,,,,
5/295027YX,,,,
5/295027YX,,,,
5/295027YX,,,,
5/390022JX,,,,
5/390022JX,,,,
5/390022JX,,,,
5/390023JX,,,,
5/390023JX,,,,
5/390023JX,,,,
5/390023JX,,,,
5/390024JX,,,,
5/390024JX,,,,
5/390025JX,,,,
5/390025JX,,,,
5/390025JX,,,,
5/390026JX,,,,
5/390026JX,,,,
5/039413XE,,,,
5/039413XE,,,,
5/039413XE,,,,
5/039413XE,,,,
5/039413XE,,,,
5/039413XE,,,,
5/039428PX,,,,
5/039428PX,,,,
5/076410CB,,,,
5/076410CB,,,,
5/076410CB,,,,
5/076410CB,,,,
5/076410CB,,,,
5/076410CB,,,,
5/076410CC,,,,
5/076410CC,,,,
5/076410CC,,,,
5/076410CC,,,,
5/076410CC,,,,
5/076410CC,,,,
5/079664CB,,,,
5/079664CB,,,,
5/079664FX,,,,
5/079664FX,,,,
5/097064CX,,,,
5/097064CX,,,,
5/097064CX,,,,
5/097064CX,,,,
5/097064JD,,,,
5/097064JD,,,,
5/097064JD,,,,
5/097064JD,,,,
5/097227ZX,,,,
5/097227ZX,,,,
5/097227ZX,,,,
5/097400VX,,,,
5/097400VX,,,,
5/098105VX,,,,
5/098105VX,,,,
5/098262JC,,,,
5/098262JC,,,,
5/098262JC,,,,
5/098286YA,,,,
5/098286YA,,,,
5/098459YB,,,,
5/098459YB,,,,
5/098459YB,,,,
5/098459YB,,,,
5/098477YX,,,,
5/098477YX,,,,
5/098477YX,,,,
5/098557CX,,,,
5/098557CX,,,,
5/098557CX,,,,
5/098557CX,,,,
5/098557CX,,,,
5/098557CX,,,,
5/098557CX,,,,
5/098761XX,,,,
5/098761XX,,,,
5/098761XX,,,,
5/098762ZX,,,,
5/098762ZX,,,,
5/098847LA,,,,
5/098847LA,,,,
5/099306JA,,,,
5/099306JA,,,,
5/099306JA,,,,
5/099307JA,,,,
5/099307JA,,,,
5/099307JA,,,,
5/099307JA,,,,
5/099394YA,,,,
5/099394YA,,,,
5/099394YA,,,,
5/099394YA,,,,
5/099394YX,,,,
5/099394YX,,,,
5/099394YX,,,,
5/099394YX,,,,
5/099401JX,,,,
5/099401JX,,,,
5/099401JX,,,,
5/099401JX,,,,
5/099401JX,,,,
5/099442VX,,,,
5/099442VX,,,,
5/099453ZX,,,,
5/099453ZX,,,,
5/099453ZX,,,,
5/099453ZX,,,,
5/099510ZX,,,,
5/099510ZX,,,,
5/099518YX,,,,
5/099518YX,,,,
5/099519LX,,,,
5/099519LX,,,,
5/099536YX,,,,
5/099536YX,,,,
5/099538LX,,,,
5/099538LX,,,,
5/099550YX,,,,
5/099550YX,,,,
5/099550YX,,,,
5/099550YX,,,,
5/099556YX,,,,
5/099556YX,,,,
5/099556ZX,,,,
5/099556ZX,,,,
5/099559YA,,,,
5/099559YA,,,,
5/099559YA,,,,
5/099559YA,,,,
5/099559YA,,,,
5/099559YA,,,,
5/099633YX,,,,
5/099633YX,,,,
5/099633YX,,,,
5/099652LA,,,,
5/099652LA,,,,
5/099652LA,,,,
5/099652LA,,,,
5/099652LA,,,,
5/099658YA,,,,
5/099658YA,,,,
5/099658YA,,,,
5/099660EX,,,,
5/099660EX,,,,
5/099660EX,,,,
5/099683YX,,,,
5/099683YX,,,,
5/099706YA,,,,
5/099706YA,,,,
5/099707YA,,,,
5/099707YA,,,,
5/099762YX,,,,
5/099762YX,,,,
5/099788LX,,,,
5/099788LX,,,,
5/099788LX,,,,
5/099788LX,,,,
5/099797YX,,,,
5/099797YX,,,,
5/099818JX,,,,
5/099819JX,,,,
5/099819JX,,,,
5/099838YX,,,,
5/099838YX,,,,
5/099838YX,,,,
5/099838YX,,,,
