製品,製品単位,部品,必要量,部品単位,行
3/B7527,K,1/11161,0.34,K,2
3/B7527,K,1/25431,0.68,K,3
3/B7787,K,1/10301,0.37,K,2
3/B7787,K,1/25201,0.66,K,3
3/B7797,K,1/10301,0.37,K,2
3/B7797,K,1/25201,0.66,K,3
3/B7927,K,1/10291,0.29,K,2
3/B7927,K,1/85141,0.74,K,3
3/B7937,K,1/10291,0.29,K,2
3/B7937,K,1/85141,0.74,K,3
3/B8127,K,1/10291,0.39,K,2
3/B8127,K,1/23251,0.63,K,3
3/B8137,K,1/10291,0.39,K,2
3/B8137,K,1/23251,0.63,K,3
3/B8147,K,1/10291,0.39,K,2
3/B8147,K,1/23251,0.63,K,3
3/B8157,K,1/10291,0.39,K,2
3/B8157,K,1/23251,0.63,K,3
3/B8167,K,1/10291,0.3,K,2
3/B8167,K,1/23231,0.73,K,3
3/B8177,K,1/10291,0.3,K,2
3/B8177,K,1/23231,0.73,K,3
3/B8227,K,1/10291,0.38,K,2
3/B8227,K,1/85131,0.66,K,3
3/B8237,K,1/10291,0.38,K,2
3/B8237,K,1/85131,0.66,K,3
3/B8267,K,1/10291,0.37,K,2
3/B8267,K,1/85131,0.67,K,3
3/B8277,K,1/10291,0.37,K,2
3/B8277,K,1/85131,0.67,K,3
3/B8347,K,1/10731,0.34,K,2
3/B8347,K,1/25431,0.68,K,3
3/B8357,K,1/10731,0.34,K,2
3/B8357,K,1/25431,0.68,K,3
3/B8757,K,1/10291,0.29,K,2
3/B8757,K,1/85141,0.74,K,3
3/B8887,K,1/10291,0.29,K,2
3/B8887,K,1/25871,0.74,K,3
3/B8897,K,1/10291,0.29,K,2
3/B8897,K,1/25871,0.74,K,3
3/B8947,K,1/10291,0.22,K,2
3/B8947,K,1/25732,0.82,K,3
3/B8957,K,1/10291,0.22,K,2
3/B8957,K,1/25732,0.82,K,3
3/B9707,K,1/11151,0.34,K,2
3/B9707,K,1/85181,0.69,K,3
3/B9717,K,1/11151,0.34,K,2
3/B9717,K,1/85181,0.69,K,3
3/B9727,K,1/11151,0.34,K,2
3/B9727,K,1/25312,0.68,K,3
3/B9737,K,1/11151,0.34,K,2
3/B9737,K,1/25312,0.68,K,3
3/B9847,K,1/11151,0.35,K,2
3/B9847,K,1/25312,0.69,K,3
3/B9857,K,1/11151,0.35,K,2
3/B9857,K,1/25312,0.69,K,3
3/B9867,K,1/11151,0.34,K,2
3/B9867,K,1/85181,0.69,K,3
3/B9877,K,1/11151,0.34,K,2
3/B9877,K,1/85181,0.69,K,3
3/C0947,K,1/52621,1.03,K,2
3/C1676,K,1/53461,1.03,K,2
3/C3296,K,1/50110,1.03,K,2
3/D0056,K,1/13811,0.53,K,2
3/D0056,K,1/25312,0.49,K,3
3/D0087,K,1/13811,1.02,K,2
3/D0097,K,1/13811,1.03,K,2
3/D0455,K,1/25871,1.02,K,2
3/D0655,K,1/85141,1.02,K,2
3/D0897,K,1/12531,1.02,K,2
3/D1588,K,3/N1246,1.02,K,2
3/D1598,K,3/N1256,1.02,K,2
3/D1608,K,3/N1307,1.02,K,2
3/D1618,K,3/N1317,1.02,K,2
3/D1708,K,3/N0803,1.03,K,2
3/D1718,K,3/N0813,1.03,K,2
3/D1844,K,1/24031,1.03,K,2
3/D2327,K,1/13901,1.02,K,2
3/D2337,K,1/13901,1.02,K,2
3/D2357,K,1/13901,1.02,K,2
3/D2606,K,1/25511,0.79,K,2
3/D2606,K,1/24031,0.24,K,3
3/D3294,K,1/15921,1.02,K,2
3/D3833,K,1/24061,1.03,K,2
3/D3896,K,1/24100,1.02,K,2
3/D3907,K,1/24100,1.02,K,2
3/D3917,K,1/24100,1.02,K,2
3/D4867,K,1/13081,1.02,K,2
3/D4877,K,1/13081,1.02,K,2
3/D5107,K,1/13031,1.02,K,2
3/D5117,K,1/13031,1.02,K,2
3/D5527,K,1/10561,0.36,K,2
3/D5527,K,1/87131,0.67,K,3
3/D5537,K,1/10561,0.36,K,2
3/D5537,K,1/87131,0.67,K,3
3/D9506,K,1/672AA,1.03,K,2
3/D9526,K,1/672BB,1.03,K,2
3/D9546,K,1/672CC,1.03,K,2
3/D9566,K,1/672DD,1.03,K,2
3/D9586,K,1/672EE,1.03,K,2
3/D9606,K,1/672FF,1.03,K,2
3/D9626,K,1/672GG,1.03,K,2
3/D9646,K,1/672HH,1.03,K,2
3/D9666,K,1/672II,1.03,K,2
3/D9686,K,1/672JJ,1.03,K,2
3/D9706,K,1/673AA,1.03,K,2
3/E1725,K,3/270MA,1.02,K,2
3/E1805,K,3/270JA,1.02,K,2
3/E1814,K,3/270JA,1.02,K,2
3/E2665,K,3/558CA,1.02,K,2
3/E4201,K,3/272AA,1.03,K,2
3/E4314,K,3/558CA,1.02,K,2
3/E4368,K,3/S2882,1.03,K,2
3/E4401,K,3/353VA,1.02,K,2
3/E4468,K,3/S2842,1.03,K,2
3/E4478,K,3/S2842,0.97,K,2
3/E4478,K,1/29281,0.07,K,3
3/E5064,K,3/558CA,1.03,K,2
3/E5256,K,3/550CS,1.02,K,2
3/E5266,K,3/257AA,1.02,K,2
3/E6917,K,3/362AA,1.02,K,2
3/E7146,K,3/256NA,1.02,K,2
3/E7206,K,3/256MA,1.02,K,2
3/E7264,K,3/256JA,1.02,K,2
3/E7384,K,3/256NA,1.02,K,2
3/E7414,K,3/567CS,1.02,K,2
3/E8034,K,3/578NA,1.02,K,2
3/F1408,K,3/R1409,0.85,K,2
3/F1408,K,1/25732,0.18,K,3
3/F1468,K,3/R1469,0.85,K,2
3/F1468,K,1/87191,0.19,K,3
3/F2017,K,1/11691,0.23,K,2
3/F2017,K,1/25871,0.37,K,3
3/F2017,K,1/12991,0.43,K,4
3/F2246,K,3/103LA,0.32,K,2
3/F2246,K,3/111RA,0.61,K,3
3/F2246,K,1/11691,0.17,K,4
3/G1117,K,1/11701,0.42,K,2
3/G1117,K,3/168AA,0.62,K,3
3/G1936,K,3/121KA,0.36,K,2
3/G1936,K,1/87201,0.68,K,3
3/G2615,K,3/048BA,0.33,K,2
3/G2615,K,1/25732,0.7,K,3
3/G3107,K,1/964BS,0.43,K,2
3/G3107,K,1/82081,0.61,K,3
3/G3117,K,1/964AA,0.43,K,2
3/G3117,K,1/82081,0.61,K,3
3/G3934,K,3/507DA,0.35,K,2
3/G3934,K,1/25312,0.68,K,3
3/G3954,K,3/507DA,0.51,K,2
3/G3954,K,1/25312,0.51,K,3
3/G4024,K,3/507JA,0.36,K,2
3/G4024,K,1/25312,0.67,K,3
3/G4044,K,3/507JA,0.36,K,2
3/G4044,K,1/85181,0.67,K,3
3/G4064,K,3/507JA,0.43,K,2
3/G4064,K,1/25101,0.61,K,3
3/G4888,K,3/182HA,0.46,K,2
3/G4888,K,3/B0032,0.57,K,3
3/H1137,K,1/13901,0.45,K,2
3/H1137,K,1/44471,0.58,K,3
3/H3504,K,1/25421,0.55,K,2
3/H3504,K,1/56021,0.48,K,3
3/H3544,K,1/25421,0.55,K,2
3/H3544,K,1/55021,0.48,K,3
3/H5815,K,1/25511,0.47,K,2
3/H5815,K,1/48051,0.56,K,3
3/H5835,K,1/25511,0.48,K,2
3/H5835,K,1/37151,0.56,K,3
3/J1024,K,3/401UA,0.52,K,2
3/J1024,K,3/440MA,0.51,K,3
3/J1184,K,3/401UA,0.53,K,2
3/J1184,K,3/441TA,0.5,K,3
3/J3685,K,3/464AA,0.66,K,2
3/J3685,K,1/85181,0.38,K,3
3/J3706,K,3/465AA,0.74,K,2
3/J3706,K,1/85131,0.3,K,3
3/J3755,K,3/430FA,1.1,K,2
3/J3935,K,3/430GA,1.1,K,2
3/J3955,K,3/430HA,1.03,K,2
3/J6484,K,3/432FA,0.73,K,2
3/J6484,K,1/37542,0.37,K,3
3/J6524,K,3/432GA,0.74,K,2
3/J6524,K,1/85151,0.3,K,3
3/L3209,K,1/848VV,1.02,K,2
3/N0803,K,1/25871,0.48,K,2
3/N0803,K,3/B3007,0.54,K,3
3/N0813,K,1/25871,0.48,K,2
3/N0813,K,3/B3017,0.54,K,3
3/N1246,K,1/10551,0.22,K,2
3/N1246,K,1/24100,0.82,K,3
3/N1256,K,1/10551,0.22,K,2
3/N1256,K,1/24100,0.82,K,3
3/N1307,K,1/10061,0.23,K,2
3/N1307,K,1/24001,0.81,K,3
3/N1317,K,1/10061,0.23,K,2
3/N1317,K,1/24001,0.81,K,3
3/R1409,K,1/600SA,0.36,K,2
3/R1409,K,1/25732,0.74,K,3
3/R1469,K,1/600SA,0.37,K,2
3/R1469,K,1/87191,0.73,K,3
3/S2842,K,3/353MA,1.01,K,2
3/S2882,K,3/353UA,1.01,K,2
3/W1385,K,3/581AA,1.02,K,2
3/W1395,K,3/581AA,1.02,K,2
3/W1425,K,3/581AA,1.02,K,2
3/W1435,K,3/581AA,1.02,K,2
3/W1921,K,3/558CA,1.03,K,2
3/W2487,K,1/10151,0.3,K,2
3/W2487,K,1/25871,0.72,K,3
3/W2497,K,1/10151,0.3,K,2
3/W2497,K,1/25871,0.72,K,3
3/W2834,K,3/278JA,1.02,K,2
3/W2844,K,3/264HA,1.02,K,2
3/Y5161,K,1/82081,0.43,K,2
3/Y5161,K,1/964AA,0.57,K,3
3/Y5171,K,3/Y5161,1,K,2
3/Y5181,K,1/82081,0.43,K,2
3/Y5181,K,1/964BS,0.57,K,3
3/Y5191,K,3/Y5181,1,K,2
