コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
5/098761PX,生機: 98761PX,ｷﾊﾞﾀ 98761PX,反,0.02,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,41016,34180,29297.1,25635,22786.7,20508,20508,20508,,,,,,,,,表示する,
5/098761XX,生機: 98761XX,ｷﾊﾞﾀ 98761XX,反,0.02,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,61732,51443,44094.3,38582.5,34295.6,30866,30866,30866,,,,,,,,,表示する,
5/098774JA,生機: 98774JA,ｷﾊﾞﾀ 98774JA,反,0.02,TA41/R34/C13/P12,50M,136,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,80,,81,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
5/098810VX,生機: 98810VX,ｷﾊﾞﾀ 98810VX,反,0.02,TA64/P36,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,80,,81,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
5/098810ZX,生機: 98810ZX,ｷﾊﾞﾀ 98810ZX,反,0.02,TA64/P36,50,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,63850,53208,45607.1,39906.3,35472.2,31925,31925,31925,,,,,,,,,表示する,
5/099201JA,生機: 99201JA,ｷﾊﾞﾀ 99201JA,反,0.02,P91/TA9,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,79498,66248,56784.3,49686.3,44165.6,39749,39749,39749,,,,,,,,,表示する,
5/099268YX,生機: 99268YX,ｷﾊﾞﾀ 99268YX,反,0.02,R49/TA45/P6,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,80312,66927,57365.7,50195,44617.8,40156,40156,40156,,,,,,,,,表示する,
5/099401JA,生機: 99401JA,ｷﾊﾞﾀ 99401JA,反,0.02,TA49/C35/P16,50M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,58606,48838,41861.4,36628.8,32558.9,29303,29303,29303,,,,,,,,,表示する,
5/099401JX,生機: 99401JX,ｷﾊﾞﾀ 99401JX,反,0.02,TA48/C35/P17,50M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,58518,48765,41798.6,36573.8,32510,29259,29259,29259,,,,,,,,,表示する,
5/099442VX,生機: 99442VX,ｷﾊﾞﾀ 99442VX,反,0.02,TA83/P17,50,142,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,72100,60083,51500,45062.5,40055.6,36050,36050,36050,,,,,,,,,表示する,
5/099453ZX,生機: 99453ZX,ｷﾊﾞﾀ 99453ZX,反,0.022222222,TA69/P31,45M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,75820,63183,54157.1,47387.5,42122.2,37910,37910,37910,,,,,,,,,表示する,
5/099510ZX,生機: 99510ZX,ｷﾊﾞﾀ 99510ZX,反,0.02,TA66/C34,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,54090,45075,38635.7,33806.3,30050,27045,27045,27045,,,,,,,,,表示する,
5/099533YA,生機: 99533YA,ｷﾊﾞﾀ 99533YA,反,0.02,TA65/P35,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,62284,51903,44488.6,38927.5,34602.2,31142,31142,31142,,,,,,,,,表示する,
5/099536YX,生機: 99536YX,ｷﾊﾞﾀ 99536YX,反,0.02,P85/C15,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,185968,154973,132834.3,116230,103315.6,92984,92984,92984,,,,,,,,,表示する,
5/099538LX,生機: 99538LX,ｷﾊﾞﾀ 99538LX,反,0.02,R62/OJ38,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,89084,74237,63631.4,55677.5,49491.1,44542,44542,44542,,,,,,,,,表示する,
5/099542LA,生機: 99542LA,ｷﾊﾞﾀ 99542LA,反,0.02,TA76/P24,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,77700,64750,55500,48562.5,43166.7,38850,38850,38850,,,,,,,,,表示する,
5/099556ZX,生機: 99556ZX,ｷﾊﾞﾀ 99556ZX,反,0.02,TA66/P34,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,73900,61583,52785.7,46187.5,41055.6,36950,36950,36950,,,,,,,,,表示する,
5/099574LX,生機: 99574LX,ｷﾊﾞﾀ 99574LX,反,0.02,TA100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,109544,91287,78245.7,68465,60857.8,54772,54772,54772,,,,,,,,,表示する,
5/099614YX,生機: 99614YX,ｷﾊﾞﾀ 99614YX,反,0.02,AC64/CU36,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,80,,81,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
5/099683YX,生機: 99683YX,ｷﾊﾞﾀ 99683YX,反,0.02,TA82/P18,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,74048,61707,52891.4,46280,41137.8,37024,37024,37024,,,,,,,,,表示する,
5/099706YA,生機: 99706YA,ｷﾊﾞﾀ 99706YA,反,0.02,AC58/P42,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,55668,46390,39762.9,34792.5,30926.7,27834,27834,27834,,,,,,,,,表示する,
5/099707YA,生機: 99707YA,ｷﾊﾞﾀ 99707YA,反,0.02,AC58/P42,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,64520,53767,46085.7,40325,35844.4,32260,32260,32260,,,,,,,,,表示する,
5/099709LA,生機: 99709LA,ｷﾊﾞﾀ 99709LA,反,0.02,TA76/P24,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,84224,70187,60160,52640,46791.1,42112,42112,42112,,,,,,,,,表示する,
5/099762YX,生機: 99762YX,ｷﾊﾞﾀ 99762YX,反,0.02,P85/C15,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,173192,144327,123708.6,108245,96217.8,86596,86596,86596,,,,,,,,,表示する,
5/099779YX,生機: 99779YX,ｷﾊﾞﾀ 99779YX,反,0.02,TA63/P37,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,66446,55372,47461.4,41528.8,36914.4,33223,33223,33223,,,,,,,,,表示する,
5/099808LA,生機: 99808LA,ｷﾊﾞﾀ 99808LA,反,0.02,R48/TA26/P16/CU10,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,80,,81,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
5/099812YX,生機: 99812YX,ｷﾊﾞﾀ 99812YX,反,0.02,TA67/P23/MO10,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,73808,61507,52720,46130,41004.4,36904,36904,36904,,,,,,,,,表示する,
5/099818JX,生機: 99818JX,ｷﾊﾞﾀ 99818JX,反,0.02,P100,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,102124,85103,72945.7,63827.5,56735.6,51062,51062,51062,,,,,,,,,表示する,
5/099819JX,生機: 99819JX,ｷﾊﾞﾀ 99819JX,反,0.02,P87/C13,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,115592,96327,82565.7,72245,64217.8,57796,57796,57796,,,,,,,,,表示する,
5/099830YA,生機: 99830YA,ｷﾊﾞﾀ 99830YA,反,0.02,P42/TA32/MO26,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,50226,41855,35875.7,31391.3,27903.3,25113,25113,25113,,,,,,,,,表示する,
5/099838YX,生機: 99838YX,ｷﾊﾞﾀ 99838YX,反,0.02,TA71/P29,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,80,,81,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
5/099847JX,生機: 99847JX,ｷﾊﾞﾀ 99847JX,反,0.02,TA67/P33,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,39084,32570,27917.1,24427.5,21713.3,19542,19542,19542,,,,,,,,,表示する,
5/099879JX,生機: 99879JX,ｷﾊﾞﾀ 99879JX,反,0.02,P100,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,18032,15027,12880,11270,10017.8,9016,9016,9016,,,,,,,,,表示する,
5/099900JX,生機: 99900JX,ｷﾊﾞﾀ 99900JX,反,0.02,P100,50M,125,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,57918,48265,41370,36198.8,32176.7,28959,28959,28959,,,,,,,,,表示する,
5/102144BB,生機:102144BB,ｷﾊﾞﾀ102144BB,反,0.02,P76/R24,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,56468,47057,40334.3,35292.5,31371.1,28234,28234,28234,,,,,,,,,表示する,
5/102633ZX,生機:102633ZX,ｷﾊﾞﾀ102633ZX,反,0.02,P52/TA48,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,51836,43197,37025.7,32397.5,28797.8,25918,25918,25918,,,,,,,,,表示する,
5/115157ZA,生機:115157ZA,ｷﾊﾞﾀ115157ZA,反,0.02,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,30,,X,,,,,M,,39806,33172,28432.9,24878.8,22114.4,19903,19903,19903,,,,,,,,,表示する,
5/115157ZB,生機:115157ZB,ｷﾊﾞﾀ115157ZB,反,0.02,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,30,,X,,,,,M,,40176,33480,28697.1,25110,22320,20088,20088,20088,,,,,,,,,表示する,
