コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
1/12521,糸:12521:ｿﾛﾃｯｸｽ(ZQT) <84T> SD 75/ 36 ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2,2,1.4,1.3,1.1,1,1,1,,,,,,,,,表示する,
1/12531,糸:12531:ｿﾛﾃｯｸｽ(EKT) <84T> SD 75/ 36 ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1560,1300,1114.3,975,866.7,780,780,780,,,,,,,,,表示する,
1/12831,糸:12831:T600EB SDR <89345>ｴｺ <83T> SD 75/ 35 89379 ﾃｲｼﾞﾝ/ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1220,1017,871.4,762.5,677.8,610,610,610,,,,,,,,,表示する,
1/12991,糸:12991:Z275 ﾜﾙﾂ <84T> SD 75/ 36 ﾄ-ﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1170,975,835.7,731.3,650,585,585,585,,,,,,,,,表示する,
1/13031,糸:13031:ｴｽﾃﾙ Z10 <110T> SD 100/ 24 B27 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1500,1250,1071.4,937.5,833.3,750,750,750,,,,,,,,,表示する,
1/13071,糸:13071:ｴｽﾃﾙ Z10 <110T> SD 100/ 24 B25 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
1/13081,糸:13081:ｴｽﾃﾙ Z10 <110T> SD 100/ 24 B29 ﾕﾆﾁｶ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1124,937,802.9,702.5,624.4,562,562,562,,,,,,,,,表示する,
1/13241,糸:13241:ﾃﾄﾛﾝ TT300H <110T> SD 100/ 24 ﾃｨﾌｨｺ(20) ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,737.2,614,526.6,460.8,409.6,368.6,368.6,368.6,,,,,,,,,表示する,
1/13251,糸:13251:ﾃﾄﾛﾝ TT300H <110T> SD 100/ 24 ﾃｨﾌｨｺ(00) ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,750,625,535.7,468.8,416.7,375,375,375,,,,,,,,,表示する,
1/13261,糸:13261:ﾃﾄﾛﾝ TT300H <110T> SD 100/ 48 (20)ﾃｨﾌｨｺ ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,670,558,478.6,418.8,372.2,335,335,335,,,,,,,,,表示する,
1/13811,糸:13811:E376SB ﾄﾘｸｼｵﾝ(SDU) <120T> SD 108/ 24 * ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1645,1371,1175,1028.1,913.9,822.5,822.5,822.5,,,,,,,,,表示する,
1/13901,糸:13901:OHS2 9262 <110T> SD 100/ 24 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1290,1075,921.4,806.3,716.7,645,645,645,,,,,,,,,表示する,
1/15051,糸:15051:PPT.F<T400> <165T> SD 147/ 68 1T107 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1820,1517,1300,1137.5,1011.1,910,910,910,,,,,,,,,表示する,
1/15091,糸:15091:ｽｽﾞｼﾔ <167T> 150/,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/15111,糸:15111:ﾀﾞﾊﾗ <190T> 171/,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/15381,糸:15381:ﾃﾄﾛﾝ 915 <167T> BR 150/ 48 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,810,675,578.6,506.3,450,405,405,405,,,,,,,,,表示する,
1/15791,糸:15791:ﾃﾄﾛﾝ TT300H <167T> SD 150/ 48 20F ﾃｨﾌｨｺ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,615.8,513,439.9,384.9,342.1,307.9,307.9,307.9,,,,,,,,,表示する,
1/15921,糸:15921:TT330HB ﾃｨﾌｨｺ <167T> BB 150/ 72 ﾃｲｼﾞﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,700,583,500,437.5,388.9,350,350,350,,,,,,,,,表示する,
1/15931,糸:15931:LOC2 SD 150/ 72 ﾄ-ﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/15971,糸:15971:DELTA BRIGHT(150/72X2ﾎﾝ) BR 300/ 144 TYPE769 ｵﾘｾﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/16451,糸:16451:ﾀﾞｲﾔﾌﾛｰﾗ(ﾅﾁｭﾗﾙ) <2080T> 1872/ 1,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
1/16461,糸:16461:ﾀﾞｲﾔﾌﾛｰﾗ(ﾅﾁｭﾗﾙ) <1200T> 1080/ 1 ﾄｳﾖｳﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,6100,5083,4357.1,3812.5,3388.9,3050,3050,3050,,,,,,,,,表示する,
1/16471,糸:16471:ﾀﾞｲﾔﾌﾛｰﾗ(ﾌﾞﾗｯｸ) <1200T> 1080/ 1 ﾄｳﾖｳﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,6100,5083,4357.1,3812.5,3388.9,3050,3050,3050,,,,,,,,,表示する,
1/16481,糸:16481:ﾀﾞｲﾔﾌﾛｰﾗ(ﾅﾁｭﾗﾙ) <500T> 450/ 1 ﾄｳﾖｳﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,6510,5425,4650,4068.8,3616.7,3255,3255,3255,,,,,,,,,表示する,
1/16491,糸:16491:ﾀﾞｲﾔﾌﾛｰﾗ(ﾌﾞﾗｯｸ) <500T> 450/ 1 ﾄｳﾖｳﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,6510,5425,4650,4068.8,3616.7,3255,3255,3255,,,,,,,,,表示する,
1/16711,糸:16711:T.POY <128T> SD 115/ 36 M8389 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,620,517,442.9,387.5,344.4,310,310,310,,,,,,,,,表示する,
1/16721,糸:16721:CDPOY <140T> SD 125/ 36 MC357 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,800,667,571.4,500,444.4,400,400,400,,,,,,,,,表示する,
1/16771,糸:16771:CD POY <140T> SD 125/ 36 MC349 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,720,600,514.3,450,400,360,360,360,,,,,,,,,表示する,
1/16791,糸:16791:CDPOY <140T> SD 125/ 36 MC361 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,770,642,550,481.3,427.8,385,385,385,,,,,,,,,表示する,
1/16801,糸:16801:T.POY <128T> SD 115/ 36 M8391 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,601.6,501,429.7,376,334.2,300.8,300.8,300.8,,,,,,,,,表示する,
1/16821,糸:16821:CDPOY <140T> SD 125/ 36 MC369 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,770,642,550,481.3,427.8,385,385,385,,,,,,,,,表示する,
1/17731,糸:17731:T.POY <255T> SD 230/ 48 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,440,367,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
1/17891,糸:17891:ｴｺPOY(ｹﾐｶﾙ) <278T> SD 250/ 48 M96D7 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,740,617,528.6,462.5,411.1,370,370,370,,,,,,,,,表示する,
1/17901,糸:17901:CDPOY <280T> SD 250/ 48 MC6C5 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,620,517,442.9,387.5,344.4,310,310,310,,,,,,,,,表示する,
1/17911,糸:17911:CDPOY <208T> SD 250/ 48 MC6C9 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,620,517,442.9,387.5,344.4,310,310,310,,,,,,,,,表示する,
1/18511,糸:18511:ｴｺPOY(ｹﾐｶﾙ) <278T> SD 250/ 48 M96D9 ﾅﾝﾔ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,740,617,528.6,462.5,411.1,370,370,370,,,,,,,,,表示する,
1/20341,糸:20341:ﾅｲﾛﾝ 66 <78T> SD 70/ 24 ﾀｲﾌﾟ1205 ﾄｰﾚ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1700,1417,1214.3,1062.5,944.4,850,850,850,,,,,,,,,表示する,
1/23231,糸:23231:ﾍﾞﾝﾍﾞﾙｸﾞ <84T> BR 75/ 45 ｱｻﾋｶｾｲ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2600,2167,1857.1,1625,1444.4,1300,1300,1300,,,,,,,,,表示する,
1/23251,糸:23251:ﾍﾞﾝﾍﾞﾙｸﾞ <56T> BR 50/ 30 ｱｻﾋｶｾｲ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2785.4,2321,1989.6,1740.9,1547.4,1392.7,1392.7,1392.7,,,,,,,,,表示する,
1/24001,糸:24001:ﾚｰﾖﾝ100(ｲｰｸﾞﾚｯﾄ) <84T> BR 75/ 30 ｲｰｸﾞﾚｯﾄ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2153.4,1795,1538.1,1345.9,1196.3,1076.7,1076.7,1076.7,,,,,,,,,表示する,
1/24031,糸:24031:ﾚｰﾖﾝ100 ﾎﾜｲﾄﾏｳﾝﾃﾝ <133T> BR 120/ 30 W ｷﾂﾘﾝｶｾﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1827.2,1523,1305.1,1142,1015.1,913.6,913.6,913.6,,,,,,,,,表示する,
1/24041,糸:24041:ﾚｰﾖﾝ100 ﾎﾜｲﾄﾏｳﾝﾃﾝ <330T> BR 300/ 60 W ｷﾂﾘﾝｶｾﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1600,1333,1142.9,1000,888.9,800,800,800,,,,,,,,,表示する,
1/24061,糸:24061:ﾚｰﾖﾝ100(ｲｰｸﾞﾚｯﾄ) <133T> SD 120/ 44 ｲｰｸﾞﾚｯﾄ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1813,1511,1295,1133.1,1007.2,906.5,906.5,906.5,,,,,,,,,表示する,
1/24100,糸:24100:ﾚｲﾖﾝ(ﾚﾝﾎﾞｳ) <133T> BR 120/ 44 ｲｰｸﾞﾚｯﾄ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1700,1417,1214.3,1062.5,944.4,850,850,850,,,,,,,,,表示する,
1/24731,糸:24731:ﾘﾝﾀﾞL235 <110T> BR 100/ 26 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1649.6,1375,1178.3,1031,916.4,824.8,824.8,824.8,,,,,,,,,表示する,
1/25101,糸:25101:ｲｰｽﾄﾏﾝAC <84T> BR 75/ 19 ｲｰｽﾄﾏﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
1/25201,糸:25201:ｿｱﾛﾝ(SJ) <61T> BR 55/ 15 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2911.8,2427,2079.9,1819.9,1617.7,1455.9,1455.9,1455.9,,,,,,,,,表示する,
1/25241,糸:25241:ｿｱﾛﾝ(SJ) <66T> DL 60/ 80 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
1/25312,糸:25312:ｿｱﾛﾝ(SJ) <110T> BR 100/ 26 LXB ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2296.6,1914,1640.4,1435.4,1275.9,1148.3,1148.3,1148.3,,,,,,,,,表示する,
1/25421,糸:25421:ｿｱﾛﾝ(SJ) <167T> BR 150/ 40 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2214.4,1845,1581.7,1384,1230.2,1107.2,1107.2,1107.2,,,,,,,,,表示する,
1/25431,糸:25431:ｿｱﾛﾝ(ES) HLY J-CUPS <110T> BR 100/ 40 50 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1820,1517,1300,1137.5,1011.1,910,910,910,,,,,,,,,表示する,
1/25511,糸:25511:ｿｱﾛﾝ(SJ) <220T> BR 200/ 34 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2161,1801,1543.6,1350.6,1200.6,1080.5,1080.5,1080.5,,,,,,,,,表示する,
1/25732,糸:25732:ｿｱﾛﾝ(SJ) <135T> BR 120/ 33 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2280,1900,1628.6,1425,1266.7,1140,1140,1140,,,,,,,,,表示する,
1/25801,"糸:25801:ｿｱﾛﾝ(SJ) <135T> DL 120/ 55 R,W,S,G,A ﾐﾂﾋﾞｼﾚｲﾖﾝ",,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2080,1733,1485.7,1300,1155.6,1040,1040,1040,,,,,,,,,表示する,
1/25871,糸:25871:ｿｱﾛﾝ(SJ) <84T> BR 75/ 20 LP9 ﾐﾂﾋﾞｼﾚｲﾖﾝ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,2302.8,1919,1644.9,1439.3,1279.3,1151.4,1151.4,1151.4,,,,,,,,,表示する,
1/29101,糸:29101:Tｷﾞﾝﾗﾒ 120ｷﾘ(B2) <70T> 62/ ﾚｲｺｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,12600,10500,9000,7875,7000,6300,6300,6300,,,,,,,,,表示する,
1/29121,糸:29121:Tﾌｨﾙﾑ 130ｷﾘ (#12 130ｷﾘ ﾅﾏｼﾛ) 42/ ﾐﾂﾜｻﾝｷﾞｮｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,3980,3317,2842.9,2487.5,2211.1,1990,1990,1990,,,,,,,,,表示する,
1/29141,糸:29141:ｵｰﾛﾗ 120ｷﾘ 88/ ﾐﾂﾜｻﾝｷﾞｮｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,6000,5000,4285.7,3750,3333.3,3000,3000,3000,,,,,,,,,表示する,
1/29281,糸:29281:ﾎﾜｲﾄﾍﾞﾙﾄﾛﾝ(B68)ﾃﾄﾛﾝ <22T> 20/ 3 ｶﾈﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,44200,36833,31571.4,27625,24555.6,22100,22100,22100,,,,,,,,,表示する,
1/34011,糸:34011:T100% SD 10/ - ﾔﾏﾃｯｸ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,679.8,567,485.6,424.9,377.7,339.9,339.9,339.9,,,,,,,,,表示する,
1/36251,糸:36251:ｴｺ100% SD 10/ - ﾐﾏｽ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,850,708,607.1,531.3,472.2,425,425,425,,,,,,,,,表示する,
1/36561,糸:36561:T100% SL(34) 16/ - Y ﾐﾏｽ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,1927.8,1607,1377,1204.9,1071,963.9,963.9,963.9,,,,,,,,,表示する,
1/37502,糸:37502:T100 ﾚｷﾞﾕﾗｰ 30/ - TT01 ｷﾀﾆﾎﾝﾎﾞｳ,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,,11,SFN,,非対象,1,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
