コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,ロット,発注連動,分類１,不要,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
8/039428,品番: 39428,ﾋﾝﾊﾞﾝ: 39428,M,50,P100,50M,160,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,PX,非対象,8,FALSE,30,,X,,,,,反,,875,1225,1049.9,918.6,816.6,734.9,734.9,734.9,,,,,,,,,表示する,
8/076410,品番: 76410,ﾋﾝﾊﾞﾝ: 76410,M,50,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,CB,非対象,8,FALSE,20,,B,,,,,反,,930,1396,1196.3,1046.8,930.4,837.4,837.4,837.4,,,,,,,,,表示する,
8/078019,品番: 78019,ﾋﾝﾊﾞﾝ: 78019,M,50,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,BA,非対象,8,FALSE,20,,B,,,,,反,,1100,1588,1361,1190.9,1058.6,952.7,952.7,952.7,,,,,,,,,表示する,
8/079664,品番: 79664,ﾋﾝﾊﾞﾝ: 79664,M,50,TA55/P45,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,CB,非対象,8,FALSE,50,,E,,,,,反,,940,1310,1123.1,982.8,873.6,786.2,786.2,786.2,,,,,,,,,表示する,
8/097064,品番: 97064,ﾋﾝﾊﾞﾝ: 97064,M,50,TA72/P28,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,CX,非対象,8,FALSE,50,,E,,,,,反,,950,1248,1069.7,936,832,748.8,748.8,748.8,,,,,,,,,表示する,
8/097402,品番: 97402,ﾋﾝﾊﾞﾝ: 97402,M,50,TA85/P15,50,128,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,XX,非対象,8,FALSE,50,,E,,,,,反,,825,1338,1147,1003.6,892.1,802.9,802.9,802.9,,,,,,,,,表示する,
8/097763,品番: 97763,ﾋﾝﾊﾞﾝ: 97763,M,50,P64/TA36,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JE,非対象,8,FALSE,20,,B,,,,,反,,750,1136,973.6,851.9,757.2,681.5,681.5,681.5,,,,,,,,,表示する,
8/098262,品番: 98262,ﾋﾝﾊﾞﾝ: 98262,M,50,P64/TA36,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JC,非対象,8,FALSE,20,,B,,,,,反,,870,1216,1042.3,912,810.7,729.6,729.6,729.6,,,,,,,,,表示する,
8/098284,品番: 98284,ﾋﾝﾊﾞﾝ: 98284,M,50,TA64/P36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,HC,非対象,8,FALSE,50,,E,,,,,反,,1100,1747,1497.4,1310.3,1164.7,1048.2,1048.2,1048.2,,,,,,,,,表示する,
8/098477,品番: 98477,ﾋﾝﾊﾞﾝ: 98477,M,50,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,680,1032,884.4,773.9,687.9,619.1,619.1,619.1,,,,,,,,,表示する,
8/098706,品番: 98706,ﾋﾝﾊﾞﾝ: 98706,M,50,TA60/P40,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,50,,E,,,,,反,,660,3055,2618.6,2291.3,2036.7,1833,1833,1833,,,,,,,,,表示する,
8/098761,品番: 98761,ﾋﾝﾊﾞﾝ: 98761,M,50,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,PX,非対象,8,FALSE,20,,B,,,,,反,,430,684,586,512.8,455.8,410.2,410.2,410.2,,,,,,,,,表示する,
8/098774,品番: 98774,ﾋﾝﾊﾞﾝ: 98774,M,50,TA41/R34/C13/P12,50M,136,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JA,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/098810,品番: 98810,ﾋﾝﾊﾞﾝ: 98810,M,50,TA64/P36,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/099201,品番: 99201,ﾋﾝﾊﾞﾝ: 99201,M,50,P91/TA9,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JA,非対象,8,FALSE,50,,E,,,,,反,,1270,1725,1478.6,1293.8,1150,1035,1035,1035,,,,,,,,,表示する,
8/099268,品番: 99268,ﾋﾝﾊﾞﾝ: 99268,M,50,R49/TA45/P6,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,1180,1755,1504.4,1316.4,1170.1,1053.1,1053.1,1053.1,,,,,,,,,表示する,
8/099401,品番: 99401,ﾋﾝﾊﾞﾝ: 99401,M,50,TA49/C35/P16,50M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JA,非対象,8,FALSE,50,,E,,,,,反,,1006,1494,1280.1,1120.1,995.7,896.1,896.1,896.1,,,,,,,,,表示する,
8/099442,品番: 99442,ﾋﾝﾊﾞﾝ: 99442,M,50,TA83/P17,50,142,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,50,,E,,,,,反,,900,1485,1272.9,1113.8,990,891,891,891,,,,,,,,,表示する,
8/099453,品番: 99453,ﾋﾝﾊﾞﾝ: 99453,M,45,TA69/P31,45M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,50,,E,,,,,反,,1690,2237,1917.7,1678,1491.6,1342.4,1342.4,1342.4,,,,,,,,,表示する,
8/099510,品番: 99510,ﾋﾝﾊﾞﾝ: 99510,M,50,TA66/C34,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,50,,E,,,,,反,,1330,1735,1487,1301.1,1156.6,1040.9,1040.9,1040.9,,,,,,,,,表示する,
8/099533,品番: 99533,ﾋﾝﾊﾞﾝ: 99533,M,50,TA65/P35,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YA,非対象,8,FALSE,50,,E,,,,,反,,980,1421,1218.3,1066,947.6,852.8,852.8,852.8,,,,,,,,,表示する,
8/099536,品番: 99536,ﾋﾝﾊﾞﾝ: 99536,M,50,P85/C15,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,50,,E,,,,,反,,1820,3933,3371,2949.6,2621.9,2359.7,2359.7,2359.7,,,,,,,,,表示する,
8/099538,品番: 99538,ﾋﾝﾊﾞﾝ: 99538,M,50,R62/OJ38,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,50,,E,,,,,反,,1695,1985,1701.1,1488.5,1323.1,1190.8,1190.8,1190.8,,,,,,,,,表示する,
8/099542,品番: 99542,ﾋﾝﾊﾞﾝ: 99542,M,50,TA76/P24,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LA,非対象,8,FALSE,50,,E,,,,,反,,1240,1695,1452.9,1271.3,1130,1017,1017,1017,,,,,,,,,表示する,
8/099556,品番: 99556,ﾋﾝﾊﾞﾝ: 99556,M,50,TA66/P34,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,20,,B,,,,,反,,1180,1648,1412.9,1236.3,1098.9,989,989,989,,,,,,,,,表示する,
8/099574,品番: 99574,ﾋﾝﾊﾞﾝ: 99574,M,50,TA100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,50,,E,,,,,反,,1950,2259,1936.3,1694.3,1506,1355.4,1355.4,1355.4,,,,,,,,,表示する,
8/099614,品番: 99614,ﾋﾝﾊﾞﾝ: 99614,M,50,AC64/CU36,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/099683,品番: 99683,ﾋﾝﾊﾞﾝ: 99683,M,50,TA82/P18,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,50,,E,,,,,反,,1200,1668,1429.3,1250.6,1111.7,1000.5,1000.5,1000.5,,,,,,,,,表示する,
8/099706,品番: 99706,ﾋﾝﾊﾞﾝ: 99706,M,50,AC58/P42,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YA,非対象,8,FALSE,20,,B,,,,,反,,700,928,795.3,695.9,618.6,556.7,556.7,556.7,,,,,,,,,表示する,
8/099707,品番: 99707,ﾋﾝﾊﾞﾝ: 99707,M,50,AC58/P42,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YA,非対象,8,FALSE,20,,B,,,,,反,,800,1075,921.7,806.5,716.9,645.2,645.2,645.2,,,,,,,,,表示する,
8/099709,品番: 99709,ﾋﾝﾊﾞﾝ: 99709,M,50,TA76/P24,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LA,非対象,8,FALSE,50,,E,,,,,反,,1330,1837,1574.6,1377.8,1224.7,1102.2,1102.2,1102.2,,,,,,,,,表示する,
8/099762,品番: 99762,ﾋﾝﾊﾞﾝ: 99762,M,50,P85/C15,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,50,,E,,,,,反,,1720,3720,3188.4,2789.9,2479.9,2231.9,2231.9,2231.9,,,,,,,,,表示する,
8/099779,品番: 99779,ﾋﾝﾊﾞﾝ: 99779,M,50,TA63/P37,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,50,,E,,,,,反,,1240,1508,1292.1,1130.6,1005,904.5,904.5,904.5,,,,,,,,,表示する,
8/099808,品番: 99808,ﾋﾝﾊﾞﾝ: 99808,M,50,R48/TA26/P16/CU10,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LA,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
