コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,ロット,発注連動,分類１,不要,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
8/099812,品番: 99812,ﾋﾝﾊﾞﾝ: 99812,M,50,TA67/P23/MO10,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,50,,E,,,,,反,,1250,1730,1483,1297.6,1153.4,1038.1,1038.1,1038.1,,,,,,,,,表示する,
8/099818,品番: 99818,ﾋﾝﾊﾞﾝ: 99818,M,50,P100,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JX,非対象,8,FALSE,20,,B,,,,,反,,950,2035,1744.6,1526.5,1356.9,1221.2,1221.2,1221.2,,,,,,,,,表示する,
8/099819,品番: 99819,ﾋﾝﾊﾞﾝ: 99819,M,50,P87/C13,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JX,非対象,8,FALSE,20,,B,,,,,反,,1100,2343,2008.4,1757.4,1562.1,1405.9,1405.9,1405.9,,,,,,,,,表示する,
8/099830,品番: 99830,ﾋﾝﾊﾞﾝ: 99830,M,50,P42/TA32/MO26,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YA,非対象,8,FALSE,50,,E,,,,,反,,1040,1171,1003.3,877.9,780.3,702.3,702.3,702.3,,,,,,,,,表示する,
8/099838,品番: 99838,ﾋﾝﾊﾞﾝ: 99838,M,50,TA71/P29,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/099847,品番: 99847,ﾋﾝﾊﾞﾝ: 99847,M,50,TA67/P33,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JX,非対象,8,FALSE,50,,E,,,,,反,,900,985,844,738.5,656.4,590.8,590.8,590.8,,,,,,,,,表示する,
8/099879,品番: 99879,ﾋﾝﾊﾞﾝ: 99879,M,50,P100,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JX,非対象,8,FALSE,20,,B,,,,,反,,226,301,257.6,225.4,200.3,180.3,180.3,180.3,,,,,,,,,表示する,
8/099900,品番: 99900,ﾋﾝﾊﾞﾝ: 99900,M,50,P100,50M,125,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JX,非対象,8,FALSE,20,,B,,,,,反,,1200,1465,1256,1099,976.9,879.2,879.2,879.2,,,,,,,,,表示する,
8/102144,品番:102144,ﾋﾝﾊﾞﾝ:102144,M,50,P76/R24,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,BB,非対象,8,FALSE,10,,L,,,,,反,,725,941,806.7,705.9,627.4,564.7,564.7,564.7,,,,,,,,,表示する,
8/102633,品番:102633,ﾋﾝﾊﾞﾝ:102633,M,50,P52/TA48,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,20,,B,,,,,反,,615,864,740.6,648,576,518.4,518.4,518.4,,,,,,,,,表示する,
8/115157,品番:115157,ﾋﾝﾊﾞﾝ:115157,M,50,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZA,非対象,8,FALSE,30,,X,,,,,反,,455,664,568.7,497.6,442.3,398.1,398.1,398.1,,,,,,,,,表示する,
8/115769,品番:115769,ﾋﾝﾊﾞﾝ:115769,M,50,P100,50M,125,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,PK,非対象,8,FALSE,10,,L,,,,,反,,680,1093,937.1,820,728.9,656,656,656,,,,,,,,,表示する,
8/115859,品番:115859,ﾋﾝﾊﾞﾝ:115859,M,50,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,PA,非対象,8,FALSE,30,,X,,,,,反,,410,617,528.4,462.4,411,369.9,369.9,369.9,,,,,,,,,表示する,
8/116089,品番:116089,ﾋﾝﾊﾞﾝ:116089,M,30,P100,30M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,XE,非対象,8,FALSE,30,,X,,,,,反,,1030,1503,1288,1127,1001.8,901.6,901.6,901.6,,,,,,,,,表示する,
8/123127,品番:123127,ﾋﾝﾊﾞﾝ:123127,M,50,TA67/P33,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VJ,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/126687,品番:126687,ﾋﾝﾊﾞﾝ:126687,M,50,TA72/P28,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,50,,E,,,,,反,,880,1299,1113.3,974.1,865.9,779.3,779.3,779.3,,,,,,,,,表示する,
8/127250,品番:127250,ﾋﾝﾊﾞﾝ:127250,M,50,TA67/P33,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JD,非対象,8,FALSE,50,,E,,,,,反,,670,944,809.4,708.3,629.6,566.6,566.6,566.6,,,,,,,,,表示する,
8/127413,品番:127413,ﾋﾝﾊﾞﾝ:127413,M,50,TA72/P28,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,CX,非対象,8,FALSE,50,,E,,,,,反,,920,1338,1147.1,1003.8,892.2,803,803,803,,,,,,,,,表示する,
8/135239,品番:135239,ﾋﾝﾊﾞﾝ:135239,M,50,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,DA,非対象,8,FALSE,10,,L,,,,,反,,845,958,821.4,718.8,638.9,575,575,575,,,,,,,,,表示する,
8/135302,品番:135302,ﾋﾝﾊﾞﾝ:135302,M,50,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LH,非対象,8,FALSE,10,,L,,,,,反,,875,1117,957.4,837.8,744.7,670.2,670.2,670.2,,,,,,,,,表示する,
8/135354,品番:135354,ﾋﾝﾊﾞﾝ:135354,M,50,P88/C12,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LG,非対象,8,FALSE,10,,L,,,,,反,,952,924,792.1,693.1,616.1,554.5,554.5,554.5,,,,,,,,,表示する,
8/135426,品番:135426,ﾋﾝﾊﾞﾝ:135426,M,50,P90/N10,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LG,非対象,8,FALSE,10,,L,,,,,反,,840,1092,935.9,818.9,727.9,655.1,655.1,655.1,,,,,,,,,表示する,
8/135499,品番:135499,ﾋﾝﾊﾞﾝ:135499,M,50,P82/N18,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,10,,L,,,,,反,,1180,1177,1008.9,882.8,784.7,706.2,706.2,706.2,,,,,,,,,表示する,
8/135520,品番:135520,ﾋﾝﾊﾞﾝ:135520,M,50,P84/R16,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,10,,L,,,,,反,,830,1019,873.7,764.5,679.6,611.6,611.6,611.6,,,,,,,,,表示する,
8/135521,品番:135521,ﾋﾝﾊﾞﾝ:135521,M,50,P72/R15/N13,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LC,非対象,8,FALSE,10,,L,,,,,反,,830,1075,921.1,806,716.4,644.8,644.8,644.8,,,,,,,,,表示する,
8/135539,品番:135539,ﾋﾝﾊﾞﾝ:135539,M,50,P92/R8,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,HX,非対象,8,FALSE,10,,L,,,,,反,,1010,996,853.6,746.9,663.9,597.5,597.5,597.5,,,,,,,,,表示する,
8/135630,品番:135630,ﾋﾝﾊﾞﾝ:135630,M,50,P96/R4,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/135644,品番:135644,ﾋﾝﾊﾞﾝ:135644,M,50,P100,50,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LA,非対象,8,FALSE,10,,L,,,,,反,,720,901,772,675.5,600.4,540.4,540.4,540.4,,,,,,,,,表示する,
8/135716,品番:135716,ﾋﾝﾊﾞﾝ:135716,M,50,P71/R29,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,10,,L,,,,,反,,950,1036,887.9,776.9,690.6,621.5,621.5,621.5,,,,,,,,,表示する,
8/135741,品番:135741,ﾋﾝﾊﾞﾝ:135741,M,50,P85/TA15,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,50,,E,,,,,反,,890,1042,893.3,781.6,694.8,625.3,625.3,625.3,,,,,,,,,表示する,
8/135742,品番:135742,ﾋﾝﾊﾞﾝ:135742,M,50,P95/R5,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LA,非対象,8,FALSE,10,,L,,,,,反,,860,931,798.1,698.4,620.8,558.7,558.7,558.7,,,,,,,,,表示する,
8/157796,品番:157796,ﾋﾝﾊﾞﾝ:157796,M,50,P100,50M,153,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZD,非対象,8,FALSE,10,,L,,,,,反,,660,955,818.3,716,636.4,572.8,572.8,572.8,,,,,,,,,表示する,
8/158187,品番:158187,ﾋﾝﾊﾞﾝ:158187,M,50,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/158388,品番:158388,ﾋﾝﾊﾞﾝ:158388,M,50,P100,50,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,HX,非対象,8,FALSE,20,,K,,,,,反,,630,754,645.9,565.1,502.3,452.1,452.1,452.1,,,,,,,,,表示する,
8/159557,品番:159557,ﾋﾝﾊﾞﾝ:159557,M,50,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,50,,E,,,,,反,,670,771,661.1,578.5,514.2,462.8,462.8,462.8,,,,,,,,,表示する,
8/159558,品番:159558,ﾋﾝﾊﾞﾝ:159558,M,50,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,50,,E,,,,,反,,670,805,690.3,604,536.9,483.2,483.2,483.2,,,,,,,,,表示する,
8/159559,品番:159559,ﾋﾝﾊﾞﾝ:159559,M,50,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,50,,E,,,,,反,,950,1807,1548.9,1355.3,1204.7,1084.2,1084.2,1084.2,,,,,,,,,表示する,
8/159560,品番:159560,ﾋﾝﾊﾞﾝ:159560,M,40,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,20,,B,,,,,反,,950,1420,1216.9,1064.8,946.4,851.8,851.8,851.8,,,,,,,,,表示する,
8/159575,品番:159575,ﾋﾝﾊﾞﾝ:159575,M,50,P99/N1,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,50,,E,,,,,反,,670,766,656.1,574.1,510.3,459.3,459.3,459.3,,,,,,,,,表示する,
8/159577,品番:159577,ﾋﾝﾊﾞﾝ:159577,M,40,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,20,,B,,,,,反,,950,1420,1216.9,1064.8,946.4,851.8,851.8,851.8,,,,,,,,,表示する,
8/159580,品番:159580,ﾋﾝﾊﾞﾝ:159580,M,50,P100,50M,180,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,20,,B,,,,,反,,174,251,215.4,188.5,167.6,150.8,150.8,150.8,,,,,,,,,表示する,
8/159603,品番:159603,ﾋﾝﾊﾞﾝ:159603,M,50,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/165316,品番:165316,ﾋﾝﾊﾞﾝ:165316,M,50,P96/R4,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,10,,L,,,,,反,,1500,1229,1053.6,921.9,819.4,737.5,737.5,737.5,,,,,,,,,表示する,
8/171020,品番:171020,ﾋﾝﾊﾞﾝ:171020,M,50,R56/TA28/P16,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,1100,1751,1500.4,1312.9,1167,1050.3,1050.3,1050.3,,,,,,,,,表示する,
8/171146,品番:171146,ﾋﾝﾊﾞﾝ:171146,M,50,TA66/P21/R13,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YA,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/171163,品番:171163,ﾋﾝﾊﾞﾝ:171163,M,50,R37/TA32/P31,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YA,非対象,8,FALSE,50,,E,,,,,反,,1700,2183,1871.4,1637.5,1455.6,1310,1310,1310,,,,,,,,,表示する,
8/171174,品番:171174,ﾋﾝﾊﾞﾝ:171174,M,50,TA46/CU28/P26,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/171202,品番:171202,ﾋﾝﾊﾞﾝ:171202,M,50,TA58/P42,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,50,,E,,,,,反,,1180,1470,1260,1102.5,980,882,882,882,,,,,,,,,表示する,
8/171220,品番:171220,ﾋﾝﾊﾞﾝ:171220,M,48,CU89/P11,48M,128,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/171222,品番:171222,ﾋﾝﾊﾞﾝ:171222,M,48,CU49/R40/P11,48M,128,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,336,552,473.4,414.3,368.2,331.4,331.4,331.4,,,,,,,,,表示する,
8/171337,品番:171337,ﾋﾝﾊﾞﾝ:171337,M,50,R80/CU20,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,330,826,707.7,619.3,550.4,495.4,495.4,495.4,,,,,,,,,表示する,
8/290034,品番:290034,ﾋﾝﾊﾞﾝ:290034,M,50,P94/C6,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,20,,B,,,,,反,,76,117,100,87.5,77.8,70,70,70,,,,,,,,,表示する,
8/290041,品番:290041,ﾋﾝﾊﾞﾝ:290041,M,50,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,2280,1827,1565.7,1370,1217.8,1096,1096,1096,,,,,,,,,表示する,
8/290045,品番:290045,ﾋﾝﾊﾞﾝ:290045,M,46,AC75/P25,46M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,20,,B,,,,,反,,201.4,301,258,225.8,200.7,180.6,180.6,180.6,,,,,,,,,表示する,
8/290054,品番:290054,ﾋﾝﾊﾞﾝ:290054,M,50,R51/L30/P19,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YB,非対象,8,FALSE,20,,B,,,,,反,,162,244,209.4,183.3,162.9,146.6,146.6,146.6,,,,,,,,,表示する,
