コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
N/371WA,371WA:撚糸賃:PPT.W<165T>BR147/68Z (1T107) / LS,,K,0,2550,,160,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/4,,,,,300,250,214.3,187.5,166.7,150,150,150,,,,,,,,,表示する,
N/404AA,404AA:撚糸賃:PR.ﾅﾝﾔｴｺPOY<278T>SD250/48 X ﾅﾝﾔCDF<84T>SD75/36(8C367) 353/ 84 ｾｯﾄ85ﾟC30',,K,0,1700,,353,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,440,367,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
N/404BA,404BA:撚糸賃:PR.ﾅﾝﾔｴｺPOY<278T>SD250/48 X ﾅﾝﾔCDF<84T>SD75/36(8C375) 353/ 84 ｾｯﾄ85ﾟC30,,K,0,1700,,353,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,400,333,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
N/430HA,430HA:撚糸賃:PA.ﾃｨﾌｨｺTF<110T>SD100/24(20) X TAC(ES)<84T>BR75/20(LP9) 248/ 44 ｾｯﾄ85ﾟC30,,K,0,2160,,248,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
N/432FA,432FA:撚糸賃:PA.ﾃｨﾌｨｺTF<110T>SD100/24(20) X TAC<167T>BR150/40 380/ 64 ST5ｶｲ 85ﾟC,,K,0,1970,,381,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,340,283,242.9,212.5,188.9,170,170,170,,,,,,,,,表示する,
N/507JA,507JA:撚糸賃:ﾃｨﾌｨｺTW<110T>SD100/24(20) / Z300WMｻｷﾖﾘ,,K,0,2850,,103,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,300,250,214.3,187.5,166.7,150,150,150,,,,,,,,,表示する,
N/507KA,507KA:撚糸賃:ﾃ.TW<110T>ｲﾀｸｻｷﾖﾘ(ｼﾞﾖﾘ) SD 100/ 24 Z300WMｻｷﾖﾘ,,K,0,2850,,103,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,300,250,214.3,187.5,166.7,150,150,150,,,,,,,,,表示する,
N/558CA,558CA:撚糸賃:ﾄｰﾚTF<84T>SD75/36(215) ﾅﾝﾔT.POY<255T>SD230/48ﾄﾞｳｶﾘ / ｾｯﾄ70ﾟC30 ｱﾙﾐﾉﾐ,,K,0,1700,,314,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,280,233,200,175,155.6,140,140,140,,,,,,,,,表示する,
N/683AA,683AA:撚糸賃:TW <330T>SD300/96 3ﾎﾝ Z150 ｻｷｿﾞﾒ(C/#SFBLKｸﾛ) /,,K,0,1,,900,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/7,,,,,2,2,1.4,1.3,1.1,1,1,1,,,,,,,,,表示する,
N/A0401,A0401:撚糸賃:EWSD150/48 Z100T/M G : : :,,K,0,100,,150,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/G,,,,,240,200,171.4,150,133.3,120,120,120,,,,,,,,,表示する,
