コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
N/091AA,撚糸賃:091AA:TAC.W<84T> DL 75/ 20 Z(ｿｳｼ) LOWSPD,WSPD,K,0,1530,,147,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,400,333,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
N/103LA,撚糸賃:103LA:ﾃｨﾌｨｺTW<110T>SD100/24(20) / Z(70ﾟC30),70ﾟC30),K,0,2850,,103,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
N/111RA,撚糸賃:111RA:ﾃｨﾌｨｺTW<167T>SD150/48Z(20) / (70ﾟC30),70ﾟC30),K,0,2420,,154,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,250,208,178.6,156.3,138.9,125,125,125,,,,,,,,,表示する,
N/124WA,撚糸賃:124WA:ﾄｰﾚTW(915)<167T> BR 150/ 48 Zｾｯﾄ70ﾟC30,ｯﾄ70ﾟC30,K,0,2420,,153,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,340,283,242.9,212.5,188.9,170,170,170,,,,,,,,,表示する,
N/182LA,撚糸賃:182LA:ﾅﾝﾔT.POYW<128T>SD115/36M8391 / Z, Z,K,0,3250,,86,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,320,267,228.6,200,177.8,160,160,160,,,,,,,,,表示する,
N/187TA,撚糸賃:187TA:ｻﾗｸｰﾙPOYW<280T>(X20) FD 250/ 48 Z (178D),8 Z (178D),K,0,2300,,180,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,260,217,185.7,162.5,144.4,130,130,130,,,,,,,,,表示する,
N/187US,撚糸賃:187US:ｻﾗｸｰﾙPOYW<280T>(X20) FD 250/ 48 S (178D),8 S (178D),K,0,2300,,180,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,260,217,185.7,162.5,144.4,130,130,130,,,,,,,,,表示する,
N/189DA,撚糸賃:189DA:ﾅﾝﾔT.POYW<255T> SD 230/ 48 Z(176D),76D),K,0,2420,,176,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,240,200,171.4,150,133.3,120,120,120,,,,,,,,,表示する,
N/202DA,撚糸賃:202DA:ﾅﾝﾔCD(SDY)W<84T> SD 75/ 36 Z (ｿｳｼ) LOT: 8C369,ｿｳｼ) LOT: 8C369,K,0,3050,,151,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,320,267,228.6,200,177.8,160,160,160,,,,,,,,,表示する,
N/202EA,撚糸賃:202EA:ﾅﾝﾔCD(SDY)W<84T> SD 75/ 36 Z (ｿｳｼ) LOT:8C375,ｿｳｼ) LOT:8C375,K,0,3050,,151,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,320,267,228.6,200,177.8,160,160,160,,,,,,,,,表示する,
N/205CA,撚糸賃:205CA:ﾄｰﾚN66.W <78T> SD 70/ 24 Z (1205),05),K,0,3050,,70,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,500,417,357.1,312.5,277.8,250,250,250,,,,,,,,,表示する,
N/256JA,撚糸賃:256JA:ﾅﾝﾔCDF(SDY)84TSD75/36(8C361) ﾅﾝﾔCDPOYF140TSD/36(MC349) / ﾄﾞｳｶﾘ,ﾝﾔCDPOYF140TSD/36(MC349) / ﾄﾞｳｶﾘ,K,0,2110,,206,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,400,333,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
N/256NA,撚糸賃:256NA:ﾅﾝﾔCDF(SDY)84TSD75/36(8C373) ﾅﾝﾔCDPOYF140TSD/36(MC361) / ﾄﾞｳｶﾘ,ﾝﾔCDPOYF140TSD/36(MC361) / ﾄﾞｳｶﾘ,K,0,2110,,202,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,260,217,185.7,162.5,144.4,130,130,130,,,,,,,,,表示する,
N/256QA,撚糸賃:256QA:ﾅﾝﾔCDF(SDY)84TSD75/36(8C379) ﾅﾝﾔCDPOYF140TSD/36(MC369) / ﾄﾞｳｶﾘ,ﾝﾔCDPOYF140TSD/36(MC369) / ﾄﾞｳｶﾘ,K,0,2110,,202,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,260,217,185.7,162.5,144.4,130,130,130,,,,,,,,,表示する,
N/262PA,撚糸賃:262PA:ﾅﾝﾔT.POYF<255T>SD230/48 ﾅﾝﾔCDPOYF140TSD/36(MC361) 292/ 84 ﾄﾞｳｶﾘ,OYF140TSD/36(MC361) 292/ 84 ﾄﾞｳｶﾘ,K,0,1700,,292,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,240,200,171.4,150,133.3,120,120,120,,,,,,,,,表示する,
N/262QA,撚糸賃:262QA:ﾅﾝﾔT.POYF<255T>SD230/48 ﾅﾝﾔCDPOYF140TSD/36(MC369) 292/ 84 ﾄﾞｳｶﾘ,OYF140TSD/36(MC369) 292/ 84 ﾄﾞｳｶﾘ,K,0,1700,,292,2,2,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,N,,,,,,N/2,,,,,240,200,171.4,150,133.3,120,120,120,,,,,,,,,表示する,
