元コード,コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,評価下原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
 39413XF,5/039413XF,生機: 39413XF,ｷﾊﾞﾀ 39413XF,反,0.02,P90/R5/N5,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,40370,33642,28835.7,25231.3,22427.8,20185,20185,20185,50,,,,,,,,,表示する,
 74210YX,5/074210YX,生機: 74210YX,ｷﾊﾞﾀ 74210YX,反,0.02,TA63/R37,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,36340,30283,25957.1,22712.5,20188.9,18170,18170,18170,50,,,,,,,,,表示する,
 96765HC,5/096765HC,生機: 96765HC,ｷﾊﾞﾀ 96765HC,反,0.02,P72/R28,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,56028,46690,40020,35017.5,31126.7,28014,28014,28014,50,,,,,,,,,表示する,
 97961LH,5/097961LH,生機: 97961LH,ｷﾊﾞﾀ 97961LH,反,0.02,P70/R25/N5,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,62220,51850,44442.9,38887.5,34566.7,31110,31110,31110,50,,,,,,,,,表示する,
 97961LJ,5/097961LJ,生機: 97961LJ,ｷﾊﾞﾀ 97961LJ,反,0.02,P70/R25/N5,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,62652,52210,44751.4,39157.5,34806.7,31326,31326,31326,50,,,,,,,,,表示する,
 98413YB,5/098413YB,生機: 98413YB,ｷﾊﾞﾀ 98413YB,反,0.02,TA59/P30/C11,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,83082,69235,59344.3,51926.3,46156.7,41541,41541,41541,50,,,,,,,,,表示する,
 98413ZX,5/098413ZX,生機: 98413ZX,ｷﾊﾞﾀ 98413ZX,反,0.02,TA57/P30/C13,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,80614,67178,57581.4,50383.8,44785.6,40307,40307,40307,50,,,,,,,,,表示する,
 98727HX,5/098727HX,生機: 98727HX,ｷﾊﾞﾀ 98727HX,反,0.02,TA56/C44,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,55118,45932,39370,34448.8,30621.1,27559,27559,27559,50,,,,,,,,,表示する,
 98795VX,5/098795VX,生機: 98795VX,ｷﾊﾞﾀ 98795VX,反,0.02,TA67/P23/C10,50M,152,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,69502,57918,49644.3,43438.8,38612.2,34751,34751,34751,50,,,,,,,,,表示する,
 99181YA,5/099181YA,生機: 99181YA,ｷﾊﾞﾀ 99181YA,反,0.02,TA64/P36,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,72590,60492,51850,45368.8,40327.8,36295,36295,36295,50,,,,,,,,,表示する,
