元コード,コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,評価下原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
 99208GX,5/099208GX,生機: 99208GX,ｷﾊﾞﾀ 99208GX,反,0.02,CU100,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,21706,18088,15504.3,13566.3,12058.9,10853,10853,10853,50,,,,,,,,,表示する,
 99220JX,5/099220JX,生機: 99220JX,ｷﾊﾞﾀ 99220JX,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,50224,41853,35874.3,31390,27902.2,25112,25112,25112,50,,,,,,,,,表示する,
 99394YX,5/099394YX,生機: 99394YX,ｷﾊﾞﾀ 99394YX,反,0.02,P52/CU24/TA24,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,77056,64213,55040,48160,42808.9,38528,38528,38528,50,,,,,,,,,表示する,
 99407YX,5/099407YX,生機: 99407YX,ｷﾊﾞﾀ 99407YX,反,0.02,AC64/CU36,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,93380,77817,66700,58362.5,51877.8,46690,46690,46690,50,,,,,,,,,表示する,
 99408YX,5/099408YX,生機: 99408YX,ｷﾊﾞﾀ 99408YX,反,0.02,AC64/CU36,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,123312,102760,88080,77070,68506.7,61656,61656,61656,50,,,,,,,,,表示する,
 99432JX,5/099432JX,生機: 99432JX,ｷﾊﾞﾀ 99432JX,反,0.02,P60/TA31/R9,50M,143,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,55580,46317,39700,34737.5,30877.8,27790,27790,27790,50,,,,,,,,,表示する,
159536YX,5/159536YX,生機:159536YX,ｷﾊﾞﾀ159536YX,反,0.02,P100,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,72110,60092,51507.1,45068.8,40061.1,36055,36055,36055,50,,,,,,,,,表示する,
170010ZX,5/170010ZX,生機:170010ZX,ｷﾊﾞﾀ170010ZX,反,0.02,TA66/P34,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,64698,53915,46212.9,40436.3,35943.3,32349,32349,32349,50,,,,,,,,,表示する,
171017YA,5/171017YA,生機:171017YA,ｷﾊﾞﾀ171017YA,反,0.02,R65/TA22/P13,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,65046,54205,46461.4,40653.8,36136.7,32523,32523,32523,50,,,,,,,,,表示する,
171132YA,5/171132YA,生機:171132YA,ｷﾊﾞﾀ171132YA,反,0.02,L45/TA37/P18,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,73906,61588,52790,46191.3,41058.9,36953,36953,36953,50,,,,,,,,,表示する,
171132ZX,5/171132ZX,生機:171132ZX,ｷﾊﾞﾀ171132ZX,反,0.02,L45/TA37/P18,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,64562,53802,46115.7,40351.3,35867.8,32281,32281,32281,50,,,,,,,,,表示する,
171146YX,5/171146YX,生機:171146YX,ｷﾊﾞﾀ171146YX,反,0.02,TA66/P21/R13,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,64484,53737,46060,40302.5,35824.4,32242,32242,32242,50,,,,,,,,,表示する,
290116ZX,5/290116ZX,生機:290116ZX,ｷﾊﾞﾀ290116ZX,反,0.016666667,P61/C39,60M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,11640,9700,8314.3,7275,6466.7,5820,5820,5820,60,,,,,,,,,表示する,
290118YX,5/290118YX,生機:290118YX,ｷﾊﾞﾀ290118YX,反,0.017241379,P100,58M,152,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,12760,10633,9114.3,7975,7088.9,6380,6380,6380,58,,,,,,,,,表示する,
290188YX,5/290188YX,生機:290188YX,ｷﾊﾞﾀ290188YX,反,0.023809524,P100,42M,165,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,8232,6860,5880,5145,4573.3,4116,4116,4116,42,,,,,,,,,表示する,
291041YX,5/291041YX,生機:291041YX,ｷﾊﾞﾀ291041YX,反,0.016666667,P100,60M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,11400,9500,8142.9,7125,6333.3,5700,5700,5700,60,,,,,,,,,表示する,
291051YX,5/291051YX,生機:291051YX,ｷﾊﾞﾀ291051YX,反,0.02,P100,50M,152,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,10500,8750,7500,6562.5,5833.3,5250,5250,5250,50,,,,,,,,,表示する,
292018YX,5/292018YX,生機:292018YX,ｷﾊﾞﾀ292018YX,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,7000,5833,5000,4375,3888.9,3500,3500,3500,50,,,,,,,,,表示する,
295002YA,5/295002YA,生機:295002YA,ｷﾊﾞﾀ295002YA,反,0.02,TA73/P27,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,39316,32763,28082.9,24572.5,21842.2,19658,19658,19658,50,,,,,,,,,表示する,
 98459YB,5/098459YB,生機: 98459YB,ｷﾊﾞﾀ 98459YB,反,0.02,TA48/L33/P19,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,84076,70063,60054.3,52547.5,46708.9,42038,42038,42038,50,,,,,,,,,表示する,
 98546BX,5/098546BX,生機: 98546BX,ｷﾊﾞﾀ 98546BX,反,0.02,RA72/P28,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,53072,44227,37908.6,33170,29484.4,26536,26536,26536,50,,,,,,,,,表示する,
 98546HA,5/098546HA,生機: 98546HA,ｷﾊﾞﾀ 98546HA,反,0.02,RA72/P28,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,49172,40977,35122.9,30732.5,27317.8,24586,24586,24586,50,,,,,,,,,表示する,
 98810YA,5/098810YA,生機: 98810YA,ｷﾊﾞﾀ 98810YA,反,0.02,TA64/P36,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,68012,56677,48580,42507.5,37784.4,34006,34006,34006,50,,,,,,,,,表示する,
 98872ZA,5/098872ZA,生機: 98872ZA,ｷﾊﾞﾀ 98872ZA,反,0.02,TA55/P32/C13,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,92176,76813,65840,57610,51208.9,46088,46088,46088,50,,,,,,,,,表示する,
 99356HX,5/099356HX,生機: 99356HX,ｷﾊﾞﾀ 99356HX,反,0.02,P59/TA41,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,55148,45957,39391.4,34467.5,30637.8,27574,27574,27574,50,,,,,,,,,表示する,
 99568YX,5/099568YX,生機: 99568YX,ｷﾊﾞﾀ 99568YX,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,44370,36975,31692.9,27731.3,24650,22185,22185,22185,50,,,,,,,,,表示する,
 99658YA,5/099658YA,生機: 99658YA,ｷﾊﾞﾀ 99658YA,反,0.02,P64/TA36,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,57296,47747,40925.7,35810,31831.1,28648,28648,28648,50,,,,,,,,,表示する,
123127VL,5/123127VL,生機:123127VL,ｷﾊﾞﾀ123127VL,反,0.02,TA67/P33,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,67880,56567,48485.7,42425,37711.1,33940,33940,33940,50,,,,,,,,,表示する,
295011YA,5/295011YA,生機:295011YA,ｷﾊﾞﾀ295011YA,反,0.02,TA71/P28/CU1,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,84386,70322,60275.7,52741.3,46881.1,42193,42193,42193,50,,,,,,,,,表示する,
731018YX,5/731018YX,生機:731018YX,ｷﾊﾞﾀ731018YX,反,0.02,TA64/P36,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,50,,E,,,,,M,,58960,49133,42114.3,36850,32755.6,29480,29480,29480,50,,,,,,,,,表示する,
159552LX,5/159552LX,生機:159552LX,ｷﾊﾞﾀ159552LX,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,K,,,,,M,,31770,26475,22692.9,19856.3,17650,15885,15885,15885,50,,,,,,,,,表示する,
113692YX,5/113692YX,生機:113692YX,ｷﾊﾞﾀ113692YX,反,0.02,P100,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,50620,42183,36157.1,31637.5,28122.2,25310,25310,25310,50,,,,,,,,,表示する,
135426LE,5/135426LE,生機:135426LE,ｷﾊﾞﾀ135426LE,反,0.02,P90/N10,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,47512,39593,33937.1,29695,26395.6,23756,23756,23756,50,,,,,,,,,表示する,
135426LF,5/135426LF,生機:135426LF,ｷﾊﾞﾀ135426LF,反,0.02,P90/N10,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,47512,39593,33937.1,29695,26395.6,23756,23756,23756,50,,,,,,,,,表示する,
135521LD,5/135521LD,生機:135521LD,ｷﾊﾞﾀ135521LD,反,0.02,P73/R14/N13,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,47480,39567,33914.4,29675.1,26377.9,23740.1,23740.1,23740.1,50,,,,,,,,,表示する,
135527ZD,5/135527ZD,生機:135527ZD,ｷﾊﾞﾀ135527ZD,反,0.02,P100,50M,153,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,51476,42897,36768.6,32172.5,28597.8,25738,25738,25738,50,,,,,,,,,表示する,
135616LG,5/135616LG,生機:135616LG,ｷﾊﾞﾀ135616LG,反,0.02,P100,50M,152,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,43140,35950,30814.3,26962.5,23966.7,21570,21570,21570,50,,,,,,,,,表示する,
135616LH,5/135616LH,生機:135616LH,ｷﾊﾞﾀ135616LH,反,0.02,P100,50M,152,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,43140,35950,30814.3,26962.5,23966.7,21570,21570,21570,50,,,,,,,,,表示する,
135703LX,5/135703LX,生機:135703LX,ｷﾊﾞﾀ135703LX,反,0.02,P95/TA5,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,41152,34293,29394.3,25720,22862.2,20576,20576,20576,50,,,,,,,,,表示する,
135707LX,5/135707LX,生機:135707LX,ｷﾊﾞﾀ135707LX,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,40430,33692,28878.6,25268.8,22461.1,20215,20215,20215,50,,,,,,,,,表示する,
135715LX,5/135715LX,生機:135715LX,ｷﾊﾞﾀ135715LX,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,40026,33355,28590,25016.3,22236.7,20013,20013,20013,50,,,,,,,,,表示する,
157796ZF,5/157796ZF,生機:157796ZF,ｷﾊﾞﾀ157796ZF,反,0.02,P100,50M,153,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,40276,33563,28768.6,25172.5,22375.6,20138,20138,20138,50,,,,,,,,,表示する,
115728VB,5/115728VB,生機:115728VB,ｷﾊﾞﾀ115728VB,反,0.02,P100,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,30,,X,,,,,M,,42930,35775,30664.3,26831.3,23850,21465,21465,21465,50,,,,,,,,,表示する,
115955SA,5/115955SA,生機:115955SA,ｷﾊﾞﾀ115955SA,反,0.02,P100,50M,137,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,30,,X,,,,,M,,77132,64277,55094.3,48207.5,42851.1,38566,38566,38566,50,,,,,,,,,表示する,
 74993LB,5/074993LB,生機: 74993LB,ｷﾊﾞﾀ 74993LB,反,0.02,TA64/CU36,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 96765ZX,5/096765ZX,生機: 96765ZX,ｷﾊﾞﾀ 96765ZX,反,0.02,P71/R29,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98093JC,5/098093JC,生機: 98093JC,ｷﾊﾞﾀ 98093JC,反,0.02,P64/TA36,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98477VX,5/098477VX,生機: 98477VX,ｷﾊﾞﾀ 98477VX,反,0.02,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98727LX,5/098727LX,生機: 98727LX,ｷﾊﾞﾀ 98727LX,反,0.02,TA57/C43,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98727VX,5/098727VX,生機: 98727VX,ｷﾊﾞﾀ 98727VX,反,0.02,TA57/C43,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98761VX,5/098761VX,生機: 98761VX,ｷﾊﾞﾀ 98761VX,反,0.02,P54/CU46,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98995ZX,5/098995ZX,生機: 98995ZX,ｷﾊﾞﾀ 98995ZX,反,0.02,TA41/C31/P28,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 98996YA,5/098996YA,生機: 98996YA,ｷﾊﾞﾀ 98996YA,反,0.02,P40/TA39/C21,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99022YX,5/099022YX,生機: 99022YX,ｷﾊﾞﾀ 99022YX,反,0.02,C51/TA27/P20/PU2,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99141YA,5/099141YA,生機: 99141YA,ｷﾊﾞﾀ 99141YA,反,0.02,TA64/P36,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99152YX,5/099152YX,生機: 99152YX,ｷﾊﾞﾀ 99152YX,反,0.02,TA61/RA20/C19,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99218YX,5/099218YX,生機: 99218YX,ｷﾊﾞﾀ 99218YX,反,0.02,P53/CU47,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99219YX,5/099219YX,生機: 99219YX,ｷﾊﾞﾀ 99219YX,反,0.02,P55/CU45,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99551YA,5/099551YA,生機: 99551YA,ｷﾊﾞﾀ 99551YA,反,0.02,TA69/P31,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
 99551YX,5/099551YX,生機: 99551YX,ｷﾊﾞﾀ 99551YX,反,0.02,TA69/P31,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
159538YX,5/159538YX,生機:159538YX,ｷﾊﾞﾀ159538YX,反,0.02,P96/R4,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
159542YX,5/159542YX,生機:159542YX,ｷﾊﾞﾀ159542YX,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
290030YX,5/290030YX,生機:290030YX,ｷﾊﾞﾀ290030YX,反,0.02,R62/L38,50M,135,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
290045YX,5/290045YX,生機:290045YX,ｷﾊﾞﾀ290045YX,反,0.02173913,AC82/P18,46M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,92,77,65.7,57.5,51.1,46,46,46,46,,,,,,,,,表示する,
290045ZX,5/290045ZX,生機:290045ZX,ｷﾊﾞﾀ290045ZX,反,0.02173913,AC71/P29,46M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,92,77,65.7,57.5,51.1,46,46,46,46,,,,,,,,,表示する,
290051YX,5/290051YX,生機:290051YX,ｷﾊﾞﾀ290051YX,反,0.01,P100,100M,154,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,200,167,142.9,125,111.1,100,100,100,100,,,,,,,,,表示する,
290066VX,5/290066VX,生機:290066VX,ｷﾊﾞﾀ290066VX,反,0.02,P100,50M,143,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
290114YX,5/290114YX,生機:290114YX,ｷﾊﾞﾀ290114YX,反,0.02,P100,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
290115YX,5/290115YX,生機:290115YX,ｷﾊﾞﾀ290115YX,反,0.02,P99/R1,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
290128YX,5/290128YX,生機:290128YX,ｷﾊﾞﾀ290128YX,反,0.01,P100,100M,154,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,200,167,142.9,125,111.1,100,100,100,100,,,,,,,,,表示する,
290185YX,5/290185YX,生機:290185YX,ｷﾊﾞﾀ290185YX,反,0.02,N53/C47,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
290186YX,5/290186YX,生機:290186YX,ｷﾊﾞﾀ290186YX,反,0.02,N59/C41,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
290187YX,5/290187YX,生機:290187YX,ｷﾊﾞﾀ290187YX,反,0.02,N55/W45,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
291007YX,5/291007YX,生機:291007YX,ｷﾊﾞﾀ291007YX,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,100,83,71.4,62.5,55.6,50,50,50,50,,,,,,,,,表示する,
