製品,製品単位,部品,必要量,部品単位,行番,不要
5/039428PX,反,O/039428PX,1,反,1,1
5/039428PX,反,E/039428PX,1,反,2,1.5
5/039428PX,反,3/E4314,4.63,K,3,2
5/039428PX,反,3/W1921,9.21,K,4,2
5/039428PX,反,4/039428PX,1,反,5,3
5/076410CB,反,O/076410CB,1,反,1,1
5/076410CB,反,E/076410CB,1,反,2,1.5
5/076410CB,反,3/J6484,4.3,K,3,2
5/076410CB,反,3/H3504,4.09,K,4,2
5/076410CB,反,4/076410CB,1,反,5,3
5/078019VA,反,O/078019VA,1,反,1,1
5/078019VA,反,E/078019VA,1,反,2,1.5
5/078019VA,反,3/G4084,11.43,K,3,2
5/078019VA,反,4/078019VA,1,反,4,3
5/078019VB,反,O/078019VB,1,反,1,1
5/078019VB,反,E/078019VB,1,反,2,1.5
5/078019VB,反,3/G4084,11.43,K,3,2
5/078019VB,反,4/078019VB,1,反,4,3
5/078019VX,反,O/078019VX,1,反,1,1
5/078019VX,反,E/078019VX,1,反,2,1.5
5/078019VX,反,3/G4044,11.43,K,3,2
5/078019VX,反,4/078019VX,1,反,4,3
5/079664FX,反,O/079664FX,1,反,1,1
5/079664FX,反,E/079664FX,1,反,2,1.5
5/079664FX,反,3/J3955,9.18,K,3,2
5/079664FX,反,4/079664FX,1,反,4,3
5/097064CX,反,O/097064CX,1,反,1,1
5/097064CX,反,E/097064CX,1,反,2,1.5
5/097064CX,反,3/B9707,2.01,K,3,2
5/097064CX,反,3/B9717,2.01,K,4,2
5/097064CX,反,4/097064CX,1,反,5,3
5/097400VX,反,O/097400VX,1,反,1,1
5/097400VX,反,E/097400VX,1,反,2,1.5
5/097400VX,反,3/B5697,2.07,K,3,2
5/097400VX,反,3/B5687,2.07,K,4,2
5/097400VX,反,4/097400VX,1,反,5,3
5/098413ZX,反,O/098413ZX,1,反,1,1
5/098413ZX,反,E/098413ZX,1,反,2,1.5
5/098413ZX,反,3/D5107,2.09,K,3,2
5/098413ZX,反,1/53461,4.56,K,4,2
5/098413ZX,反,3/D5117,2.09,K,5,2
5/098413ZX,反,4/098413ZX,1,反,6,3
5/098706ZX,反,O/098706ZX,1,反,1,1
5/098706ZX,反,E/098706ZX,1,反,2,1.5
5/098706ZX,反,3/371UA,8.41,K,3,2
5/098706ZX,反,4/098706ZX,1,反,4,3
5/098761XX,反,O/098761XX,1,反,1,1
5/098761XX,反,E/098761XX,1,反,2,1.5
5/098761XX,反,3/B5367,1.75,K,3,2
5/098761XX,反,3/B5377,1.75,K,4,2
