製品,製品単位,部品,必要量,部品単位,行番,不要
4/115157ZB,反,3/404BA,9,K,2,2
4/115157ZX,反,J/115157ZX,1,反,1,1
4/115157ZX,反,3/404AA,9,K,2,2
4/115769PK,反,J/115769PK,1,反,1,1
4/115769PK,反,3/W2854,5.01,K,2,2
4/115769PK,反,3/F2246,2.66,K,3,3
4/115769PK,反,3/E1704,2.5,K,4,4
4/115769PL,反,J/115769PL,1,反,1,1
4/115769PL,反,3/W2854,5.01,K,2,2
4/115769PL,反,3/F2246,2.66,K,3,3
4/115769PL,反,3/E1744,2.5,K,4,4
4/115859PA,反,J/115859PA,1,反,1,1
4/115859PA,反,3/E2522,11.53,K,2,2
4/115859XC,反,J/115859XC,1,反,1,1
4/115859XC,反,3/E2522,8.81,K,2,2
4/116089XE,反,J/116089XE,1,反,1,1
4/116089XE,反,1/035EA,8.11,K,2,2
4/116089XF,反,J/116089XF,1,反,1,1
4/116089XF,反,1/035EA,8.11,K,2,2
4/123127VJ,反,J/123127VJ,1,反,1,1
4/123127VJ,反,3/B8357,9.86,K,2,2
4/123127VJ,反,3/B7527,4.93,K,3,3
4/123127ZE,反,J/123127ZE,1,反,1,1
4/123127ZE,反,3/B7527,15.64,K,2,2
4/123127ZF,反,J/123127ZF,1,反,1,1
4/123127ZF,反,3/B7527,15.3,K,2,2
4/126687VX,反,J/126687VX,1,反,1,1
4/126687VX,反,3/B7927,3.28,K,2,2
4/126687VX,反,3/B7937,3.28,K,3,3
4/126687ZB,反,J/126687ZB,1,反,1,1
4/126687ZB,反,3/W2487,3.28,K,2,2
4/126687ZB,反,3/W2497,3.28,K,3,3
4/127250JD,反,J/127250JD,1,反,1,1
4/127250JD,反,3/B9867,1.78,K,2,2
4/127250JD,反,3/B9877,1.78,K,3,3
4/127413CX,反,J/127413CX,1,反,1,1
4/127413CX,反,3/B7085,5.72,K,2,2
4/127413CX,反,3/B9707,3.78,K,3,3
4/135239DA,反,J/135239DA,1,反,1,1
4/135239DA,反,1/021AA,1.42,K,2,2
4/135239DA,反,1/024BA,5.71,K,3,3
