コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
D/099779YX,染加工: 99779YX,ｿﾒｶｺｳ: 99779YX,M,50,TA63/P37,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,480,400,342.9,300,266.7,240,240,240,,,,,,,,,表示する,
D/099808LA,染加工: 99808LA,ｿﾒｶｺｳ: 99808LA,M,50,R48/TA26/P16/CU10,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/099812YX,染加工: 99812YX,ｿﾒｶｺｳ: 99812YX,M,50,TA67/P23/MO10,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,600,500,428.6,375,333.3,300,300,300,,,,,,,,,表示する,
D/099818JX,染加工: 99818JX,ｿﾒｶｺｳ: 99818JX,M,50,P100,50M,135,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,400,333.3,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
D/099819JX,染加工: 99819JX,ｿﾒｶｺｳ: 99819JX,M,50,P87/C13,50M,135,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,500,416.7,357.1,312.5,277.8,250,250,250,,,,,,,,,表示する,
D/099830YA,染加工: 99830YA,ｿﾒｶｺｳ: 99830YA,M,50,P42/TA32/MO26,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,400,333.3,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
D/099838YX,染加工: 99838YX,ｿﾒｶｺｳ: 99838YX,M,50,TA71/P29,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/099847JX,染加工: 99847JX,ｿﾒｶｺｳ: 99847JX,M,50,TA67/P33,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,400,333.3,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
D/099879JX,染加工: 99879JX,ｿﾒｶｺｳ: 99879JX,M,50,P100,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/099900JX,染加工: 99900JX,ｿﾒｶｺｳ: 99900JX,M,50,P100,50M,125,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,600,500,428.6,375,333.3,300,300,300,,,,,,,,,表示する,
D/102144BB,染加工:102144BB,ｿﾒｶｺｳ:102144BB,M,50,P76/R24,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/102633ZX,染加工:102633ZX,ｿﾒｶｺｳ:102633ZX,M,50,P52/TA48,50M,145,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/115157ZA,染加工:115157ZA,ｿﾒｶｺｳ:115157ZA,M,50,P100,50M,127,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/115157ZB,染加工:115157ZB,ｿﾒｶｺｳ:115157ZB,M,50,P100,50M,127,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/115157ZX,染加工:115157ZX,ｿﾒｶｺｳ:115157ZX,M,50,P100,50M,127,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/115769PK,染加工:115769PK,ｿﾒｶｺｳ:115769PK,M,50,P100,50M,125,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,390,325,278.6,243.8,216.7,195,195,195,,,,,,,,,表示する,
D/115769PL,染加工:115769PL,ｿﾒｶｺｳ:115769PL,M,50,P100,50M,125,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,390,325,278.6,243.8,216.7,195,195,195,,,,,,,,,表示する,
D/115859PA,染加工:115859PA,ｿﾒｶｺｳ:115859PA,M,50,P100,50M,127,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/115859XC,染加工:115859XC,ｿﾒｶｺｳ:115859XC,M,50,P100,50M,97,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/116089XE,染加工:116089XE,ｿﾒｶｺｳ:116089XE,M,30,P100,30M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,450,375,321.4,281.3,250,225,225,225,,,,,,,,,表示する,
D/116089XF,染加工:116089XF,ｿﾒｶｺｳ:116089XF,M,30,P100,30M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,30,,X,,,,,反,,450,375,321.4,281.3,250,225,225,225,,,,,,,,,表示する,
D/123127VJ,染加工:123127VJ,ｿﾒｶｺｳ:123127VJ,M,50,TA67/P33,50M,135,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/123127ZE,染加工:123127ZE,ｿﾒｶｺｳ:123127ZE,M,50,TA67/P33,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,480,400,342.9,300,266.7,240,240,240,,,,,,,,,表示する,
D/123127ZF,染加工:123127ZF,ｿﾒｶｺｳ:123127ZF,M,50,TA67/P33,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/126687VX,染加工:126687VX,ｿﾒｶｺｳ:126687VX,M,50,TA72/P28,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/126687ZB,染加工:126687ZB,ｿﾒｶｺｳ:126687ZB,M,50,TA71/P29,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,80,,81,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
D/127250JD,染加工:127250JD,ｿﾒｶｺｳ:127250JD,M,50,TA67/P33,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,400,333.3,285.7,250,222.2,200,200,200,,,,,,,,,表示する,
D/127413CX,染加工:127413CX,ｿﾒｶｺｳ:127413CX,M,50,TA72/P28,50M,140,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,50,,E,,,,,反,,440,366.7,314.3,275,244.4,220,220,220,,,,,,,,,表示する,
D/135239DA,染加工:135239DA,ｿﾒｶｺｳ:135239DA,M,50,P100,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,300,250,214.3,187.5,166.7,150,150,150,,,,,,,,,表示する,
D/135239DB,染加工:135239DB,ｿﾒｶｺｳ:135239DB,M,50,P100,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,300,250,214.3,187.5,166.7,150,150,150,,,,,,,,,表示する,
D/135302LH,染加工:135302LH,ｿﾒｶｺｳ:135302LH,M,50,P100,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,540,450,385.7,337.5,300,270,270,270,,,,,,,,,表示する,
D/135354LG,染加工:135354LG,ｿﾒｶｺｳ:135354LG,M,50,P88/C12,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/135426LG,染加工:135426LG,ｿﾒｶｺｳ:135426LG,M,50,P90/N10,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/135426LH,染加工:135426LH,ｿﾒｶｺｳ:135426LH,M,50,P90/N10,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,360,300,257.1,225,200,180,180,180,,,,,,,,,表示する,
D/135499LX,染加工:135499LX,ｿﾒｶｺｳ:135499LX,M,50,P82/N18,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,D,,10,,L,,,,,反,,380,316.7,271.4,237.5,211.1,190,190,190,,,,,,,,,表示する,
