行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
24,1,,12,1,5/098727VX,6,7,,57.8,生機: 98727VX,,5016 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5016, ,,B,214426A0,I079 ,1,57.8,11.3, ,A,1000,        ,   ,2014/11/6,1215,98727,,下済,12,1
25,2,,12,1,5/098727VX,6,7,,57.9,生機: 98727VX,,5038 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5038, ,,B,214426B0,I080 ,1,57.9,11.3, ,A,1000,        ,   ,2014/11/6,1215,98727,,下済,12,2
26,3,,12,1,5/098727VX,6,7,,57.8,生機: 98727VX,,5039 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5039, ,,B,214426B0,I080 ,1,57.8,11.3, ,A,1000,        ,   ,2014/11/6,1215,98727,,下済,12,3
27,1,,13,1,5/390002YX,6,7,,56.2,生機:390002YX,,5001 ,B,,P100,50M,140,1,50,50,390002YX,5001, ,,B,114490A0,I003 ,1,56.2,6.5, ,B,0,        ,   ,2014/11/7,    ,390002,,下済,13,1
28,1,,14,1,5/098727VX,6,7,,57.8,生機: 98727VX,,5019 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5019, ,,B,214426A0,I079 ,1,57.8,11.3, ,A,1000,        ,   ,2014/11/8,1215,98727,,下済,14,1
29,2,,14,1,5/098727VX,6,7,,58,生機: 98727VX,,5042 ,A,,TA57/C43,50M,140,1,50,50, 98727VX,5042, ,,B,214426B0,I080 ,1,58,11.4, ,A,1000,        ,   ,2014/11/8,1215,98727,,下済,14,2
30,1,,15,1,5/390003YX,6,7,,53,生機:390003YX,,5001 ,B,,P100,50M,140,1,50,50,390003YX,5001, ,,B,114490A1,I003 ,1,53,8.7, ,B,1000,        ,   ,2014/11/10,    ,390003,,下済,15,1
31,1,,16,1,5/099152YX,6,7,,59.2,生機: 99152YX,,5001 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5001, ,,B,214426A1,I079 ,1,59.2,10.8, ,A,1000,        ,   ,2014/11/21,1350,99152,,下済,16,1
32,2,,16,1,5/099152YX,6,7,,56.8,生機: 99152YX,,5006 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5006, ,,B,214426B1,I080 ,1,56.8,10.4, ,A,1000,        ,   ,2014/11/21,1350,99152,,下済,16,2
33,3,,16,1,5/390004YX,6,7,,41.3,生機:390004YX,,5001 ,B,,P100,50M,140,1,50,50,390004YX,5001, ,,B,114490A2,I003 ,1,41.3,5.7, ,B,1000,        ,   ,2014/11/21,    ,390004,,下済,16,3
34,1,,17,1,5/099152YX,6,7,,53.6,生機: 99152YX,,5002 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5002, ,,B,214426A1,I079 ,1,53.6,9.8, ,A,1000,        ,   ,2014/11/25,1350,99152,,下済,17,1
35,2,,17,1,5/099152YX,6,7,,57.1,生機: 99152YX,,5003 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5003, ,,B,214426A1,I079 ,1,57.1,10.4, ,A,1000,        ,   ,2014/11/25,1350,99152,,下済,17,2
36,3,,17,1,5/099152YX,6,7,,57.1,生機: 99152YX,,5004 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5004, ,,B,214426A1,I079 ,1,57.1,10.4, ,A,1000,        ,   ,2014/11/25,1350,99152,,下済,17,3
37,4,,17,1,5/099152YX,6,7,,57.2,生機: 99152YX,,5005 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5005, ,,B,214426A1,I079 ,1,57.2,10.4, ,A,1000,        ,   ,2014/11/25,1350,99152,,下済,17,4
38,1,,18,1,5/099152YX,6,7,,50.4,生機: 99152YX,,5010 ,B,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5010, ,,B,214426B1,I080 ,1,50.4,9.2, ,B,1000,        ,   ,2014/11/26,1350,99152,,下済,18,1
39,1,,19,1,5/099152YX,6,7,,56.8,生機: 99152YX,,5007 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5007, ,,B,214426B1,I080 ,1,56.8,10.4, ,A,1000,        ,   ,2014/11/28,1350,99152,,下済,19,1
40,2,,19,1,5/099152YX,6,7,,57.2,生機: 99152YX,,5008 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5008, ,,B,214426B1,I080 ,1,57.2,10.5, ,A,1000,        ,   ,2014/11/28,1350,99152,,下済,19,2
41,3,,19,1,5/099152YX,6,7,,57.2,生機: 99152YX,,5009 ,A,,TA61/RA20/C19,50M,140,1,50,50, 99152YX,5009, ,,B,214426B1,I080 ,1,57.2,10.5, ,A,1000,        ,   ,2014/11/28,1350,99152,,下済,19,3
42,1,,20,1,5/290030YX,6,7,,50.2,生機:290030YX,,5001 ,B,,R62/L38,50M,135,1,50,50,290030YX,5001, ,,B,114615A0,I011 ,1,50.2,10.6, ,B,1000,        ,   ,2015/1/13,    ,290030,,下済,20,1
43,1,,21,1,5/099220JX,6,7,,53.8,生機: 99220JX,,5005 ,B,,P100,50M,140,1,25112,25112, 99220JX,5005, ,,B,114572A0,I075 ,1,53.8,10.1, ,B,1000,        ,   ,2015/1/21,1887,99220,,下済,21,1
44,1,,22,1,5/290051YX,6,7,,101.5,生機:290051YX,,5001 ,A,,P100,100M,154,1,100,100,290051YX,5001, ,,B,114680A0,I063 ,1,101.5,13, ,A,1000,        ,   ,2015/2/6,    ,290051,,下済,22,1
45,1,,23,1,5/098996YA,6,7,,27.4,生機: 98996YA,,5003 ,A,,P40/TA39/C21,50M,135,0.5,50,25, 98996YA,5003, ,,B,114684A0,I036 ,0.5,27.4,8.3, ,A,1000,        ,   ,2015/2/24,    ,98996,,下済,23,1
46,1,,24,1,5/290045YX,6,7,,50.3,生機:290045YX,,5169 ,B,,AC82/P18,46M,140,1,46,46,290045YX,5169, ,,B,214689A0,I048 ,1,50.3,13.1, ,B,1000,        ,   ,2015/4/7,1461,290045,,下済,24,1
47,1,,25,1,5/098995ZX,6,7,,53.2,生機: 98995ZX,,5021 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5021, ,,B,114728B0,I078 ,1,53.2,15.3, ,A,1000,        ,   ,2015/4/17,1734,98995,,下済,25,1
48,1,,26,1,5/098995ZX,6,7,,55.5,生機: 98995ZX,,5022 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5022, ,,B,114728B0,I078 ,1,55.5,16, ,A,1000,        ,   ,2015/4/18,1734,98995,,下済,26,1
49,1,,27,1,5/098995ZX,6,7,,55.4,生機: 98995ZX,,5023 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5023, ,,B,114728B0,I078 ,1,55.4,16, ,A,1000,        ,   ,2015/4/20,1734,98995,,下済,27,1
50,2,,27,1,5/098995ZX,6,7,,56,生機: 98995ZX,,5024 ,A,,TA41/C31/P28,50M,135,1,50,50, 98995ZX,5024, ,,B,114728B0,I078 ,1,56,16.1, ,A,1000,        ,   ,2015/4/20,1734,98995,,下済,27,2
51,3,,27,1,5/290045YX,6,7,,51.1,生機:290045YX,,5195 ,B,,AC82/P18,46M,140,1,46,46,290045YX,5195, ,,B,214689A0,I048 ,1,51.1,13.3, ,B,1000,        ,   ,2015/4/20,1461,290045,,下済,27,3
