製品,製品単位,部品,必要量,部品単位,行番,不要
4/039428PX,反,J/039428PX,1,反,1,1
4/039428PX,反,3/E4314,5.02,K,2,2
4/039428PX,反,3/W1921,9.98,K,3,2
4/076410CB,反,J/076410CB,1,反,1,1
4/076410CB,反,3/D2606,8.29,K,2,2
4/078019VA,反,J/078019VA,1,反,1,1
4/078019VA,反,3/G4044,12.26,K,2,2
4/078019VB,反,J/078019VB,1,反,1,1
4/078019VB,反,3/G4084,12.26,K,2,2
4/078019VX,反,J/078019VX,1,反,1,1
4/078019VX,反,3/G4044,12.26,K,2,2
4/079664FX,反,J/079664FX,1,反,1,1
4/079664FX,反,3/J3955,6.02,K,2,2
4/097064CX,反,J/097064CX,1,反,1,1
4/097064CX,反,3/B9707,3.6,K,2,2
4/097064CX,反,3/B7085,5.72,K,3,2
4/097400VX,反,J/097400VX,1,反,1,1
4/097400VX,反,3/B5697,2.56,K,2,2
4/097400VX,反,3/B5687,2.56,K,3,2
4/098413ZX,反,J/098413ZX,1,反,1,1
4/098413ZX,反,3/B1735,11.51,K,2,2
4/098706ZX,反,J/098706ZX,1,反,1,1
4/098706ZX,反,3/B0596,12.43,K,2,2
4/098761XX,反,J/098761XX,1,反,1,1
4/098761XX,反,3/B8137,5.07,K,2,2
4/098761XX,反,3/B8127,5.07,K,3,2
4/099220JX,反,J/099220JX,1,反,1,1
4/099220JX,反,3/B4177,3.11,K,2,2
4/099401JX,反,J/099401JX,1,反,1,1
4/099401JX,反,3/B7085,5.85,K,2,2
4/099401JX,反,3/B9707,3.72,K,3,2
4/099556ZX,反,J/099556ZX,1,反,1,1
4/099556ZX,反,3/B9857,5.8,K,2,2
4/099556ZX,反,3/B9847,5.8,K,3,2
4/099683YX,反,J/099683YX,1,反,1,1
4/099683YX,反,3/B1705,11.15,K,2,2
4/099879JX,反,J/099879JX,1,反,1,1
4/099879JX,反,3/A1605,5.58,K,2,2
4/102144BB,反,J/102144BB,1,反,1,1
4/102144BB,反,3/A7596,5.21,K,2,2
4/102633ZX,反,J/102633ZX,1,反,1,1
4/102633ZX,反,3/D0056,7.85,K,2,2
4/115157ZA,反,J/115157ZA,1,反,1,1
4/115157ZA,反,3/404BA,9,K,2,2
4/115157ZB,反,J/115157ZB,1,反,1,1
4/115157ZB,反,3/404BA,9,K,2,2
4/115769PL,反,J/115769PL,1,反,1,1
4/115769PL,反,3/W2854,5.01,K,2,2
4/115769PL,反,3/F2246,2.66,K,3,2
4/115769PL,反,3/E1744,2.5,K,4,2
4/115859PA,反,J/115859PA,1,反,1,1
4/115859PA,反,3/E2522,11.53,K,2,2
4/115859XC,反,J/115859XC,1,反,1,1
4/115859XC,反,3/E2522,8.81,K,2,2
4/123127ZF,反,J/123127ZF,1,反,1,1
4/123127ZF,反,3/B7527,15.3,K,2,2
4/127250JD,反,J/127250JD,1,反,1,1
4/127250JD,反,3/B9877,1.78,K,2,2
4/127250JD,反,3/B9867,1.78,K,3,2
4/127413CX,反,J/127413CX,1,反,1,1
4/127413CX,反,3/B9707,3.78,K,2,2
4/127413CX,反,3/B7085,5.72,K,3,2
4/135239DB,反,J/135239DB,1,反,1,1
4/135239DB,反,1/024BA,5.71,K,2,2
4/135239DB,反,1/143AA,1.42,K,3,2
4/135426LH,反,J/135426LH,1,反,1,1
4/135426LH,反,3/E1765,6.92,K,2,2
4/135426LH,反,3/A9114,2.39,K,3,2
4/135426LH,反,3/A2831,1.11,K,4,2
4/135499LX,反,J/135499LX,1,反,1,1
4/135499LX,反,3/E2665,2.87,K,2,2
4/135499LX,反,3/E1725,5.5,K,3,2
4/135499LX,反,3/A2831,1.97,K,4,2
4/135521LD,反,J/135521LD,1,反,1,1
