元コード,商品コード,名称,単位,数単位,数量小数桁,単価小数桁,課税区分,在庫管理,在庫評価方法,主たる倉庫,担当,売上単価１,売上原価,仕入単価,標準原価,商品分類1,商品分類2,商品分類3
D0097,3/D0097,D0097:ﾄﾘｸｼｵﾝF<120T>SDU108/24 :(H) S1200 WM : :                                  ,K,本,2,1,1,1,3,HARA,,,,,1104,3,,
D0455,3/D0455,D0455:TAC<84T>BR75/20(LP9) :<S750>WMｼｮｰﾄﾊﾟｰﾝ(8KRPM) : :                         ,K,本,2,1,1,1,3,HARA,,,,,1555.6,3,,
D0655,3/D0655,D0655:TAC(ES)<84T>BR75/20 :<S600>WMｼｮｰﾄﾊﾟｰﾝ(8KRPM) : :                          ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
D0897,3/D0897,D0897:ｿﾛ(EKT)F<84T>SD75/36 :<S1200>WM : :                                       ,K,本,2,1,1,1,3,HARA,,,,,795.6,3,,
D1588,3/D1588,D1588:EF(A210)<33T>SD30/12 :RF<133T>BR120/44(ｲｰｸﾞﾚｯﾄ):(800+1400)<Z2200>ｲﾀﾘｰ :   ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
D1598,3/D1598,D1598:EF(A210)<33T>SD30/12 :RF<133T>BR120/44(ｲｰｸﾞﾚｯﾄ):(800+1400)<S2200>ｲﾀﾘｰ :   ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
D1608,3/D1608,D1608:EF(A210)<22T>SD20/12 :RF<84T>BR75/30(ｲｰｸﾞﾚｯﾄ) :(1400+1400)<Z2800>ｲﾀﾘｰ :   ,K,本,2,1,1,1,3,HARA,,,,,884.03,3,,
D1618,3/D1618,D1618:EF(A210)<22T>SD20/12 :RF<84T>BR75/30(ｲｰｸﾞﾚｯﾄ) :(1400+1400)<S2800>ｲﾀﾘｰ :   ,K,本,2,1,1,1,3,HARA,,,,,884.03,3,,
D1708,3/D1708,D1708:TAC<84T>BR75/20(LP9) :RF84TBR(ｲｰｸﾞﾚｯﾄ)Z1600ｲﾀﾘｰ:(RF=84D) <Z800>WS MK :    ,K,本,2,1,1,1,3,HARA,,,,,1862.73,3,,
D1718,3/D1718,D1718:TAC<84T>BR75/20(LP9) :RF84TBR(ｲｰｸﾞﾚｯﾄ)S1600ｲﾀﾘｰ:(RF=84D) <S800>WS MK :    ,K,本,2,1,1,1,3,HARA,,,,,1862.73,3,,
D1844,3/D1844,D1844:RF133TBR120/30ﾎﾜｲﾄM(W) :/2 <Z400>WS : :                                   ,K,本,2,1,1,1,3,HARA,,,,,927,3,,
D2327,3/D2327,D2327:OHS.2F<110T>SD100/24 :(9262) Z1200 WM : :                                 ,K,本,2,1,1,1,3,HARA,,,,,957.9,3,,
D2337,3/D2337,D2337:OHS.2F<110T>SD100/24 :(9262) S1200 WM : :                                 ,K,本,2,1,1,1,3,HARA,,,,,957.9,3,,
D2357,3/D2357,D2357:OHS.2F<110T>SD100/24 :(9262) S1200 WM 85ﾟ-30 : :                          ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
D2606,3/D2606,D2606:TAC<220T>BR200/34 /2 :RF<133T>BR120/30ﾎﾜｲﾄM(W) : <Z800>WS MK 15ｼﾃｲ :      ,K,本,2,1,1,1,3,HARA,,,,,1365,3,,
D3294,3/D3294,D3294:ﾃｨﾌｨｺTF<167T>BB150/72 :(HB) S400 WM : :                                   ,K,本,2,1,1,1,3,HARA,,,,,487,3,,
D3833,3/D3833,D3833:RF<133T>SD120/44 :(ｲｰｸﾞﾚｯﾄ)/3 <S300>WS : :                                ,K,本,2,1,1,1,3,HARA,,,,,927,3,,
D3896,3/D3896,D3896:ﾚﾝﾎﾞｳRF<133T>BR120/44 :(ｲｰｸﾞﾚｯﾄ) S800WM : :                               ,K,本,2,1,1,1,3,HARA,,,,,1167,3,,
D3907,3/D3907,D3907:ﾚﾝﾎﾞｳRF<133T>BR120/44 :(ｲｰｸﾞﾚｯﾄ) Z1500 WM : :                             ,K,本,2,1,1,1,3,HARA,,,,,1217,3,,
D3917,3/D3917,D3917:ﾚﾝﾎﾞｳRF<133T>BR120/44 :(ｲｰｸﾞﾚｯﾄ) S1500 WM : :                             ,K,本,2,1,1,1,3,HARA,,,,,1217,3,,
D4867,3/D4867,D4867:Z10F<110T>SD100/24(B29):Z1200 WM : :                                      ,K,本,2,1,1,1,3,HARA,,,,,823.24,3,,
D4877,3/D4877,D4877:Z10F<110T>SD100/24(B29):S1200 WM : :                                      ,K,本,2,1,1,1,3,HARA,,,,,823.24,3,,
D5107,3/D5107,D5107:Z10F<110T>SD100/24(B27):Z1200 WM : :                                      ,K,本,2,1,1,1,3,HARA,,,,,1015,3,,
D5117,3/D5117,D5117:Z10F<110T>SD100/24(B27):S1200 WM : :                                      ,K,本,2,1,1,1,3,HARA,,,,,1015,3,,
D5527,3/D5527,D5527:ﾗｼｰﾅ(V210)<33T>SD30/12 :TAC(MTX)<61T>BR55/15 :<Z1600>WMｼｮｰﾄﾊﾟｰﾝ(9KRPM) :  ,K,本,2,1,1,1,3,HARA,,,,,400,3,,
D5537,3/D5537,D5537:ﾗｼｰﾅ(V210)<33T>SD30/12 :TAC(MTX)<61T>BR55/15 :<S1600>WMｼｮｰﾄﾊﾟｰﾝ(9KRPM) :  ,K,本,2,1,1,1,3,HARA,,,,,300,3,,
D9506,3/D9506,D9506:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#005)ｵﾌ /4 :<Z800>G :                              ,K,本,2,1,1,1,3,HARA,,,,,1895.2,3,,
D9526,3/D9526,D9526:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#051)Lﾌﾞﾙｰ /4 :<Z800>G :                           ,K,本,2,1,1,1,3,HARA,,,,,1895.2,3,,
D9546,3/D9546,D9546:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#093)Nﾈｲﾋﾞｰ /4 :<Z800>G :                          ,K,本,2,1,1,1,3,HARA,,,,,1895.2,3,,
D9566,3/D9566,D9566:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#086)Lﾈｲﾋﾞｰ /4 :<Z800>G :                          ,K,本,2,1,1,1,3,HARA,,,,,1895.2,3,,
D9586,3/D9586,D9586:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#040)ﾌﾞﾙｰ /4 :<Z800>G :                            ,K,本,2,1,1,1,3,HARA,,,,,1895.2,3,,
D9606,3/D9606,D9606:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#022)ﾚｯﾄﾞ /4 :<Z800>G :                            ,K,本,2,1,1,1,3,HARA,,,,,2095.2,3,,
D9626,3/D9626,D9626:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#091)Tﾈｲﾋﾞｰ /4 :<Z800>G :                          ,K,本,2,1,1,1,3,HARA,,,,,1895.2,3,,
D9646,3/D9646,D9646:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#013)Nﾍﾞｰｼﾞｭ /4 :<Z800>G :                         ,K,本,2,1,1,1,3,HARA,,,,,2095.2,3,,
D9666,3/D9666,D9666:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#014)ﾏﾝｺﾞｰ /4 :<Z800>G :                           ,K,本,2,1,1,1,3,HARA,,,,,2095.2,3,,
D9686,3/D9686,D9686:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#007)Tﾍﾞｰｼﾞｭ /4 :<Z800>G :                         ,K,本,2,1,1,1,3,HARA,,,,,2095.2,3,,
D9706,3/D9706,D9706:ｿﾛﾃｯｸｽ<84T>SD75/36 :(C/#097)ﾌﾞﾗｯｸ /4 :<Z800>G :                           ,K,本,2,1,1,1,3,HARA,,,,,1895.2,3,,
E1725,3/E1725,E1725:ﾅ.CDFSDY84TSD/36(8C375):ﾅﾝﾔCDPOYF<280T>SD250/48 :ﾄﾞｳｶﾘ <Z600>WS :         ,K,本,2,1,1,1,3,HARA,,,,,497.91,3,,
E1805,3/E1805,E1805:ﾅ.CDFSDY84TSD/36(8C365):ﾅﾝﾔCDPOYF<280T>SD250/48 :ﾄﾞｳｶﾘ <Z600>WS :         ,K,本,2,1,1,1,3,HARA,,,,,677.91,3,,
E1814,3/E1814,E1814:ﾅ.CDFSDY84TSD/36(8C365):ﾅﾝﾔCDPOYF<280T>SD250/48 :ﾄﾞｳｶﾘ <Z400>WS :         ,K,本,2,1,1,1,3,HARA,,,,,647.91,3,,
E2665,3/E2665,E2665:ﾄｰﾚTF<84T>SD75/36(215) :ﾅﾝﾔT.POY<255T>SD230/48 :ﾄﾞｳｶﾘ<Z600>WS :           ,K,本,2,1,1,1,3,HARA,,,,,616.93,3,,
E4201,3/E4201,E4201:ﾄｰﾚTF<84T>SD75/36(215) :ﾅﾝﾔCDPOYF<280T>SD250/48 :ﾄﾞｳｶﾘ/2 <Z150>WS :       ,K,本,2,1,1,1,3,HARA,,,,,471.69,3,,
E4314,3/E4314,E4314:ﾄｰﾚTF<84T>SD75/36(215) :ﾅﾝﾔT.POYF<255T>SD230/48 :ﾄﾞｳｶﾘ<Z400>WS :          ,K,本,2,1,1,1,3,HARA,,,,,576.93,3,,
E4368,3/E4368,E4368:ﾃｨﾌｨｺTF<110T>SD100/48 :KB.CDF84TSD75/24ﾄﾞｳｶMOIVF:(S200)WM/2<Z150>WS ｾｯﾄ70ﾟ,K,本,2,1,1,1,3,HARA,,,,,761.92,3,,
E4401,3/E4401,E4401:ﾃ.TF<110T>SD100/48(20) :KB.CDF84TSD75/24ﾄﾞｳｶﾘMOLS:<Z150>G :               ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
E4468,3/E4468,E4468:ﾃ.TF<110T>SD100/48(20) :KB.CDF84TSD75/24ﾄﾞｳｶﾘMOLS:(S200)WM/2<Z150>WS ｾｯﾄ70,K,本,2,1,1,1,3,HARA,,,,,770.26,3,,
E4478,3/E4478,E4478:S2842(TF110TXKB.CDF84T):ﾄﾞｳｶﾘMOLS (S200)WM/2 :W.ﾍﾞﾙﾄﾛﾝ22T/<Z150>G ｾｯﾄ70:  ,K,本,2,1,1,1,3,HARA,,,,,2279.39,3,,
E5064,3/E5064,E5064:ﾄｰﾚTF<84T>SD75/36(215) :ﾅﾝﾔT.POYF<255T>SD230/48 :ﾄﾞｳｶﾘ /2<Z400>WS :       ,K,本,2,1,1,1,3,HARA,,,,,421.01,3,,
E5256,3/E5256,E5256:ﾄｰﾚTF<84T>SD75/36(215) :ﾅﾝﾔT.POYF<128T>SD115/36 :Sﾄﾞｳｶﾘ<S800>WS :         ,K,本,2,1,1,1,3,HARA,,,,,715.07,3,,
E5266,3/E5266,E5266:ﾅﾝﾔCDF<84T>SD75/36 :ﾅﾝﾔT.POYF<128T>SD115/36 :ﾄﾞｳｶﾘ<Z800>WS :              ,K,本,2,1,1,1,3,HARA,,,,,787.13,3,,
E6917,3/E6917,E6917:ﾜﾙﾂF<84T>SD75/36(Z275) :BB.F<56T>BR50/30 :ﾄﾞｳｶﾘMO(LS)<S1200>WM85ﾟ30:      ,K,本,2,1,1,1,3,HARA,,,,,1577.51,3,,
E7146,3/E7146,E7146:ﾅ.CDFSDY84TSD/36(8C373):ﾅﾝﾔCDPOYF140TSD/36(MC361):ﾄﾞｳｶﾘ <Z800>WS :        ,K,本,2,1,1,1,3,HARA,,,,,778.49,3,,
E7206,3/E7206,E7206:ﾅ.CDFSDY84TSD/36(8C369):ﾅﾝﾔCDPOYF140TSD/36(MC357):ﾄﾞｳｶﾘ <Z800>WS :        ,K,本,2,1,1,1,3,HARA,,,,,788.44,3,,
E7264,3/E7264,E7264:ﾅ.CDFSDY84TSD/36(8C361):ﾅﾝﾔCDPOYF140TSD/36(MC349):ﾄﾞｳｶﾘ <Z400>WS :        ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
E7384,3/E7384,E7384:ﾅ.CDFSDY84TSD/36(8C373):ﾅﾝﾔCDPOYF140TSD/36(MC361):ﾄﾞｳｶﾘ <Z400>WS :        ,K,本,2,1,1,1,3,HARA,,,,,718.49,3,,
E7414,3/E7414,E7414:ﾅﾝﾔCDPOYW280TSD250/48S :(175D)(SA-2) Z400 WM : :                          ,K,本,2,1,1,1,3,HARA,,,,,683.76,3,,
E8034,3/E8034,E8034:ﾅﾝﾔCDPOY(MC347)W140T :SD125/36Z(SA-2) S400 WM : :                         ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
F1408,3/F1408,F1408:ﾃ.ﾐﾙﾊﾟ190TSD170/63Gﾘﾝｸﾞ:TAC<135T>BR120/33/2(S700):TAC<135T>BR120/33 <Z400>,K,本,2,1,1,1,3,HARA,,,,,0,3,,
F1468,3/F1468,F1468:ﾃ.ﾐﾙﾊﾟ190TSD170/63Gﾘﾝｸﾞ:TAC(ES)BR120/33/2(S700) :TAC(ES)BR120/33 <Z400>G :,K,本,2,1,1,1,3,HARA,,,,,0,3,,
F2017,3/F2017,F2017:ﾃｨﾌｨｺTF<56T>SD50/24(ZF):TAC<84T>BR75/20(LP9) :ﾜﾙﾂFSD84T/(Z275)<Z1000>G7: ｺ,K,本,2,1,1,1,3,HARA,,,,,1271.75,3,,
F2246,3/F2246,F2246:ﾃ.TW110TSD/24Z(20)(70ﾟ):ﾃｨﾌｨｺTW167TSD/48Z(20)70ﾟC:ﾃ.TF56TSD/24(ZF) <S800>G,K,本,2,1,1,1,3,HARA,,,,,834.37,3,,
G1117,3/G1117,G1117:ｿﾛ(EKT)F<56T>SD50/36 :TAC(ES)W<84T>BR75/20Z :<S1200>WS :                  ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
G1936,3/G1936,G1936:EW<84T>SD75/36(SPX) :TAC(ES)<167T>BR150/40 :<S800>WS :                    ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
G2615,3/G2615,G2615:ｿﾛﾃｯｸｽW<56T>SD50/36Z :TAC(SJ)<135T>BR120/33 :<S600>WS :                   ,K,本,2,1,1,1,3,HARA,,,,,1409.71,3,,
G3107,3/G3107,G3107:TW<56T>SD50/36(S) :AC<84T>BR75/19(ｲｰｽﾄﾏﾝ) :<Z1800>ｲﾀﾘｰ :                  ,K,本,2,1,1,1,3,HARA,,,,,443.5,3,,
G3117,3/G3117,G3117:TW<56T>SD50/36(Z) :AC<84T>BR75/19(ｲｰｽﾄﾏﾝ) :<S1800>ｲﾀﾘｰ :                  ,K,本,2,1,1,1,3,HARA,,,,,293,3,,
G3934,3/G3934,G3934:ﾃｨﾌｨｺTW110TSD(Z300)WMｻｷ:TAC<110T>BR100/26/2 : <Z400>G :                   ,K,本,2,1,1,1,3,HARA,,,,,140,3,,
G3954,3/G3954,G3954:ﾃｨﾌｨｺTW110TSD(Z300)WMｻｷ:TAC<110T>BR100/26 :<Z400>WS :                     ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
G4024,3/G4024,G4024:ﾃｨﾌｨｺTW110TSD(Z300)WMｻｷ:TAC<110T>BR100/26/2 :<Z400>WS :                   ,K,本,2,1,1,1,3,HARA,,,,,1185.89,3,,
G4044,3/G4044,G4044:ﾃｨﾌｨｺTW110TSD(Z300)WMｻｷ:TAC(ES)<110T>BR100/26/2 :<Z400>WS :               ,K,本,2,1,1,1,3,HARA,,,,,1112.19,3,,
G4064,3/G4064,G4064:ﾃｨﾌｨｺTW110TSD(Z300)WMｻｷ:ｲｰｽﾄﾏﾝACF<84T>BR75/19/2 :<Z400>WS :               ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
G4888,3/G4888,G4888:ﾅﾝﾔT.POYW128TSD115/36Z :ｵｰﾛﾗ120ｷﾘ88D S200 <Z400>G: :                      ,K,本,2,1,1,1,3,HARA,,,,,2731.83,3,,
H1137,3/H1137,H1137:OHS.2F<110T>SD100/24 :ﾙﾐﾚｯﾄ85R15 40/-(ﾏﾙｲﾁｾﾝｲ) :<S1200>WS MK 85ﾟ-30 :     ,K,本,2,1,1,1,3,HARA,,,,,1320.25,3,,
H3504,3/H3504,H3504:TAC<167T>BR150/40 /2 :ｱｻ(RA)100% 60/- : <Z400>WS MK :                     ,K,本,2,1,1,1,3,HARA,,,,,1794,3,,
H3544,3/H3544,H3544:TAC<167T>BR150/40/2 :RA(ﾗﾐｰ)100%60/- :<Z400>WS MK :                       ,K,本,2,1,1,1,3,HARA,,,,,1480,3,,
H5815,3/H5815,H5815:TAC<220T>BR200/34 :T50R LSL24/-(34Y) :<Z600>WS :                          ,K,本,2,1,1,1,3,HARA,,,,,1168.6,3,,
H5835,3/H5835,H5835:TAC(SJ)<220T>BR200/34 :T100%SL(34)24/-Y :<Z600>WS :                       ,K,本,2,1,1,1,3,HARA,,,,,1340.8,3,,
J1024,3/J1024,J1024:PR.ﾃTF84T03FXﾅﾝﾔCDF84T :PR.ﾃTF84T03FXﾄｰﾚN66F78T70:ﾀﾝｽﾗﾌﾞ <Z400>WS :       ,K,本,2,1,1,1,3,HARA,,,,,858.82,3,,
J1184,3/J1184,J1184:PR.ﾃTF84T03FXﾅﾝﾔCDF84T :PRﾃTF84T03FXRF84TﾎﾜｲﾄM(P):<Z400>WS :              ,K,本,2,1,1,1,3,HARA,,,,,972.04,3,,
J3685,3/J3685,J3685:TPA.Z10F56TSD50/12(B13):X TAC(ES)<84T>BR75/20 :TAC(ES)BR100/26<Z600>WS :  ,K,本,2,1,1,1,3,HARA,,,,,1462.89,3,,
J3706,3/J3706,J3706:TPA.CDZ10F<56T>SD50/12 :X BB.F<56T>BR50/30 :TAC<61T>BR55/15<Z800>WS :     ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
J3755,3/J3755,J3755:PA.ﾃｨﾌｨｺTF110TSD100/24 :X TAC84TBR75/20(LP9) :/2<S600>WS ｾｯﾄ85ﾟC30 :      ,K,本,2,1,1,1,3,HARA,,,,,1408.19,3,,
J3935,3/J3935,J3935:PA.ﾃｨﾌｨｺTFSD100/24(20) :X TAC84TBR75/20(LP9) :/2<S600>WS ｾｯﾄ85ﾟC30 :      ,K,本,2,1,1,1,3,HARA,,,,,1437.45,3,,
J3955,3/J3955,J3955:PA.ﾃｨﾌｨｺTFSD100/24(20) :X TAC(ES)84TBR75/20(LP9) :/2<S600>WS ｾｯﾄ85ﾟC30 :  ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
J6484,3/J6484,J6484:PA.ﾃｨﾌｨｺTFSD100/24(20) :X TAC<167T>BR150/40 ST5ｶｲ:T100%SD30/-(ﾈｼｱ) <Z400>W,K,本,2,1,1,1,3,HARA,,,,,1114.68,3,,
J6524,3/J6524,J6524:PA.ﾃｨﾌｨｺTFSD100/24(20) :X TAC(ES)BR167T40 ST5ｶｲ :TAC(ES)BR167T40<Z400>WS :,K,本,2,1,1,1,3,HARA,,,,,0,3,,
L3209,3/L3209,L3209:ﾅｲﾛﾝﾀｽﾗﾝ160/- :<Z700>WS : :                                               ,K,本,2,1,1,1,3,HARA,,,,,942.6,3,,
N0803,3/N0803,N0803:TAC<84T>BR75/20(LP9) :RF84TBR(ｲｰｸﾞﾚｯﾄ)Z1600ｲﾀﾘｰ:(RF=84D) <Z300>G :        ,K,本,2,1,1,1,3,HARA,,,,,1565.76,3,,
N0813,3/N0813,N0813:TAC<84T>BR75/20(LP9) :RF84TBR(ｲｰｸﾞﾚｯﾄ)S1600ｲﾀﾘｰ:(RF=84D) <S300>G :        ,K,本,2,1,1,1,3,HARA,,,,,1565.76,3,,
N1246,3/N1246,N1246:EF(A210)<33T>SD30/12 :RF<133T>BR120/44(ｲｰｸﾞﾚｯﾄ):<Z800>ｲﾀﾘｰ :              ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
N1256,3/N1256,N1256:EF(A210)<33T>SD30/12 :RF<133T>BR120/44(ｲｰｸﾞﾚｯﾄ):<S800>ｲﾀﾘｰ :              ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
N1307,3/N1307,N1307:EF(A210)<22T>SD20/12 :RF<84T>BR75/30(ｲｰｸﾞﾚｯﾄ) :<Z1400>ｲﾀﾘｰ :              ,K,本,2,1,1,1,3,HARA,,,,,866.7,3,,
N1317,3/N1317,N1317:EF(A210)<22T>SD20/12 :RF<84T>BR75/30(ｲｰｸﾞﾚｯﾄ) :<S1400>ｲﾀﾘｰ :              ,K,本,2,1,1,1,3,HARA,,,,,866.7,3,,
R1409,3/R1409,R1409:ﾃ.ﾐﾙﾊﾟ190TSD170/63Gﾘﾝｸﾞ:TAC<135T>BR120/33/2 :(S700)G : ｺﾞｳﾈﾝ ｽﾚｰﾄ         ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
R1469,3/R1469,R1469:ﾃ.ﾐﾙﾊﾟ190TSD170/63Gﾘﾝｸﾞ:TAC(ES)<135T>BR120/33/2 :(S700)G : ｺﾞｳﾈﾝ ｽﾚｰﾄ     ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
S2842,3/S2842,S2842:ﾃ.TF<110T>SD100/48(20) :KB.CDF84TSD75/24ﾄﾞｳｶﾘMOLS:(S200)WM :              ,K,本,2,1,1,1,3,HARA,,,,,631.32,3,,
S2882,3/S2882,S2882:ﾃｨﾌｨｺTF<110T>SD100/48 :KB.CDF84TSD75/24ﾄﾞｳｶMOIVF:(S200)WM :               ,K,本,2,1,1,1,3,HARA,,,,,623.23,3,,
W1385,3/W1385,W1385:Z10F<56T>SD50/12(B13) :ﾅﾝﾔT.POYF<128T>SD115/36 :ﾄﾞｳｶﾘMOLS <Z600>WS :      ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
W1395,3/W1395,W1395:Z10F<56T>SD50/12(B13) :ﾅﾝﾔT.POYF<128T>SD115/36 :ﾄﾞｳｶﾘMOLS <S600>WS :      ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
W1425,3/W1425,W1425:Z10F<56T>SD50/12(B13) :ﾅﾝﾔT.POYF<128T>SD115/36 :ﾄﾞｳｶﾘMOLS <Z600>WM :      ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
W1435,3/W1435,W1435:Z10F<56T>SD50/12(B13) :ﾅﾝﾔT.POYF<128T>SD115/36 :ﾄﾞｳｶﾘMOLS <S600>WM :      ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
W1921,3/W1921,W1921:ﾄｰﾚTF<84T>SD75/36(215) :ﾅﾝﾔT.POYF<255T>SD230/48 :ﾄﾞｳｶﾘ /2<Z150>WS :       ,K,本,2,1,1,1,3,HARA,,,,,561.01,3,,
W2487,3/W2487,W2487:Z10F<33T>SD30/12(B08) :TAC<84T>BR75/20(LP9) :/WA<Z1200>WMｼｮｰﾄﾊﾟｰﾝ6KRPM:   ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
W2497,3/W2497,W2497:Z10F<33T>SD30/12(B08) :TAC<84T>BR75/20(LP9) :/WA<S1200>WMｼｮｰﾄﾊﾟｰﾝ6KRPM:   ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
W2834,3/W2834,W2834:ﾃｨﾌｨｺTF84TSD75/24(03F) :ﾅﾝﾔｴｺPOY(ｹﾐｶﾙ)278T(M96D5):ﾄﾞｳｶﾘ <Z400>WS :        ,K,本,2,1,1,1,3,HARA,,,,,593.24,3,,
W2844,3/W2844,W2844:T600EB<83T>SD75/36 :ﾅﾝﾔｴｺPOY(ｹﾐｶﾙ)278T(M96D5):ﾄﾞｳｶﾘ <Z400>G :             ,K,本,2,1,1,1,3,HARA,,,,,732.31,3,,
Y5161,3/Y5161,Y5161:ACB84TXTWSD56T36/2 :S500T/M : :                                           ,K,本,2,1,1,1,3,HARA,,,,,177,3,,
Y5171,3/Y5171,Y5171:ACB84TXTWSD56T36/2 :S500T/M+S1500T/M(ｲﾀﾘｰ) : :                            ,K,本,2,1,1,1,3,HARA,,,,,407,3,,
Y5181,3/Y5181,Y5181:ACB84TXTWSD56T36/2 :Z500T/M(ｲﾀﾘｰ) : :                                     ,K,本,2,1,1,1,3,HARA,,,,,376.5,3,,
Y5191,3/Y5191,Y5191:ACB84TXTWSD56T36/2 :Z500T/M+Z1500T/M(ｲﾀﾘｰ) : :                            ,K,本,2,1,1,1,3,HARA,,,,,606.5,3,,
039413XE,4/039413XE,整経玉:039413XE,反,ｍ,1,0,1,1,3,HARA,,,,,14990,4,,
039428PX,4/039428PX,整経玉:039428PX,反,ｍ,1,0,1,1,3,HARA,,,,,17548,4,,
076410CB,4/076410CB,整経玉:076410CB,反,ｍ,1,0,1,1,3,HARA,,,,,23912,4,,
076410CC,4/076410CC,整経玉:076410CC,反,ｍ,1,0,1,1,3,HARA,,,,,23324,4,,
079664CB,4/079664CB,整経玉:079664CB,反,ｍ,1,0,1,1,3,HARA,,,,,21700,4,,
079664FX,4/079664FX,整経玉:079664FX,反,ｍ,1,0,1,1,3,HARA,,,,,20592,4,,
097064CX,4/097064CX,整経玉:097064CX,反,ｍ,1,0,1,1,3,HARA,,,,,19803,4,,
097064JD,4/097064JD,整経玉:097064JD,反,ｍ,1,0,1,1,3,HARA,,,,,20291,4,,
097227ZX,4/097227ZX,整経玉:097227ZX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
097400VX,4/097400VX,整経玉:097400VX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
098105VX,4/098105VX,整経玉:098105VX,反,ｍ,1,0,1,1,3,HARA,,,,,17073,4,,
098262JC,4/098262JC,整経玉:098262JC,反,ｍ,1,0,1,1,3,HARA,,,,,14872,4,,
098286YA,4/098286YA,整経玉:098286YA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
098459YB,4/098459YB,整経玉:098459YB,反,ｍ,1,0,1,1,3,HARA,,,,,31092,4,,
098477YX,4/098477YX,整経玉:098477YX,反,ｍ,1,0,1,1,3,HARA,,,,,24004,4,,
098557CX,4/098557CX,整経玉:098557CX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
098761XX,4/098761XX,整経玉:098761XX,反,ｍ,1,0,1,1,3,HARA,,,,,23916,4,,
098762ZX,4/098762ZX,整経玉:098762ZX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
098847LA,4/098847LA,整経玉:098847LA,反,ｍ,1,0,1,1,3,HARA,,,,,30576,4,,
099306JA,4/099306JA,整経玉:099306JA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099307JA,4/099307JA,整経玉:099307JA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099394YA,4/099394YA,整経玉:099394YA,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099394YX,4/099394YX,整経玉:099394YX,反,ｍ,1,0,1,1,3,HARA,,,,,28167,4,,
099401JX,4/099401JX,整経玉:099401JX,反,ｍ,1,0,1,1,3,HARA,,,,,20668,4,,
099442VX,4/099442VX,整経玉:099442VX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099453ZX,4/099453ZX,整経玉:099453ZX,反,ｍ,1,0,1,1,3,HARA,,,,,31070,4,,
099510ZX,4/099510ZX,整経玉:099510ZX,反,ｍ,1,0,1,1,3,HARA,,,,,18815,4,,
099518YX,4/099518YX,整経玉:099518YX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099519LX,4/099519LX,整経玉:099519LX,反,ｍ,1,0,1,1,3,HARA,,,,,0,4,,
099536YX,4/099536YX,整経玉:099536YX,反,ｍ,1,0,1,1,3,HARA,,,,,55867,4,,
099538LX,4/099538LX,整経玉:099538LX,反,ｍ,1,0,1,1,3,HARA,,,,,45752,4,,
099550YX,4/099550YX,整経玉:099550YX,反,ｍ,1,0,1,1,3,HARA,,,,,42058,4,,
099556YX,4/099556YX,整経玉:099556YX,反,ｍ,1,0,1,1,3,HARA,,,,,29696,4,,
099556ZX,4/099556ZX,整経玉:099556ZX,反,ｍ,1,0,1,1,3,HARA,,,,,29350,4,,
