元コード,商品コード,名称,単位,数単位,数量小数桁,単価小数桁,課税区分,在庫管理,在庫評価方法,主たる倉庫,担当,売上単価１,売上原価,仕入単価,標準原価,商品分類1,商品分類2,商品分類3
362AA,3/362AA,362AA:ﾜﾙﾂF<84T>SD75/36(Z275) BB.F<56T>BR50/30ﾄﾞｳｶﾘMO(LS) /                      ,K,本,2,1,1,1,3,HARA,,,,,1223.05,3,,
371WA,3/371WA,371WA:PPT.W<165T>BR147/68Z (1T107) / LS                                         ,K,本,2,1,1,1,3,HARA,,,,,1078.2,3,,
401UA,3/401UA,401UA:PR.ﾃｨﾌｨｺTF<84T>SD75/24(03F) X ﾅﾝﾔCDF(SDY)84TSD/36(8C365) / ST5ｶｲ 85ﾟC     ,K,本,2,1,1,1,3,HARA,,,,,510.45,3,,
430FA,3/430FA,430FA:PA.ﾃｨﾌｨｺTF<110T>SD100/24 X TAC<84T>BR75/20(LP9) 248/ 44 ｾｯﾄ85ﾟC30'        ,K,本,2,1,1,1,3,HARA,,,,,1098.35,3,,
430GA,3/430GA,430GA:PA.ﾃｨﾌｨｺTF<110T>SD100/24(20) X TAC<84T>BR75/20(LP9) 248/ 44 ｾｯﾄ85ﾟC30     ,K,本,2,1,1,1,3,HARA,,,,,1124.95,3,,
430HA,3/430HA,430HA:PA.ﾃｨﾌｨｺTF<110T>SD100/24(20) X TAC(ES)<84T>BR75/20(LP9) 248/ 44 ｾｯﾄ85ﾟC30 ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
432FA,3/432FA,432FA:PA.ﾃｨﾌｨｺTF<110T>SD100/24(20) X TAC<167T>BR150/40 380/ 64 ST5ｶｲ 85ﾟC       ,K,本,2,1,1,1,3,HARA,,,,,1150.8,3,,
432GA,3/432GA,432GA:PA.ﾃｨﾌｨｺTF<110T>SD100/24(20) X TAC(ES)<167T>BR150/40 380/ 64 ST5ｶｲ 85ﾟC   ,K,本,2,1,1,1,3,HARA,,,,,1127.4,3,,
440MA,3/440MA,440MA:PR.ﾃｨﾌｨｺTF<84T>SD75/24(03F) X ﾄｰﾚN66F<78T>SD70/24ﾀﾝｽﾗﾌﾞ 230/ 48 ST5ｶｲ 85ﾟC,K,本,2,1,1,1,3,HARA,,,,,771.35,3,,
441TA,3/441TA,441TA:PR.ﾃｨﾌｨｺTF<84T>SD75/24(03F) X RF<84T>BR75/24 ﾎﾜｲﾄM(P) 225/ 48 ｱﾙﾐﾉﾐｾｯﾄ70  ,K,本,2,1,1,1,3,HARA,,,,,1003,3,,
464AA,3/464AA,464AA:TPA.Z10F<56T>SD50/12(B13) X TAC<84T>BR75/20(LP9) / ｾｯﾄ100ﾟC30             ,K,本,2,1,1,1,3,HARA,,,,,1316.2,3,,
465AA,3/465AA,465AA:TPA.CDZ10F<56T>SD50/12(Z110) X BB.F<56T>BR50/30 / ｾｯﾄ100ﾟC30              ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
507DA,3/507DA,507DA:ﾃｨﾌｨｺTW<110T> SD 100/ 24 Z300WMｻｷﾖﾘ                                       ,K,本,2,1,1,1,3,HARA,,,,,738.03,3,,
