元コード,コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,評価下原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
135676LB,5/135676LB,生機:135676LB,ｷﾊﾞﾀ135676LB,反,0.02,P75/R25,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
135687LX,5/135687LX,生機:135687LX,ｷﾊﾞﾀ135687LX,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
135719LX,5/135719LX,生機:135719LX,ｷﾊﾞﾀ135719LX,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,10,,L,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
159580YX,5/159580YX,生機:159580YX,ｷﾊﾞﾀ159580YX,反,0.02,P100,50M,180,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
290072ZA,5/290072ZA,生機:290072ZA,ｷﾊﾞﾀ290072ZA,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
290072ZX,5/290072ZX,生機:290072ZX,ｷﾊﾞﾀ290072ZX,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
290189YX,5/290189YX,生機:290189YX,ｷﾊﾞﾀ290189YX,反,0.02173913,AC80/P20,46M,170,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,46,,,,,,,,,,
291006YX,5/291006YX,生機:291006YX,ｷﾊﾞﾀ291006YX,反,0.016666667,P100,60M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,60,,,,,,,,,,
291017YX,5/291017YX,生機:291017YX,ｷﾊﾞﾀ291017YX,反,0.017241379,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,58,,,,,,,,,,
291018YX,5/291018YX,生機:291018YX,ｷﾊﾞﾀ291018YX,反,0.016666667,P69/C31,60M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,60,,,,,,,,,,
291024YX,5/291024YX,生機:291024YX,ｷﾊﾞﾀ291024YX,反,0.016666667,P51/R49,60M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,60,,,,,,,,,,
291043YX,5/291043YX,生機:291043YX,ｷﾊﾞﾀ291043YX,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
291045YX,5/291045YX,生機:291045YX,ｷﾊﾞﾀ291045YX,反,0.017241379,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,58,,,,,,,,,,
295026YX,5/295026YX,生機:295026YX,ｷﾊﾞﾀ295026YX,反,0.02,TA55/R35/P10,50M,114,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,50,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
