コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
3/087GA,糸:087GA:ﾅﾝﾔCDPOY(MC347)W<140T> SD 125/ 36 Z(98D),,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,187,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
3/088BS,糸:088BS:ﾅﾝﾔCDPOYW<280T> SD 250/ 48 S(175D),,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,188,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
3/353UA,糸:353UA:ﾃｨﾌｨｺTF<110T>SD100/48 KB.CDF<84T>SD75/24 / ﾄﾞｳｶﾘMOIVF,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,188,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
3/B2113,糸:B2113:ﾃｨﾌｨｺTF<110T>SD100/24 : Z300 WM : :,,K,0,,,,2,2,在庫管理を行う,課税,0,0,0,月別総平均,SFN,11,SFN,,非対象,188,,,,,,,,,,,,,,,,,,,,,,,,,,,表示する,
