コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,ロット,発注連動,分類１,不要,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
8/115157,品番115157,ﾋﾝﾊﾞﾝ115157,M,50,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZA,非対象,8,FALSE,30,,X,,,,,反,,455,676,579.1,506.8,450.4,405.4,405.4,405.4,,,,,,,,,表示する,
8/115769,品番115769,ﾋﾝﾊﾞﾝ115769,M,50,P100,50M,125,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,PL,非対象,8,FALSE,10,,L,,,,,反,,680,1093,937.1,820,728.9,656,656,656,,,,,,,,,表示する,
8/115859,品番115859,ﾋﾝﾊﾞﾝ115859,M,50,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,PA,非対象,8,FALSE,30,,X,,,,,反,,410,617,528.4,462.4,411,369.9,369.9,369.9,,,,,,,,,表示する,
8/123127,品番123127,ﾋﾝﾊﾞﾝ123127,M,50,TA67/P33,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZF,非対象,8,FALSE,50,,E,,,,,反,,950,1546,1325.1,1159.5,1030.7,927.6,927.6,927.6,,,,,,,,,表示する,
8/127250,品番127250,ﾋﾝﾊﾞﾝ127250,M,50,TA67/P33,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,JD,非対象,8,FALSE,50,,E,,,,,反,,670,959,821.7,719,639.1,575.2,575.2,575.2,,,,,,,,,表示する,
8/127413,品番127413,ﾋﾝﾊﾞﾝ127413,M,50,TA72/P28,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,CX,非対象,8,FALSE,50,,E,,,,,反,,920,1338,1147.1,1003.8,892.2,803,803,803,,,,,,,,,表示する,
8/135239,品番135239,ﾋﾝﾊﾞﾝ135239,M,50,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,DB,非対象,8,FALSE,10,,L,,,,,反,,845,954,818,715.8,636.2,572.6,572.6,572.6,,,,,,,,,表示する,
8/135426,品番135426,ﾋﾝﾊﾞﾝ135426,M,50,P90/N10,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LH,非対象,8,FALSE,10,,L,,,,,反,,840,1099,942.3,824.5,732.9,659.6,659.6,659.6,,,,,,,,,表示する,
8/135499,品番135499,ﾋﾝﾊﾞﾝ135499,M,50,P82/N18,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,10,,L,,,,,反,,1180,1177,1008.9,882.8,784.7,706.2,706.2,706.2,,,,,,,,,表示する,
8/135521,品番135521,ﾋﾝﾊﾞﾝ135521,M,50,P73/R14/N13,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LD,非対象,8,FALSE,10,,L,,,,,反,,830,1075,921.1,806,716.4,644.8,644.8,644.8,,,,,,,,,表示する,
8/135539,品番135539,ﾋﾝﾊﾞﾝ135539,M,50,P92/R8,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,HX,非対象,8,FALSE,10,,L,,,,,反,,1010,988,847,741.1,658.8,592.9,592.9,592.9,,,,,,,,,表示する,
8/135742,品番135742,ﾋﾝﾊﾞﾝ135742,M,50,P95/R5,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,LX,非対象,8,FALSE,10,,L,,,,,反,,860,931,798.1,698.4,620.8,558.7,558.7,558.7,,,,,,,,,表示する,
8/159560,品番159560,ﾋﾝﾊﾞﾝ159560,M,40,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,20,,B,,,,,反,,950,1420,1216.9,1064.8,946.4,851.8,851.8,851.8,,,,,,,,,表示する,
8/159577,品番159577,ﾋﾝﾊﾞﾝ159577,M,40,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,20,,B,,,,,反,,950,1420,1216.9,1064.8,946.4,851.8,851.8,851.8,,,,,,,,,表示する,
8/171143,品番171143,ﾋﾝﾊﾞﾝ171143,M,50,CU71/P29,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,0,1816,1556.9,1362.3,1210.9,1089.8,1089.8,1089.8,,,,,,,,,表示する,
8/171144,品番171144,ﾋﾝﾊﾞﾝ171144,M,50,CU38/TA33/P29,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,0,2689,2304.4,2016.4,1792.3,1613.1,1613.1,1613.1,,,,,,,,,表示する,
8/171222,品番171222,ﾋﾝﾊﾞﾝ171222,M,48,CU49/R40/P11,48M,128,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,336,552,473.4,414.3,368.2,331.4,331.4,331.4,,,,,,,,,表示する,
8/171337,品番171337,ﾋﾝﾊﾞﾝ171337,M,50,R80/CU20,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
8/290045,品番290045,ﾋﾝﾊﾞﾝ290045,M,46,AC75/P25,46M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,VX,非対象,8,FALSE,20,,B,,,,,反,,201.4,301,258,225.8,200.7,180.6,180.6,180.6,,,,,,,,,表示する,
8/290054,品番290054,ﾋﾝﾊﾞﾝ290054,M,50,R51/L30/P19,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YB,非対象,8,FALSE,20,,B,,,,,反,,162,244,209.4,183.3,162.9,146.6,146.6,146.6,,,,,,,,,表示する,
8/290128,品番290128,ﾋﾝﾊﾞﾝ290128,M,100,P100,100M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,20,,B,,,,,反,,220,327,280.3,245.3,218,196.2,196.2,196.2,,,,,,,,,表示する,
8/290169,品番290169,ﾋﾝﾊﾞﾝ290169,M,50,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,GA,非対象,8,FALSE,20,,B,,,,,反,,145.6,177,151.4,132.5,117.8,106,106,106,,,,,,,,,表示する,
8/290170,品番290170,ﾋﾝﾊﾞﾝ290170,M,50,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,GA,非対象,8,FALSE,20,,B,,,,,反,,145.6,177,151.4,132.5,117.8,106,106,106,,,,,,,,,表示する,
8/290172,品番290172,ﾋﾝﾊﾞﾝ290172,M,50,CU62/P38,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,20,,B,,,,,反,,307,435,372.9,326.3,290,261,261,261,,,,,,,,,表示する,
8/290188,品番290188,ﾋﾝﾊﾞﾝ290188,M,42,P100,42M,165,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,YX,非対象,8,FALSE,20,,B,,,,,反,,131,163,140,122.5,108.9,98,98,98,,,,,,,,,表示する,
8/291012,品番291012,ﾋﾝﾊﾞﾝ291012,M,60,P61/C39,60M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,,A,HARA,ZX,非対象,8,FALSE,20,,B,,,,,反,,91.6,138,118,103.3,91.8,82.6,82.6,82.6,,,,,,,,,表示する,
