商品コード,商品名/摘要,単位,入数,ケース,仕入日,伝票番号,取引区分,締切,仕入先コード,仕入先名,税転嫁,担当者コード,担当者名,内訳,入荷,倉庫コード,倉庫名,数量,単価,金額,主プロジェクトコード,副プロジェクトコード,プロジェクト名,課税区分,備考,発注番号
D/SAMPLE,見本:染色加工賃 試織:99489,M,0 ,0 ,2015年11月01日,00001978,掛仕入,今回,430,東北整練株式会社,外税/伝票計,X9,諸橋寿志,通常,,0000,共通倉庫,11.2 ,500 ,"5,600 ",,,,課税 8.0%,15-S308,
D/SAMPLE,見本:染色加工賃 試織:99481,M,0 ,0 ,2015年11月01日,00001978,掛仕入,今回,430,東北整練株式会社,外税/伝票計,X9,諸橋寿志,通常,,0000,共通倉庫,10.1 ,500 ,"5,050 ",,,,課税 8.0%,15-S297,
D/099442YX,099442YX:染色加工賃,M,0 ,0 ,2015年11月03日,00002419,掛仕入,今回,136,岐セン株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,2 ,500 ,"1,000 ",,,,課税 8.0%,15M1019-M1,
D/SAMPLE,見本:染色加工賃 GT-45618,M,0 ,0 ,2015年11月03日,00002419,掛仕入,今回,136,岐セン株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,2 ,500 ,"1,000 ",,,,課税 8.0%,15M1017-M1,
D/098533YB,098533YB:染色加工賃,M,0 ,0 ,2015年11月04日,00002428,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,3 ,180 ,540 ,,,,課税 8.0%,15M1006-1,
D/126947LA,126947LA:染加工賃,Y,0 ,0 ,2015年11月04日,00002429,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,130.4 ,237 ,"30,904 ",,,,課税 8.0%,15M1006-2,
J/076410CB,76410CB:整経賃,反,0 ,0 ,2015年11月05日,00002431,掛仕入,今回,831,菱光サイジング株式会社　金津工場,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,37 ,"1,824 ","67,488 ",,,,課税 8.0%,11/5 11-18401,
J/076410CB-A,76410CB:畦取賃,玉,0 ,0 ,2015年11月05日,00002431,掛仕入,今回,831,菱光サイジング株式会社　金津工場,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,1 ,600 ,600 ,,,,課税 8.0%,11/5 11-18401,
J/076410CB,76410CB:整経賃,反,0 ,0 ,2015年11月05日,00002432,掛仕入,今回,831,菱光サイジング株式会社　金津工場,外税/伝票計,B,板鼻健太郎B,通常,,0000,共通倉庫,25 ,"1,824 ","45,600 ",,,,課税 8.0%,11/5 11-18401,
D/099442YX,099442YX:染色加工賃,M,0 ,0 ,2015年11月04日,00002449,掛仕入,今回,136,岐セン株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,17 ,500 ,"8,500 ",,,,課税 8.0%,15M1019-M1,
D/SAMPLE,見本:染色加工賃 GT-45618,M,0 ,0 ,2015年11月04日,00002449,掛仕入,今回,136,岐セン株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,17.5 ,500 ,"8,750 ",,,,課税 8.0%,15M1017-M1,
D/SAMPLE,見本:染色加工賃 試織:99160R,M,0 ,0 ,2015年11月04日,00002450,掛仕入,今回,430,東北整練株式会社,外税/伝票計,X9,諸橋寿志,通常,,0000,共通倉庫,10.8 ,500 ,"5,400 ",,,,課税 8.0%,15-S333,
D/126947LA,126947LA:染加工賃,Y,0 ,0 ,2015年11月04日,00002455,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,195.4 ,237 ,"46,309 ",,,,課税 8.0%,15M1006-2,
D/076410CX,076410CX:染色加工賃,M,0 ,0 ,2015年11月05日,00002460,掛仕入,今回,623,見附染工株式会社,外税/伝票計,B,板鼻健太郎B,通常,,0000,共通倉庫,38.2 ,400 ,"15,280 ",,,,課税 8.0%,1519093,
D/SAMPLE,見本:染色加工賃 試織:171118,点,0 ,0 ,2015年11月04日,00002461,掛仕入,今回,623,見附染工株式会社,外税/伝票計,X7,葛綿　紘,通常,,0000,共通倉庫,1 ,"2,000 ","2,000 ",,,,課税 8.0%,15-S336,
D/SAMPLE,見本:染色加工賃 試織:171116,点,0 ,0 ,2015年11月04日,00002461,掛仕入,今回,623,見附染工株式会社,外税/伝票計,X7,葛綿　紘,通常,,0000,共通倉庫,1 ,"2,000 ","2,000 ",,,,課税 8.0%,15-S334,
D/098413YB,098413YB:染色加工賃,M,0 ,0 ,2015年11月04日,00002481,掛仕入,今回,430,東北整練株式会社,外税/伝票計,B,板鼻健太郎B,通常,,0000,共通倉庫,572.4 ,300 ,"171,720 ",,,,課税 8.0%,100153-01-1,
D/098413YB,098413YB:染色加工賃,M,0 ,0 ,2015年11月04日,00002482,掛仕入,今回,430,東北整練株式会社,外税/伝票計,B,板鼻健太郎B,通常,,0000,共通倉庫,40.5 ,300 ,"12,150 ",,,,課税 8.0%,100011-04-1,
D/098533YB,098533YB:染色加工賃,M,0 ,0 ,2015年11月03日,00002483,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,388.2 ,180 ,"69,876 ",,,,課税 8.0%,15M1006-1,
D/127413JD,127413JD:染加工賃,M,0 ,0 ,2015年11月05日,00002484,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,507.9 ,220 ,"111,738 ",,,,課税 8.0%,15E1008-2,
D/127250JA,127250JA:染加工賃,M,0 ,0 ,2015年11月05日,00002485,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,478 ,180 ,"86,040 ",,,,課税 8.0%,15E1006-2,
D/SAMPLE,見本:染色加工賃 試織:171115,M,0 ,0 ,2015年11月05日,00002486,掛仕入,今回,430,東北整練株式会社,外税/伝票計,X7,葛綿　紘,通常,,0000,共通倉庫,15 ,500 ,"7,500 ",,,,課税 8.0%,15-S337,
D/079664CB,079664CB:染色加工賃,M,0 ,0 ,2015年11月06日,00002495,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,611.9 ,200 ,"122,380 ",,,,課税 8.0%,15E1008-7,
D/079664CB,079664CB:染色加工賃,M,0 ,0 ,2015年11月06日,00002496,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,613.6 ,200 ,"122,720 ",,,,課税 8.0%,15E1008-7,
D/SAMPLE,見本:染色加工賃 15293-ZX,M,0 ,0 ,2015年11月06日,00002510,掛仕入,今回,623,見附染工株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,41.7 ,500 ,"20,850 ",,,,課税 8.0%,15M1027-M1,
D/SAMPLE,見本:染色加工賃 15293-ZX,M,0 ,0 ,2015年11月06日,00002511,掛仕入,今回,623,見附染工株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,46 ,500 ,"23,000 ",,,,課税 8.0%,15M1027-M1,
D/SAMPLE,見本:染色加工賃 15293-ZX,M,0 ,0 ,2015年11月06日,00002512,掛仕入,今回,623,見附染工株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,2 ,500 ,"1,000 ",,,,課税 8.0%,15M1027-M1,
D/SAMPLE,見本:染色加工賃 15293-ZX,M,0 ,0 ,2015年11月06日,00002513,掛仕入,今回,623,見附染工株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,2 ,500 ,"1,000 ",,,,課税 8.0%,15M1027-M1,
D/SAMPLE,見本:染色加工賃 170002-YX,M,0 ,0 ,2015年11月06日,00002514,掛仕入,今回,430,東北整練株式会社,外税/伝票計,E,清田　祐也E,通常,,0000,共通倉庫,18.7 ,500 ,"9,350 ",,,,課税 8.0%,15M0829-M1,
D/116089XD,116089XD:染色加工賃,M,0 ,0 ,2015年11月06日,00002521,掛仕入,今回,623,見附染工株式会社,外税/伝票計,X,上村　茂X,通常,,0000,共通倉庫,189.5 ,225 ,"42,637 ",,,,課税 8.0%,№1519156,
N/B1808,B1808:撚糸賃:19374/TAC<135T>DL120/55(4..,K,0 ,0 ,2015年11月02日,00002527,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,133.38 ,200 ,"26,676 ",,,,課税 8.0%,,
N/B1818,B1818:撚糸賃:19375/TAC<135T>DL120/55(4..,K,0 ,0 ,2015年11月02日,00002527,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,135.66 ,200 ,"27,132 ",,,,課税 8.0%,,
N/B7787,B7787:撚糸賃:19582他/OHS.2F<33T>SD30/1..,K,0 ,0 ,2015年11月02日,00002527,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,54 ,350 ,"18,900 ",,,,課税 8.0%,,
N/B7797,B7797:撚糸賃:19583他/OHS.2F<33T>SD30/1..,K,0 ,0 ,2015年11月02日,00002527,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,55.5 ,350 ,"19,425 ",,,,課税 8.0%,,
N/D5107,D5107:撚糸賃:19319/Z10F<110T>SD100/24(..,K,0 ,0 ,2015年11月02日,00002527,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,153.82 ,250 ,"38,455 ",,,,課税 8.0%,,
N/D5517,D5517:撚糸賃:19462/ﾗｼｰﾅ(V210)<33T>SD30..,K,0 ,0 ,2015年11月02日,00002527,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,143.38 ,400 ,"57,352 ",,,,課税 8.0%,,
N/F2017,F2017:撚糸賃:19937/ﾃｨﾌｨｺTF<56T>SD50/24..,K,0 ,0 ,2015年11月02日,00002527,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,53.16 ,450 ,"23,922 ",,,,課税 8.0%,,
N/120DA,120DA:撚糸賃:18834/ｱﾛﾌﾄPOYW(66DY)<140T..,K,0 ,0 ,2015年11月02日,00002528,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,48.56 ,180 ,"8,740 ",,,,課税 8.0%,,
N/120ES,120ES:撚糸賃:19975/ｱﾛﾌﾄPOYW(66DY)<140T..,K,0 ,0 ,2015年11月02日,00002528,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,88.44 ,180 ,"15,919 ",,,,課税 8.0%,,
N/G4024,G4024:撚糸賃:19645/ﾃｨﾌｨｺTW110TSD(Z300)..,K,0 ,0 ,2015年11月02日,00002528,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,129.76 ,140 ,"18,166 ",,,,課税 8.0%,,
N/D2337,D2337:撚糸賃:20000他/OHS.2F<110T>SD100..,K,0 ,0 ,2015年11月02日,00002529,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,124.3 ,300 ,"37,290 ",,,,課税 8.0%,,
N/F1448,F1448:撚糸賃:20052/ﾃ.ﾐﾙﾊﾟ190TSD170/63G..,K,0 ,0 ,2015年11月02日,00002529,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,27.08 ,150 ,"4,062 ",,,,課税 8.0%,,
N/558DA,558DA:撚糸賃:19767/ﾄｰﾚTF<84T>SD75/36(2..,K,0 ,0 ,2015年11月02日,00002530,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,P,板鼻健太郎P,通常,,HARA,原工場,106.62 ,140 ,"14,926 ",,,,課税 8.0%,,
N/B1735,B1735:撚糸賃:19808/TAC<110T>BR100/26 :..,K,0 ,0 ,2015年11月02日,00002531,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,,,通常,,HARA,原工場,418 ,250 ,"104,500 ",,,,課税 8.0%,,
N/J6484,J6484:撚糸賃:19249他/PA.ﾃｨﾌｨｺTFSD100/2..,K,0 ,0 ,2015年11月02日,00002531,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,,,通常,,HARA,原工場,115.24 ,140 ,"16,133 ",,,,課税 8.0%,,
O/078019BA,078019BA:製織賃:5071,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"4,465 ","8,930 ",,,,課税 8.0%,,
O/098413YB,098413YB:製織賃:5016･5056,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,3 ,"7,000 ","21,000 ",,,,課税 8.0%,,
O/098761VX,098761VX:製織賃:5112,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,3 ,"5,555 ","16,665 ",,,,課税 8.0%,,
O/098795YA,098795YA:製織賃:5027,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,1 ,"5,500 ","5,500 ",,,,課税 8.0%,,
O/159536YX,159536YX:製織賃:5187,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"3,500 ","14,000 ",,,,課税 8.0%,,
O/171017YA,171017YA:製織賃:4976,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"7,815 ","31,260 ",,,,課税 8.0%,,
O/290027YX,290027YX:製織賃:5082･5083,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,9 ,"2,850 ","25,650 ",,,,課税 8.0%,,
O/290029ZX,290029ZX:製織賃:5152,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,8 ,"2,700 ","21,600 ",,,,課税 8.0%,,
O/290034ZX,290034ZX:製織賃:5096,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"3,500 ","14,000 ",,,,課税 8.0%,,
O/290035UX,290035UX:製織賃:5175･5176,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,12 ,"3,000 ","36,000 ",,,,課税 8.0%,,
O/290066VX,290066VX:製織賃:5141,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"2,250 ","9,000 ",,,,課税 8.0%,,
O/290066YX,290066YX:製織賃:4971･4972･5142,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,12 ,"2,250 ","27,000 ",,,,課税 8.0%,,
O/290108YX,290108YX:製織賃:5165,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"1,900 ","7,600 ",,,,課税 8.0%,,
O/290118YX,290118YX:製織賃:5059･5105･5183,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,9 ,"6,206 ","55,854 ",,,,課税 8.0%,,
O/290129YX,290129YX:製織賃:5133,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"5,800 ","11,600 ",,,,課税 8.0%,,
O/291012YX,291012YX:製織賃:5037,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"5,820 ","11,640 ",,,,課税 8.0%,,
O/292002LX,292002LX:製織賃:5129,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,4 ,"2,700 ","10,800 ",,,,課税 8.0%,,
O/292003YX,292003YX:製織賃:5163,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,5 ,"3,250 ","16,250 ",,,,課税 8.0%,,
O/292005YX,292005YX:製織賃:5128,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"3,250 ","6,500 ",,,,課税 8.0%,,
O/295000YX,295000YX:製織賃:5089･5090･5091,反,0 ,0 ,2015年11月02日,00002532,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,9 ,"4,808 ","43,272 ",,,,課税 8.0%,,
O/079664CB,079664CB:製織賃:5002･5048,反,0 ,0 ,2015年11月02日,00002533,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,8 ,"4,860 ","38,880 ",,,,課税 8.0%,,
O/097064JD,097064JD:製織賃:5018,反,0 ,0 ,2015年11月02日,00002533,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,2 ,"6,885 ","13,770 ",,,,課税 8.0%,,
O/098533YB,098533YB:製織賃:5085,反,0 ,0 ,2015年11月02日,00002533,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,2 ,"7,000 ","14,000 ",,,,課税 8.0%,,
O/124743YB,124743YB:製織賃:5079,反,0 ,0 ,2015年11月02日,00002533,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,2 ,"6,885 ","13,770 ",,,,課税 8.0%,,
O/126947HX,126947HX:製織賃:5080,反,0 ,0 ,2015年11月02日,00002533,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,4 ,"5,265 ","21,060 ",,,,課税 8.0%,,
O/127250JA,127250JA:製織賃:5081,反,0 ,0 ,2015年11月02日,00002533,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,2 ,"4,860 ","9,720 ",,,,課税 8.0%,,
O/098762ZX,098762ZX:製織賃:5154,反,0 ,0 ,2015年11月02日,00002534,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,K,上村　茂K,通常,,HARA,原工場,4 ,"4,050 ","16,200 ",,,,課税 8.0%,,
O/113777HX,113777HX:製織賃:5040,反,0 ,0 ,2015年11月02日,00002535,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,3 ,"4,455 ","13,365 ",,,,課税 8.0%,,
O/135302LH,135302LH:製織賃:5136,反,0 ,0 ,2015年11月02日,00002535,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,2 ,"4,455 ","8,910 ",,,,課税 8.0%,,
O/135672LX,135672LX:製織賃:5146,反,0 ,0 ,2015年11月02日,00002535,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,6 ,"4,455 ","26,730 ",,,,課税 8.0%,,
O/135682LX,135682LX:製織賃:5147･5167,反,0 ,0 ,2015年11月02日,00002535,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,3 ,"4,860 ","14,580 ",,,,課税 8.0%,,
O/135688YX,135688YX:製織賃:5162,反,0 ,0 ,2015年11月02日,00002535,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,2 ,"4,860 ","9,720 ",,,,課税 8.0%,,
O/115769PH,115769PH:製織賃:5070,反,0 ,0 ,2015年11月02日,00002536,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,X,上村　茂X,通常,,HARA,原工場,3 ,"4,455 ","13,365 ",,,,課税 8.0%,,
O/116054YX,116054YX:製織賃:5215,反,0 ,0 ,2015年11月02日,00002536,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,X,上村　茂X,通常,,HARA,原工場,5 ,"3,445 ","17,225 ",,,,課税 8.0%,,
N/KIKAKUSHI,企画糸:撚糸賃:ﾅﾝﾔ ｳｪｰﾌﾞW<84T>75/30 4本..,K,0 ,0 ,2015年11月02日,00002537,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,X3,五十嵐澄夫,通常,,HARA,原工場,6.3 ,"2,000 ","12,600 ",,,,課税 8.0%,,
O/SAMPLE-A,綾通賃:99484,本,0 ,0 ,2015年11月02日,00002538,掛仕入,今回,SFN,株式会社ソフィーナ原工場,内税/総額,X9,諸橋寿志,通常,,HARA,原工場,"7,200 ",1.27 ,"9,144 ",,,,課税 8.0%,,
O/SAMPLE-A,綾通賃:116346,本,0 ,0 ,2015年11月02日,00002539,掛仕入,今回,SFN,株式会社ソフィーナ原工場,内税/総額,X1,池田　守,通常,,HARA,原工場,"5,280 ",0.99 ,"5,227 ",,,,課税 8.0%,,
N/B1808,B1808:撚糸賃:19374/TAC<135T>DL120/55(4..,K,0 ,0 ,2015年11月03日,00002540,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,25.27 ,200 ,"5,054 ",,,,課税 8.0%,,
N/B1818,B1818:撚糸賃:19375/TAC<135T>DL120/55(4..,K,0 ,0 ,2015年11月03日,00002540,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,11.59 ,200 ,"2,318 ",,,,課税 8.0%,,
N/B2093,B2093:撚糸賃:19888他/ﾃｨﾌｨｺTFSD100/24(2..,K,0 ,0 ,2015年11月03日,00002540,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,233.72 ,170 ,"39,732 ",,,,課税 8.0%,,
N/D5517,D5517:撚糸賃:19462他/ﾗｼｰﾅ(V210)<33T>SD..,K,0 ,0 ,2015年11月03日,00002540,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,137.36 ,400 ,"54,944 ",,,,課税 8.0%,,
N/E6917,E6917:撚糸賃:19851他/ﾜﾙﾂF<84T>SD75/36(..,K,0 ,0 ,2015年11月03日,00002540,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,62 ,330 ,"20,460 ",,,,課税 8.0%,,
N/N1833,N1833:撚糸賃:19946/TAC<135T>DL120/55(4..,K,0 ,0 ,2015年11月03日,00002540,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,57.79 ,200 ,"11,558 ",,,,課税 8.0%,,
N/430GA,430GA:撚糸賃:19324/PA.ﾃｨﾌｨｺTF<110T>SD1..,K,0 ,0 ,2015年11月03日,00002541,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,206.06 ,180 ,"37,090 ",,,,課税 8.0%,,
N/B8017,B8017:撚糸賃:19783他/Z10F<33T>SD30/12(..,K,0 ,0 ,2015年11月03日,00002541,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,17.4 ,350 ,"6,090 ",,,,課税 8.0%,,
N/G4024,G4024:撚糸賃:19645/ﾃｨﾌｨｺTW110TSD(Z300)..,K,0 ,0 ,2015年11月03日,00002541,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,E,清田　祐也E,通常,,HARA,原工場,134.8 ,140 ,"18,872 ",,,,課税 8.0%,,
N/H5815,H5815:撚糸賃:19681他/TAC<220T>BR200/34..,K,0 ,0 ,2015年11月03日,00002542,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,K,上村　茂K,通常,,HARA,原工場,164.44 ,170 ,"27,954 ",,,,課税 8.0%,,
N/F1448,F1448:撚糸賃:20052/ﾃ.ﾐﾙﾊﾟ190TSD170/63G..,K,0 ,0 ,2015年11月03日,00002543,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,32.69 ,150 ,"4,903 ",,,,課税 8.0%,,
N/R1445,R1445:撚糸賃:20053/ﾃ.ﾐﾙﾊﾟ190TSD170/63G..,K,0 ,0 ,2015年11月03日,00002543,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,L,上村　茂L,通常,,HARA,原工場,40.32 ,200 ,"8,064 ",,,,課税 8.0%,,
N/558DA,558DA:撚糸賃:19767/ﾄｰﾚTF<84T>SD75/36(2..,K,0 ,0 ,2015年11月03日,00002544,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,P,板鼻健太郎P,通常,,HARA,原工場,206.4 ,140 ,"28,896 ",,,,課税 8.0%,,
N/H3504,H3504:撚糸賃:19135/TAC<167T>BR150/40 /..,K,0 ,0 ,2015年11月03日,00002545,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,,,通常,,HARA,原工場,155.66 ,170 ,"26,462 ",,,,課税 8.0%,,
J/295000YX,295000YX:整経賃:5092,反,0 ,0 ,2015年11月03日,00002546,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,105 ,"1,500 ","157,500 ",,,,課税 8.0%,,
O/076410CX,076410CX:製織賃:5021,反,0 ,0 ,2015年11月03日,00002547,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"4,860 ","9,720 ",,,,課税 8.0%,,
O/078019BA,078019BA:製織賃:5071,反,0 ,0 ,2015年11月03日,00002547,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,5 ,"4,465 ","22,325 ",,,,課税 8.0%,,
O/098413YB,098413YB:製織賃:5016･5056,反,0 ,0 ,2015年11月03日,00002547,掛仕入,今回,SFN,株式会社ソフィーナ原工場,外税/伝票計,B,板鼻健太郎B,通常,,HARA,原工場,2 ,"7,000 ","14,000 ",,,,課税 8.0%,,
