コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
4/102633ZX,整経玉102633ZX,ｾｲｹｲﾀﾏ102633ZX,反,0.02,P52/TA48,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,23103,19252,16502,14439,12835,11551.45,11551.45,11551.45,,,,,,,,,表示する,
4/115157ZA,整経玉115157ZA,ｾｲｹｲﾀﾏ115157ZA,反,0.02,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,30,,X,,,,,M,,16439,13699,11742,10274,9133,8219.5,8219.5,8219.5,,,,,,,,,表示する,
4/115157ZB,整経玉115157ZB,ｾｲｹｲﾀﾏ115157ZB,反,0.02,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,30,,X,,,,,M,,16439,13699,11742,10274,9133,8219.5,8219.5,8219.5,,,,,,,,,表示する,
4/115769PL,整経玉115769PL,ｾｲｹｲﾀﾏ115769PL,反,0.02,P100,50M,125,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,10,,L,,,,,M,,18688,15574,13349,11680,10382,9344.19,9344.19,9344.19,,,,,,,,,表示する,
4/115859PA,整経玉115859PA,ｾｲｹｲﾀﾏ115859PA,反,0.02,P100,50M,127,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,30,,X,,,,,M,,13834,11529,9882,8647,7686,6917.2,6917.2,6917.2,,,,,,,,,表示する,
4/115859XC,整経玉115859XC,ｾｲｹｲﾀﾏ115859XC,反,0.02,P100,50M,97,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,30,,X,,,,,M,,11149,9291,7963,6968,6194,5574.36,5574.36,5574.36,,,,,,,,,表示する,
4/123127ZF,整経玉123127ZF,ｾｲｹｲﾀﾏ123127ZF,反,0.02,TA67/P33,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,38959,32466,27828,24349,21644,19479.34,19479.34,19479.34,,,,,,,,,表示する,
4/127250JD,整経玉127250JD,ｾｲｹｲﾀﾏ127250JD,反,0.02,TA67/P33,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,9791,8159,6993,6119,5439,4895.36,4895.36,4895.36,,,,,,,,,表示する,
4/127413CX,整経玉127413CX,ｾｲｹｲﾀﾏ127413CX,反,0.02,TA72/P28,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,50,,E,,,,,M,,29072,24227,20766,18170,16151,14535.9,14535.9,14535.9,,,,,,,,,表示する,
4/135239DB,整経玉135239DB,ｾｲｹｲﾀﾏ135239DB,反,0.02,P100,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,10,,L,,,,,M,,11089,9241,7921,6931,6161,5544.5,5544.5,5544.5,,,,,,,,,表示する,
4/135426LH,整経玉135426LH,ｾｲｹｲﾀﾏ135426LH,反,0.02,P90/N10,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,10,,L,,,,,M,,20488,17073,14634,12805,11382,10243.92,10243.92,10243.92,,,,,,,,,表示する,
4/135499LX,整経玉135499LX,ｾｲｹｲﾀﾏ135499LX,反,0.02,P82/N18,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,10,,L,,,,,M,,22135,18446,15810,13834,12297,11067.31,11067.31,11067.31,,,,,,,,,表示する,
4/135521LD,整経玉135521LD,ｾｲｹｲﾀﾏ135521LD,反,0.02,P73/R14/N13,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,10,,L,,,,,M,,20054,16712,14325,12534,11141,10027.19,10027.19,10027.19,,,,,,,,,表示する,
4/135539HX,整経玉135539HX,ｾｲｹｲﾀﾏ135539HX,反,0.02,P92/R8,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,10,,L,,,,,M,,16797,13998,11998,10498,9332,8398.72,8398.72,8398.72,,,,,,,,,表示する,
4/135742LX,整経玉135742LX,ｾｲｹｲﾀﾏ135742LX,反,0.02,P95/R5,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,10,,L,,,,,M,,13289,11074,9492,8306,7383,6644.4,6644.4,6644.4,,,,,,,,,表示する,
4/159560VX,整経玉159560VX,ｾｲｹｲﾀﾏ159560VX,反,0.025,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,21528,17940,15377,13455,11960,10764.04,10764.04,10764.04,,,,,,,,,表示する,
4/159577VX,整経玉159577VX,ｾｲｹｲﾀﾏ159577VX,反,0.025,P100,40M,118,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,21528,17940,15377,13455,11960,10764.04,10764.04,10764.04,,,,,,,,,表示する,
4/171143YX,整経玉171143YX,ｾｲｹｲﾀﾏ171143YX,反,0.02,CU71/P29,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,27373,22811,19552,17108,15207,13686.48,13686.48,13686.48,,,,,,,,,表示する,
4/171144YX,整経玉171144YX,ｾｲｹｲﾀﾏ171144YX,反,0.02,CU38/TA33/P29,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,27976,23314,19983,17485,15542,13988.1,13988.1,13988.1,,,,,,,,,表示する,
4/171222YX,整経玉171222YX,ｾｲｹｲﾀﾏ171222YX,反,0.020833333,CU49/R40/P11,48M,128,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,37194,30995,26567,23246,20663,18596.92,18596.92,18596.92,,,,,,,,,表示する,
4/171337YX,整経玉171337YX,ｾｲｹｲﾀﾏ171337YX,反,0.02,R80/CU20,50M,130,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,23853,19878,17038,14908,13252,11926.74,11926.74,11926.74,,,,,,,,,表示する,
4/290045VX,整経玉290045VX,ｾｲｹｲﾀﾏ290045VX,反,0.02173913,AC75/P25,46M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,4572,3810,3266,2858,2540,2286,2286,2286,,,,,,,,,表示する,
4/290054YB,整経玉290054YB,ｾｲｹｲﾀﾏ290054YB,反,0.02,R51/L30/P19,50M,120,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,17139,14283,12242,10712,9522,8569.74,8569.74,8569.74,,,,,,,,,表示する,
4/290128ZX,整経玉290128ZX,ｾｲｹｲﾀﾏ290128ZX,反,0.01,P100,100M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,4,整経玉,20,,B,,,,,M,,17104,14253,12217,10690,9502,8552.05,8552.05,8552.05,,,,,,,,,表示する,
